intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
749000,0.03056643813254979,0.4725552050473186,0.03056643813254979,0.03704501980224695,1.835781041388518,2.0,1.725796218436912,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003019695.1 Fusobacterium gonidiaformans ATCC 25563 strain=ATCC 25563, ASM301969v1",eb25fabc2007164c48d9432681601085,0.4725552050473186,749000,0,6427000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9338968667010674,0.9854094361136957,0.9596531514073816,0.9854094361136957,False,1375,1375,37117,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C gonidiaformans
737000,0.030076722167809336,0.14507874015748032,0.030076722167809336,0.02419376565994019,1.2184531886024423,1.0,0.5632685151230363,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.14507874015748032,737000,1,5690000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.933601159535143,0.9628549298420972,0.9482280446886201,0.9628549298420972,False,898,2273,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
604000,0.02464903689193601,0.12936904221516116,0.0232615083251714,0.017781609505078535,1.1578947368421053,1.0,0.41419859988625957,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.13708579210167954,570000,2,5120000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9299651326559668,0.9617856283192184,0.9458753804875926,0.9617856283192184,False,660,2933,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
459000,0.018731635651322232,0.1954855195911414,0.018731635651322232,0.01643451787590592,1.328976034858388,1.0,0.6215530109292134,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.1954855195911414,459000,3,4661000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9249727433087568,0.9685014742480614,0.9467371087784091,0.9685014742480614,False,610,3543,37117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
376000,0.01534443356186745,0.06793823796548593,0.01526281423441071,0.01123474418729962,1.1149732620320856,1.0,0.39399282592283824,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000613465.1 Bacteroides nordii WAL 11050 = JCM 12987 strain=JCM 12987, ASM61346v1",2622449679f676b2a7b48fe066bdf236,0.06830154405086285,374000,4,4287000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9213622386468836,0.9487366907701493,0.9350494647085165,0.9487366907701493,False,417,3960,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
379000,0.015466862553052563,0.05850470269408577,0.014977146588312113,0.011073093191798906,1.119891008174387,1.0,0.3568130034849232,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.06041766300015941,367000,5,3920000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9215058208638492,0.9464577970989809,0.9339818089814151,0.9464577970989809,False,411,4371,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
362000,0.014773098269670258,0.054384877595289746,0.014324191968658178,0.010184012716544979,1.0769230769230769,1.0,0.2870573610896866,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.05608924697861791,351000,6,3569000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9206769832646332,0.9450792492647675,0.9328781162647004,0.9450792492647675,False,378,4749,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
351000,0.014324191968658178,0.05728476821192053,0.014120143650016324,0.010426489209796051,1.1184971098265897,1.0,0.36518115900656895,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.05811258278145695,346000,7,3223000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9201200882364726,0.9457361795679802,0.9329281339022264,0.9457361795679802,False,387,5136,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
226000,0.009222984002611819,0.05599603567888999,0.009222984002611819,0.0064929816526120105,1.0663716814159292,1.0,0.2661128310399096,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000949455.1 Ruthenibacterium lactatiformans strain=585-1, ASM94945v1",1562c71162861a5c6e3bb1e6d2a266f2,0.05599603567888999,226000,8,2997000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9122114490885228,0.9450484286683862,0.9286299388784545,0.9450484286683862,False,241,5377,37117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
193000,0.007876265099575579,0.10398706896551724,0.007876265099575579,0.005684726675108441,1.0932642487046633,1.0,0.2908023875731043,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432435.1 Eubacterium sp. CAG:180, MGS180",6aaa52329b08c80e1697031516b7eac0,0.10398706896551724,193000,9,2804000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9093925225791977,0.9565883447457836,0.9329904336624906,0.9565883447457836,False,211,5588,37117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435
202000,0.008243552073130917,0.04212134439109559,0.007876265099575579,0.005603901177358084,1.077720207253886,1.0,0.3205742652488708,/tmp/nxf.XXXXuvcUpY/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.044085552160628545,193000,10,2611000,ERR479025_2.fastq.gz,ERR479025,852c7989,24504000,51,DNA,1000,24504,True,0.9102055886856338,0.9406272891829892,0.9254164389343116,0.9406272891829892,False,208,5796,37117,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
