intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
908000,0.028557051201408983,0.351257253384913,0.028557051201408983,0.03779008438818565,1.578193832599119,1.0,0.8938410394687721,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.351257253384913,908000,0,13883000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9326525238453511,0.9796945501912369,0.956173537018294,0.9796945501912369,False,1433,1433,37920,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
884000,0.02780223927538055,0.22789378705852023,0.02780223927538055,0.040110759493670885,1.7205882352941178,1.0,1.0888083974590888,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.22789378705852023,884000,1,12999000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9321627846714818,0.9714188338723008,0.9517908092718913,0.9714188338723008,False,1521,2954,37920,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
871000,0.027393382815448484,0.15275246080933286,0.026355516417159393,0.026133966244725738,1.1825775656324582,1.0,0.48246784113616253,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.15876777251184834,838000,2,12161000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9318920382801482,0.9645587244020574,0.9482253813411028,0.9645587244020574,False,991,3945,37920,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
830000,0.02610391244181658,0.18092536010475774,0.02607246194489873,0.027267932489451478,1.247285886610374,1.0,0.5773221251972835,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.18114360541248364,829000,3,11332000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9310114278771043,0.9670555718207176,0.9490334998489109,0.9670555718207176,False,1034,4979,37920,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
531000,0.01670021386337904,0.18971061093247588,0.01670021386337904,0.018960970464135023,1.3540489642184557,1.0,0.7016778314488504,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_018228685.1 Clostridiaceae bacterium Marseille-Q4149 strain=Marseille-Q4149, ASM1822868v1",1bba9d7c75b903b81673df1b6344def2,0.18971061093247588,531000,4,10801000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9228931284883959,0.9679321912933829,0.9454126598908894,0.9679321912933829,False,719,5698,37920,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp001916855
492000,0.01547364448358284,0.07185430463576159,0.013649515662347464,0.015427215189873418,1.347926267281106,1.0,1.9607103561093027,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.0814569536423841,434000,5,10367000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9215137419673198,0.9520190752712359,0.9367664086192778,0.9520190752712359,False,585,6283,37920,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
417000,0.013114857214743992,0.15668549905838042,0.013083406717826141,0.013633966244725739,1.2427884615384615,1.0,0.8442087291235517,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003461625.1 Clostridium sp. AF15-31 strain=AF15-31, ASM346162v1",77c47321b50d00a7c3783b6f8836a23b,0.15706214689265538,416000,6,9951000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9185301225714099,0.9643544672986741,0.9414422949350421,0.9643544672986741,False,517,6800,37920,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115
662000,0.020820228959617562,0.07204724409448819,0.011510881871933576,0.011155063291139241,1.1557377049180328,1.0,0.40530279721561036,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.13031496062992126,366000,7,9585000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9268919865363541,0.9608308673148522,0.9438614269256032,0.9608308673148522,False,423,7223,37920,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
365000,0.011479431375015725,0.1511925042589438,0.011164926405837211,0.012078059071729957,1.2901408450704226,1.0,0.6214827634239655,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.15545144804088587,355000,8,9230000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9161344680468868,0.9641595717558542,0.9401470199013705,0.9641595717558542,False,458,7681,37920,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
323000,0.01015851050446597,0.1,0.010064159013712416,0.009546413502109705,1.13125,1.0,0.3811475272122331,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545925.1 uncultured Clostridiales bacterium, UMGS830",4b857dddb16cfeb2fb707c915e51ee8b,0.1009375,320000,9,8910000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9139411587973603,0.9560302156429565,0.9349856872201584,0.9560302156429565,False,362,8043,37920,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925
332000,0.010441564976726632,0.10522832561217736,0.010001258019876714,0.011445147679324894,1.3647798742138364,1.0,0.8645454227642557,/tmp/nxf.XXXXR4GUTF/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010509575.1 Faecalibacterium prausnitzii A2-165 strain=JCM 31915, ASM1050957v1",5136f6c0a3924e615495681fbaf7095d,0.10986101919258769,318000,10,8592000,ERR481018.fastq.gz,ERR481018,9c30b0b8,31796000,51,DNA,1000,31796,True,0.9144337919321683,0.9576195688074078,0.9360266803697881,0.9576195688074078,False,434,8477,37920,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
