intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
826000,0.03628536285362854,0.3195357833655706,0.03628536285362854,0.044201804585191164,1.5242130750605327,1.0,0.8522976626089075,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.3195357833655706,826000,0,9042000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9370428271650002,0.9778780460738641,0.9574604366194321,0.9778780460738641,False,1259,1259,28483,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
727000,0.031936390792479355,0.2195048309178744,0.031936390792479355,0.033177684934873435,1.299862448418157,1.0,0.601042178615058,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.2195048309178744,727000,1,8315000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9347000614754789,0.9707047144442109,0.9527023879598449,0.9707047144442109,False,945,2204,28483,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
645000,0.028334211913547708,0.12696850393700787,0.028334211913547708,0.02552399677000316,1.1271317829457363,1.0,0.4447369988399112,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.12696850393700787,645000,2,7670000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9325092738088091,0.960340869853185,0.946425071830997,0.960340869853185,False,727,2931,28483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
413000,0.01814268142681427,0.18662449164030728,0.01814268142681427,0.017062809395077767,1.1767554479418887,1.0,0.4292480397877237,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000425045.1 Acidaminococcus intestini DSM 21505 strain=DSM 21505, ASM42504v1",e576d8032d9f52694db59a45e18a38d3,0.18662449164030728,413000,3,7257000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9243935184002743,0.9676209604440476,0.9460072394221609,0.9676209604440476,False,486,3417,28483,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
384000,0.01686874011597259,0.08315146224356176,0.016736953083816553,0.01492118105536636,1.1154855643044619,1.0,0.8179717492676686,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.08380619816673941,381000,4,6876000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9230748420695868,0.9525499694722603,0.9378124057709236,0.9525499694722603,False,425,3842,28483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
317000,0.01392549639782112,0.1446167883211679,0.01392549639782112,0.02408454165642664,2.1640378548895898,2.0,1.2923824764534602,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_905214625.1 uncultured bacterium, ERR2013610-mag-bin.18",8a5c0281d480936c01525da9c21c8db9,0.1446167883211679,317000,5,6559000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9196109441147832,0.9627947207091598,0.9412028324119714,0.9627947207091598,False,686,4528,28483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp905214625
310000,0.013617993322790371,0.10196601132955681,0.013442277279915656,0.013762595232243794,1.2810457516339868,1.0,0.6855894495480693,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.10329890036654449,306000,6,6253000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9192083963460846,0.9564638121115877,0.9378361042288361,0.9564638121115877,False,392,4920,28483,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
246000,0.01080653663679494,0.09907370116794201,0.01080653663679494,0.010637924375943545,1.2317073170731707,1.0,0.6369154674764056,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010669225.1 Megamonas funiformis strain=JCM 14723, ASM1066922v1",7a7700ea5b75889aca0f5d12daf4fbbf,0.09907370116794201,246000,7,6007000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9150500180523664,0.9556809069656617,0.935365462509014,0.9556809069656617,False,303,5223,28483,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
407000,0.017879107362502197,0.038461538461538464,0.009269021261641188,0.00811010076185795,1.09478672985782,1.0,0.337991456486738,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.07418884433102442,211000,8,5796000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9241283025037232,0.9502760342384328,0.9372021683710781,0.9502760342384328,False,231,5454,28483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
207000,0.009093305218766473,0.097918637653737,0.009093305218766473,0.009163360601060282,1.2608695652173914,1.0,0.5468974569308176,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003514385.1 Ruminococcaceae bacterium, ASM351438v1",f9c0b9f063b0491b08d56440914037f2,0.097918637653737,207000,9,5589000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9119582082507145,0.9554611795210967,0.9337096938859055,0.9554611795210967,False,261,5715,28483,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
221000,0.009708311368827974,0.043605304562823105,0.008522228079423651,0.007197275567882596,1.056701030927835,1.0,0.23127045643478925,/tmp/nxf.XXXXdTbN9a/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.04967408406383457,194000,10,5395000,ERR480933.fastq.gz,ERR480933,db1e5a89,22764000,51,DNA,1000,22764,True,0.9131291968419087,0.9428311420235471,0.9279801694327279,0.9428311420235471,False,205,5920,28483,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
