intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
829000,0.03622301843922048,0.3206963249516441,0.03622301843922048,0.04496863061231643,1.5476477683956573,1.0,0.8904857737927923,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.3206963249516441,829000,0,9089000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9370112319448739,0.9779475618993245,0.9574793969220992,0.9779475618993245,False,1283,1283,28531,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
756000,0.0330332954644761,0.22826086956521738,0.0330332954644761,0.03459395043987242,1.3055555555555556,1.0,0.5980752490509341,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.22826086956521738,756000,1,8333000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9353191820979737,0.9714494905340033,0.9533843363159885,0.9714494905340033,False,987,2270,28531,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
619000,0.02704710303242157,0.1218503937007874,0.02704710303242157,0.02478006379026322,1.1421647819063006,1.0,0.4088865435303574,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.1218503937007874,619000,2,7714000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9316596135916148,0.9595664123479798,0.9456130129697973,0.9595664123479798,False,707,2977,28531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
409000,0.01787118762562265,0.18481699051061906,0.01787118762562265,0.017314500017524798,1.2078239608801955,1.0,0.4673573506596503,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000425045.1 Acidaminococcus intestini DSM 21505 strain=DSM 21505, ASM42504v1",e576d8032d9f52694db59a45e18a38d3,0.18481699051061906,409000,3,7305000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.924120274245462,0.9674363249253626,0.9457782995854123,0.9674363249253626,False,494,3471,28531,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
351000,0.015336887179935331,0.07616761239633348,0.01524949750939439,0.013423994952858294,1.0974212034383954,1.0,0.7915884416684461,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.07660410301178525,349000,4,6956000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9213533516940808,0.9508731599533261,0.9361132558237035,0.9508731599533261,False,383,3854,28531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
319000,0.013938652451280259,0.14552919708029197,0.013938652451280259,0.022957484841050087,2.053291536050157,2.0,1.4120995772066396,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_905214625.1 uncultured bacterium, ERR2013610-mag-bin.18",8a5c0281d480936c01525da9c21c8db9,0.14552919708029197,319000,5,6637000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9196279714957001,0.9629134600436049,0.9412707157696525,0.9629134600436049,False,655,4509,28531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp905214625
291000,0.01271519706370707,0.0959680106631123,0.012584112557895656,0.012652903858960429,1.2534722222222223,1.0,0.6360045853307414,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.09696767744085305,288000,6,6349000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9179729090450269,0.9552783628638646,0.9366256359544458,0.9552783628638646,False,361,4870,28531,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
210000,0.009175915406798917,0.08457511075312123,0.009175915406798917,0.009393291507483088,1.276190476190476,1.0,0.7104021409132005,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010669225.1 Megamonas funiformis strain=JCM 14723, ASM1066922v1",7a7700ea5b75889aca0f5d12daf4fbbf,0.08457511075312123,210000,7,6139000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9121199379627036,0.9527205669405183,0.932420252451611,0.9527205669405183,False,268,5138,28531,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
200000,0.008738967054094207,0.0946073793755913,0.008738967054094207,0.008937646770179804,1.275,1.0,0.5910795208768445,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003514385.1 Ruminococcaceae bacterium, ASM351438v1",f9c0b9f063b0491b08d56440914037f2,0.0946073793755913,200000,8,5939000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9112477575468197,0.954816902178493,0.9330323298626564,0.954816902178493,False,255,5393,28531,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
217000,0.009481779253692214,0.043605304562823105,0.00847679804247138,0.0071501174161438434,1.0515463917525774,1.0,0.22110938752089912,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.04877500561924028,194000,9,5745000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9127065628213529,0.9424935330934187,0.9276000479573858,0.9424935330934187,False,204,5597,28531,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
192000,0.008389408371930437,0.07479548110634983,0.008389408371930437,0.007710910938978655,1.1458333333333333,1.0,0.3673998351780916,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.07479548110634983,192000,10,5553000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9105186581873128,0.9504277863791883,0.9304732222832506,0.9504277863791883,False,220,5817,28531,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
174000,0.0076029013370619595,0.05005753739930955,0.0076029013370619595,0.006484175107777505,1.0632183908045978,1.0,0.26592494945423617,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000296465.1 Barnesiella intestinihominis YIT 11860 strain=YIT 11860, Barn_inte_YIT_11860_V1",d196529161357ff3df29b07d59ecfd62,0.05005753739930955,174000,11,5379000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9087628723957839,0.9429733121206942,0.9258680922582391,0.9429733121206942,False,185,6002,28531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
164000,0.007165952984357249,0.0984984984984985,0.007165952984357249,0.0062037783463600995,1.079268292682927,1.0,0.3120497946810728,/tmp/nxf.XXXXrCZ92p/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432275.1 Proteobacteria bacterium CAG:495, MGS495",4ba83b7ea741e03e84710521b1adc3b2,0.0984984984984985,164000,12,5215000,ERR480932.fastq.gz,ERR480932,4a8726d5,22886000,51,DNA,1000,22886,True,0.9077088047838526,0.9555718020740348,0.9316403034289438,0.9555718020740348,False,177,6179,28531,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275
