intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
500000,0.03780432481475881,0.31545741324921134,0.03780432481475881,0.03869330796067238,1.464,1.0,0.9636928971409927,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003019695.1 Fusobacterium gonidiaformans ATCC 25563 strain=ATCC 25563, ASM301969v1",eb25fabc2007164c48d9432681601085,0.31545741324921134,500000,0,2861000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.937796605884466,0.9776317750258607,0.9577141904551634,0.9776317750258607,False,732,732,18918,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C gonidiaformans
390000,0.02948737335551187,0.07677165354330709,0.02948737335551187,0.02299397399302252,1.1153846153846154,1.0,0.42307692307692313,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.07677165354330709,390000,1,2471000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9332389674298106,0.9509138961966137,0.9420764318132122,0.9509138961966137,False,435,1167,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
337000,0.025480114925147436,0.07262823422605538,0.024194767881445638,0.01871233745639074,1.10625,1.0,0.36395183403851666,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.07648660916931457,320000,2,2151000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9305699983094696,0.9508445417594309,0.9407072700344503,0.9508445417594309,False,354,1521,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
246000,0.018599727808861332,0.10477001703577513,0.018599727808861332,0.015593614546992282,1.1991869918699187,1.0,0.4652118906965113,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.10477001703577513,246000,3,1905000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9248445819101427,0.9567290500959726,0.9407868160030577,0.9567290500959726,False,295,1816,18918,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
195000,0.014743686677755935,0.035240690281562216,0.014668078028126417,0.010836240617401417,1.056701030927835,1.0,0.23127045643478925,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000613465.1 Bacteroides nordii WAL 11050 = JCM 12987 strain=JCM 12987, ASM61346v1",2622449679f676b2a7b48fe066bdf236,0.035422343324250684,194000,4,1711000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9206410076481761,0.9366006538438919,0.928620830746034,0.9366006538438919,False,205,2021,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
189000,0.01429003477997883,0.028974279516578865,0.014138817480719794,0.010624801776086268,1.0748663101604279,1.0,0.26317550372971726,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.02928416485900217,187000,5,1524000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9200770162920803,0.9331124356034965,0.9265947259477885,0.9331124356034965,False,201,2222,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
173000,0.013080296385906548,0.027980132450331124,0.012777861787388477,0.00972618670049688,1.0887573964497042,1.0,0.3044894752726298,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.028642384105960265,169000,6,1355000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9184825993973261,0.9327070892653806,0.9255948443313533,0.9327070892653806,False,184,2406,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
183000,0.013836382882201724,0.026462617567352145,0.012551035838499924,0.009250449307537795,1.0542168674698795,1.0,0.22644513408689765,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.029172644667623145,166000,7,1189000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9194951909632584,0.9330426290051029,0.9262689099841807,0.9330426290051029,False,175,2581,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
97000,0.007334039014063209,0.03723608445297505,0.007334039014063209,0.005497409874193889,1.0721649484536082,1.0,0.25876083294868313,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000153925.1 [Ruminococcus] torques ATCC 27756 strain=ATCC 27756, ASM15392v1",4abf9d69f1e69e10e84c4f7510c75164,0.03723608445297505,97000,8,1092000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9081215560369459,0.9375181546304125,0.9228198553336793,0.9375181546304125,False,104,2685,18918,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques
95000,0.007182821714804174,0.019860323003055434,0.006880387116286103,0.005180251612221165,1.0769230769230769,1.0,0.26646935501059654,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.02073330423395897,91000,9,1001000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9077506536948293,0.9268159526587915,0.9172833031768104,0.9268159526587915,False,98,2783,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
98000,0.007409647663692727,0.03676470588235294,0.006804778466656586,0.004968812770906016,1.0444444444444445,1.0,0.2543449587168799,/tmp/nxf.XXXXpRrL12/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000262545.1 Prevotella bivia DSM 20514 strain=DSM 20514, ASM26254v1",49a47293cc042ad7611e58377689d1e4,0.04003267973856209,90000,10,911000,ERR479026_2.fastq.gz,ERR479026,fdbbb226,13226000,51,DNA,1000,13226,True,0.9083042047727953,0.938850335761308,0.9235772702670517,0.938850335761308,False,94,2877,18918,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia
