intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2687000,0.017085810574507997,0.5595585172844648,0.017085810574507997,0.011480437097533443,1.8697432080387049,2.0,1.1735216250229716,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000735375.1 Hafnia alvei ATCC 13337 strain=ATCC 13337, GHAL_DRAFTv1",8e90c30a7926e542dc0e2fe2ecfcfdd1,0.5595585172844648,2687000,0,82798000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9233062934782217,0.9886801034049384,0.95599319844158,0.9886801034049384,False,5024,5024,437614,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei
2575000,0.016373636854989986,0.5068897637795275,0.016373636854989986,0.019955942908590676,3.3914563106796116,2.0,4.813630002554133,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.5068897637795275,2575000,1,80223000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9225358210090049,0.9867655764345635,0.9546506987217842,0.9867655764345635,False,8733,13757,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
2013000,0.012800050869551395,0.4279790484504583,0.012469398785489461,0.011825490043737175,2.6389597144314125,2.0,12.572449572775321,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.43932780445220426,1961000,2,78262000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.918092635779782,0.9840017179700018,0.9510471768748918,0.9840017179700018,False,5175,18932,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
1924000,0.012234127110291546,0.5988173046996577,0.012234127110291546,0.028170945170858337,6.407484407484407,6.0,8.190511352057138,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001404675.1 Coprococcus eutactus strain=2789STDY5834963, 14207_7#86",6309e330103cdd129eb9c6193ed4268b,0.5988173046996577,1924000,3,76338000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9172789581257368,0.989995504257894,0.9536372311918153,0.989995504257894,False,12328,31260,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A
1758000,0.011178583918863066,0.4424533064109036,0.011146790449241726,0.013779266659658968,3.4398174557900743,2.0,4.062819656410649,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003584705.1 Lachnospiraceae bacterium GAM79 strain=GAM79, ASM358470v1",70a12b75803f82aa8bff2c80aad9821b,0.4437152953054013,1753000,4,74585000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9156575365824033,0.9841934681960054,0.9499255023892044,0.9841934681960054,False,6030,37290,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565
1750000,0.011127714367468922,0.6920318725099601,0.011045051346453439,0.013041173271421846,3.2855497985031663,3.0,2.3791900650304685,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.6972111553784861,1737000,5,72848000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.915575651530356,0.9929530457729179,0.9542643486516369,0.9929530457729179,False,5707,42997,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
1630000,0.010364671096556767,0.38959143968871596,0.010186627666677264,0.015751324226373015,4.302746566791511,2.0,5.971852825064934,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154845.1 Bacteroides coprocola DSM 17136 strain=DSM 17136, ASM15484v1",6c4a84c6881f2933a9b05588fca9caee,0.3964007782101167,1602000,6,71246000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9143012721091391,0.9820198902971381,0.9481605812031386,0.9820198902971381,False,6893,49890,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola
1595000,0.010142116809207388,0.413531799729364,0.009716084316281437,0.007022170223073302,2.011125654450262,2.0,1.463520388180273,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.4316644113667118,1528000,7,69718000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9139122161220448,0.9836622500114997,0.9487872330667722,0.9836622500114997,False,3073,52963,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
1506000,0.009576193049947541,0.23225906414626588,0.009531682192477665,0.005614537012069998,1.6390927284856571,1.0,1.1619234720254696,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.23334366284474745,1499000,8,68219000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9128838982472215,0.9718690792047874,0.9423764887260044,0.9718690792047874,False,2457,55420,437614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
1506000,0.009576193049947541,0.4979852249832102,0.009429943089689377,0.015657634353562728,4.620364126770061,4.0,3.04177089831286,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_014337155.1 Wujia chipingensis strain=NSJ-4, ASM1433715v1",d14d6293643dd7ff1e991aef550ff44d,0.5057085292142377,1483000,9,66736000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9128838982472215,0.986720436281296,0.9498021672642587,0.986720436281296,False,6852,62272,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis
1283000,0.008158204304835787,0.3881804043545879,0.007935650017486409,0.006510303600890282,2.2828525641025643,2.0,2.226938986028451,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003478335.1 Clostridium sp. AM49-4BH strain=AM49-4BH, ASM347833v1",ff16223bcd34764bb61b5921e04eda49,0.3990668740279938,1248000,10,65488000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9100198678030937,0.9821489716478597,0.9460844197254767,0.9821489716478597,False,2849,65121,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475
1301000,0.00827266079547261,0.31499740529320186,0.007719454424061298,0.005539128090051963,1.9967051070840198,1.0,2.0933697050292808,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_902363675.1 Lachnospiraceae bacterium, MGYG-HGUT-00136",ac960028eaa927f2a1488994266a8e78,0.33757135443694863,1214000,11,64274000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9102684998100057,0.9789314165143912,0.9445999581621984,0.9789314165143912,False,2424,67545,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp000434275
1176000,0.007477824054939116,0.38170450806186246,0.007376084952150828,0.006610848830247661,2.4939655172413793,2.0,3.4275704875446107,/tmp/nxf.XXXXAcunjL/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003287405.1 Faecalibacterium prausnitzii strain=APC923/51-1, ASM328740v1",83658285655599b5c47e0b3e5c0720bf,0.386969397828233,1160000,12,63114000,ERR479208_2.fastq.gz,ERR479208,85ea1b67,157265000,51,DNA,1000,157265,True,0.9084673394309949,0.9815563294026725,0.9450118344168337,0.9815563294026725,False,2893,70438,437614,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_J
