intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1598000,0.02066281340108874,0.5014119861939128,0.02066281340108874,0.019132625517365484,1.6633291614518149,1.0,0.9965117787536012,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.5014119861939128,1598000,0,38105000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9267540638293358,0.9865553701507636,0.9566547169900497,0.9865553701507636,False,2658,2658,138925,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1344000,0.017378486364870632,0.4130301167793485,0.017378486364870632,0.019175814288285045,1.9821428571428572,2.0,1.2954738712225764,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542665.1 Alistipes communis strain=5CBH24, Acom_1.0",58355aca6226d242555a2554083bad09,0.4130301167793485,1344000,1,36761000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9236138364108198,0.9828115005307092,0.9532126684707645,0.9828115005307092,False,2664,5322,138925,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis
1164000,0.0150510105124326,0.4617529880478088,0.014986358405420433,0.01678603563073601,2.0120793787748057,2.0,1.3285966337716386,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.46374501992031875,1159000,2,35602000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9210134942425064,0.9850458735703557,0.9530296839064311,0.9850458735703557,False,2332,7654,138925,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
1173000,0.015167384305054502,0.2889339073183084,0.01475361082017663,0.017419470937556237,2.120946538124452,2.0,1.7542509725786135,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147325.1 Bacteroides stercoris ATCC 43183 strain=ATCC 43183, ASM2514732v1",457cfca025715f640ca0a2d4865521d7,0.2970372246138263,1141000,3,34461000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9211525998226348,0.9764791136408978,0.9488158567317663,0.9764791136408978,False,2420,10074,138925,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris
1059000,0.013693316265177082,0.3783494105037513,0.013693316265177082,0.013453302141443226,1.7648725212464589,1.0,1.3605993714064206,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_018228685.1 Clostridiaceae bacterium Marseille-Q4149 strain=Marseille-Q4149, ASM1822868v1",1bba9d7c75b903b81673df1b6344def2,0.3783494105037513,1059000,4,33402000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9193078184938287,0.9811228567132145,0.9502153376035216,0.9811228567132145,False,1869,11943,138925,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp001916855
1004000,0.01298214308804324,0.37574850299401197,0.01298214308804324,0.015835882670505667,2.191235059760956,2.0,1.562535376022128,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003531585.1 Ruminococcaceae bacterium, ASM353158v1",d6f1ac5aad30fa434bdd28fbbe7f9b68,0.37574850299401197,1004000,5,32398000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9183469585268841,0.9809901622706898,0.9496685603987869,0.9809901622706898,False,2200,14143,138925,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585
970000,0.0125425087603605,0.2028015889609032,0.0125425087603605,0.009335972647111751,1.3371134020618556,1.0,0.6710231590068092,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000701705.1 Bilophila wadsworthia ATCC 49260 strain=ATCC 49260, ASM70170v1",b1bd0a4998658b6084d0785f2a2c686c,0.2028015889609032,970000,6,31428000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9177268115165306,0.9691994606659144,0.9434631360912225,0.9691994606659144,False,1297,15440,138925,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia
852000,0.011016719034873347,0.2640150328844347,0.010900345242251445,0.01187691200287925,1.9572953736654803,2.0,1.4903655133977887,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900167555.1 Gemmiger formicilis strain=ATCC 27749, IMG-taxon 2590828806 annotated assembly",316f66857e7940a11e48de3faf3d397d,0.26683369871594115,843000,7,30585000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9153957001622071,0.9744281398835585,0.9449119200228828,0.9744281398835585,False,1650,17090,138925,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
875000,0.011314118727129317,0.2108790925496262,0.010577084707190607,0.009674284685981645,1.6430317848410758,1.0,0.9341165309351142,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.22557360144367106,818000,8,29767000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9158739372859034,0.9712239377363763,0.9435489375111399,0.9712239377363763,False,1344,18434,138925,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
841000,0.010874484399446578,0.28318276580959,0.010538293442983307,0.010674824545618139,1.8196319018404907,1.0,1.7269022194515502,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020687245.1 Faecalibacterium longum CLA-AA-H243 strain=CLA-AA-H243, ASM2068724v1",e1ff3e2f54ab82a776eb959bb6aa8673,0.2922168172341904,815000,9,28952000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.915162485850723,0.9761658976135182,0.9456641917321207,0.9761658976135182,False,1483,19917,138925,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
759000,0.00981418984444703,0.4837268666241225,0.009801259423044597,0.03209645492172035,5.882585751978892,5.0,3.7894016437749753,/tmp/nxf.XXXX1iYYOs/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.4843650287172942,758000,10,28194000,ERR2726549.fastq.gz,ERR2726549,7fec3ef3,77337000,51,DNA,1000,77337,True,0.9133234261276758,0.9858864943160246,0.9496049602218501,0.9858864943160246,False,4459,24376,138925,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
