intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2035000,0.04234995421626571,0.6385315343583308,0.04234995421626571,0.05752895196065706,1.9601965601965603,2.0,1.2377708268660834,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.6385315343583308,2035000,0,21843000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9398867948881974,0.9912428006579848,0.965564797773091,0.9912428006579848,False,3989,3989,69339,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1788000,0.03720968950303837,0.3902226102138804,0.03720968950303837,0.04825567141147118,1.871364653243848,1.0,1.2371066297359887,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.3902226102138804,1788000,1,20055000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9375051194424397,0.9817174671621071,0.9596112933022733,0.9817174671621071,False,3346,7335,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
1287000,0.026783484558395073,0.2533464566929134,0.026783484558395073,0.026305542335482195,1.4172494172494172,1.0,0.8984736530121531,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.2533464566929134,1287000,2,18768000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9314807073137085,0.9734376374818915,0.9524591723978,0.9734376374818915,False,1824,9159,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
1077000,0.022413219012736203,0.16609854353889061,0.022309165071172896,0.021430940740420255,1.3861940298507462,1.0,0.7111293254931185,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.16687325689494886,1072000,3,17696000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9282328752648067,0.9655008961611676,0.9468668857129872,0.9655008961611676,False,1486,10645,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
1038000,0.021601598268542414,0.26501675689610726,0.0213934903854158,0.024401851771730196,1.6459143968871595,1.0,1.3273217088340512,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.2675947409126063,1028000,4,16668000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9275618124130086,0.9744825577152417,0.9510221850641252,0.9744825577152417,False,1692,12337,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
997000,0.0207483559477233,0.14626250735726898,0.020685923582785315,0.01975800054803213,1.3782696177062375,1.0,1.9954098795149957,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.14670394349617422,994000,5,15674000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9268291408808288,0.9630652693206657,0.9449472051007473,0.9630652693206657,False,1370,13707,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
983000,0.02045700491134604,0.4237068965517241,0.02045700491134604,0.03504521265088911,2.472024415055951,2.0,1.9674308118467356,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900544265.1 uncultured Alistipes sp., UMGS657",e77421704892ae9949c055a5c40edcb7,0.4237068965517241,983000,6,14691000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9265721786037869,0.9833034421823323,0.9549378103930597,0.9833034421823323,False,2430,16137,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdavium
817000,0.01700241405144427,0.18633828996282528,0.01669025222675435,0.014450742006662918,1.2493765586034913,1.0,0.5426046542576575,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",903d4323f292a4facda7c7138f35e12d,0.18982342007434944,802000,7,13889000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9232177147969711,0.967943473677194,0.9455805942370825,0.967943473677194,False,1002,17139,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus
684000,0.014234579205860317,0.24702058504875407,0.014234579205860317,0.014479585803083402,1.4678362573099415,1.0,0.78200933055263,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004553625.1 Clostridiales bacterium, ASM455362v1",dfb4685da091b4f40a60b6d4543993ad,0.24702058504875407,684000,8,13205000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.920006871824469,0.9729551177100118,0.9464809947672403,0.9729551177100118,False,1004,18143,69339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha merdavium
636000,0.013235661366852577,0.2708688245315162,0.013235661366852577,0.015676603354533525,1.7091194968553458,1.0,1.2420736787551496,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.2708688245315162,636000,9,12569000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9186952761547283,0.9747149514771569,0.9467051138159426,0.9747149514771569,False,1087,19230,69339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
571000,0.011882960126529594,0.11589202354373858,0.011882960126529594,0.009749203190123883,1.1838879159369526,1.0,0.45784037480675216,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.11589202354373858,571000,10,11998000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9167552892381866,0.9586235828312154,0.937689436034701,0.9586235828312154,False,676,19906,69339,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
564000,0.011737284608340963,0.2197117257499026,0.011737284608340963,0.011984597412711462,1.4734042553191489,1.0,0.8898572120594588,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.2197117257499026,564000,11,11434000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9165335878511268,0.9707226461639151,0.9436281170075209,0.9707226461639151,False,831,20737,69339,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
496000,0.010322151003079996,0.24481737413622903,0.010322151003079996,0.008581029435094248,1.1995967741935485,1.0,0.46498334897962085,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000499765.1 Methanobacterium sp. MB1, Methanobacterium",ef2348530c6b74cb09e265c9ef0cdcc0,0.24481737413622903,496000,12,10938000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9142275780152815,0.9727842140294026,0.9435058960223421,0.9727842140294026,False,595,21332,69339,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
498000,0.010363772579705319,0.1847374386097469,0.010176475484891367,0.011191393011148127,1.586912065439673,1.0,0.9892636715756902,/tmp/nxf.XXXXp4QmmS/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000434235.1 Alistipes sp. CAG:268, MGS268",681ede2914dbd0fd440c5298cddc77fa,0.1881375141669815,489000,13,10449000,ERR480670.fastq.gz,ERR480670,62470b26,48052000,51,DNA,1000,48052,True,0.9142997179041258,0.96777417205057,0.9410369449773479,0.96777417205057,False,776,22108,69339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris
