intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2357000,0.07859024373978861,0.4258355916892502,0.07859024373978861,0.10539172919211307,1.793805685193042,1.0,1.3380292442173736,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000828055.2 Klebsiella variicola strain=DSM 15968, ASM82805v2",ca204df8ee9b0eebdb0f442ab90dec5c,0.4258355916892502,2357000,0,14030000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9513505234773652,0.9834000690696335,0.9673752962734994,0.9834000690696335,False,4228,4228,40117,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
1857000,0.0619185755726718,0.408311345646438,0.0619185755726718,0.08826681955280803,1.9068389876144318,1.0,1.9860693009302646,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.408311345646438,1857000,1,12173000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9469132963024431,0.98259009367151,0.9647516949869765,0.98259009367151,False,3541,7769,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
759000,0.025307592277683304,0.22767181350287619,0.02507418892334367,0.025350848767355487,1.3523936170212767,1.0,0.8328492586409812,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000173975.1 Anaerobutyricum hallii DSM 3353 strain=DSM 3353, ASM17397v1",8fce16b2b7ed2405807ddf248dc6febb,0.22979109900090827,752000,2,11421000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9304460418631777,0.9715767681132527,0.9510114049882152,0.9715767681132527,False,1017,8786,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii
763000,0.02544096562302024,0.19851525982952983,0.02407388883331666,0.02348131714734402,1.3047091412742382,1.0,0.6477790620150787,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_015557635.1 Fusicatenibacter saccharivorans strain=D41t1_190614_C8, ASM1555763v1",d2fdc17cdae8aecf1aac02f627d3979a,0.2097882870497663,722000,3,10699000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9305419421114048,0.969843351336055,0.9501926467237299,0.969843351336055,False,942,9728,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
642000,0.021406421926577972,0.1963670529282806,0.020906271881564468,0.025924171797492335,1.6586921850079746,1.0,1.5585132405212074,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900167555.1 Gemmiger formicilis strain=ATCC 27749, IMG-taxon 2590828806 annotated assembly",316f66857e7940a11e48de3faf3d397d,0.20106482931412464,627000,4,10072000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9273967513110934,0.9690360271897913,0.9482163892504424,0.9690360271897913,False,1040,10768,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
660000,0.02200660198059418,0.18603213844252164,0.02007268847320863,0.01949298302465289,1.2990033222591362,1.0,0.667443431466841,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025149785.1 Coprococcus comes ATCC 27758 strain=ATCC 27758, ASM2514978v1",3a055d916786f743b82f17b95fcc483f,0.20395550061804696,602000,5,9470000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9278997100068853,0.9693072897051627,0.948603499856024,0.9693072897051627,False,782,11550,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes
551000,0.018372178320162715,0.22998296422487224,0.018005401620486146,0.021487150085998455,1.5962962962962963,1.0,1.1956654683516224,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.2346678023850085,540000,6,8930000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9246213862878678,0.9719769167761515,0.9482991515320096,0.9719769167761515,False,862,12412,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
557000,0.018572238338168116,0.12781954887218044,0.015871428095095196,0.015255378019293567,1.2857142857142858,1.0,0.8415956946927248,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001487165.1 Blautia massiliensis strain=GD9, Blautia massiliensis1",26a084514a434ed691fd39a9b849e9f4,0.1495703544575725,476000,7,8454000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9248177610190546,0.9634307428795162,0.9441242519492854,0.9634307428795162,False,612,13024,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis
1117000,0.037244506685338935,0.12116272751969573,0.014871128005068186,0.01620260737343271,1.4573991031390134,1.0,1.1796961140201205,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013300825.1 Blautia wexlerae strain=MSK.20.46, ASM1330082v1",f0cfb5d5e2d9fea502197382ec21bc76,0.3034501494159196,446000,8,8008000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.937522312056865,0.9768881693945894,0.9572052407257272,0.9768881693945894,False,650,13674,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae_B
438000,0.014604381314394317,0.20769961977186313,0.014571037978060085,0.0167011491387691,1.5331807780320366,1.0,1.0423183966946865,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009696325.1 Collinsella sp. WCA1-178-WT-3 (M1) strain=WCA1-178-WT-3 (M1), ASM969632v1",0bba676288ab21e93f3582b8249493c7,0.20817490494296578,437000,9,7571000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9204696508662932,0.9696965500373725,0.9450831004518329,0.9696965500373725,False,670,14344,40117,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002391315
538000,0.01793871494781768,0.10390232224084271,0.014471007969057384,0.012762669192611611,1.1797235023041475,1.0,0.4988040231422971,/tmp/nxf.XXXXoknPXg/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003461245.1 Blautia sp. AF19-10LB strain=AF19-10LB, ASM346124v1",1010f41a1cf51346c99c112643c1110b,0.12880057457505387,434000,10,7137000,ERR688474.fastq.gz,ERR688474,b3c58083,29991000,51,DNA,1000,29991,True,0.9241886152375985,0.9606106735116704,0.9423996443746345,0.9606106735116704,False,512,14856,40117,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615
