intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
684000,0.021963202003660535,0.2366782006920415,0.021963202003660535,0.026322424486914426,1.5263157894736843,1.0,0.7859570801614779,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000437595.1 Faecalibacterium sp. CAG:74, MGS74",4d3dcfd86dd11d49ff70c883ae03f40b,0.2366782006920415,684000,0,11738000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9278637940399114,0.9721395079651752,0.9500016510025433,0.9721395079651752,False,1044,1044,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595
571000,0.018334778280833575,0.15804040963188487,0.018334778280833575,0.0359285966416217,2.4956217162872156,2.0,2.0212266975851643,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002265625.1 Prevotella sp. 885 strain=885, ASM226562v1",6f27695917a933cec0a9bc03e9acdf60,0.15804040963188487,571000,1,11167000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9245844427138076,0.9644718834753205,0.9445281630945641,0.9644718834753205,False,1425,2469,39662,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625
559000,0.01794945894743602,0.186271242919027,0.01794945894743602,0.021809288487721245,1.5474060822898033,1.0,0.9095928228792753,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.186271242919027,559000,2,10608000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9241994654345073,0.9675850144636785,0.9458922399490929,0.9675850144636785,False,865,3334,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
474000,0.015220113669203353,0.1682076813655761,0.015188003724753556,0.020372144622056377,1.708245243128964,1.0,1.1222691483488814,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900539625.1 uncultured Prevotella sp., UMGS156",024e7f90d7d6c01a9526f3a6821af502,0.16856330014224752,473000,3,10135000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9212152849056929,0.9656916821632456,0.9434534835344692,0.9656916821632456,False,808,4142,39662,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900539625
494000,0.015862312558199275,0.15913829047949965,0.014706354558006614,0.014724421360496193,1.275109170305677,1.0,0.6597211342540177,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020687245.1 Faecalibacterium longum CLA-AA-H243 strain=CLA-AA-H243, ASM2068724v1",e1ff3e2f54ab82a776eb959bb6aa8673,0.17164697706740792,458000,4,9677000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.921962100505141,0.9660350098569387,0.9439985551810399,0.9660350098569387,False,584,4726,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
398000,0.012779757891018848,0.1239193083573487,0.012426548502071092,0.014623569159396903,1.4987080103359174,1.0,0.8727120016015891,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_019052365.1 Prevotella stercorea strain=MSK.21.24, ASM1905236v1",af8f6b99c815af8e81a4051dabab00c0,0.12744156260006403,387000,5,9290000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9180640738095885,0.9604108995546051,0.9392374866820968,0.9604108995546051,False,580,5306,39662,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
404000,0.012972417557717626,0.15319320937752628,0.012169668946472723,0.011371085673944833,1.1899736147757256,1.0,0.4716833933670193,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900539945.1 uncultured Faecalibacterium sp., UMGS183",3bb5b6dd2b10e5252389d662c26718aa,0.16329830234438156,379000,6,8911000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9183334638325539,0.96509100539564,0.9417122346140969,0.96509100539564,False,451,5757,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945
374000,0.012009119224223742,0.187468671679198,0.012009119224223742,0.013640260198678837,1.446524064171123,1.0,0.9679772189879983,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900543625.1 uncultured Clostridiales bacterium, UMGS596",230628a283f5731e4baeb5b079cd6331,0.187468671679198,374000,7,8537000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9169451463512048,0.9677065932841377,0.9423258698176713,0.9677065932841377,False,541,6298,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625
295000,0.00947243361268985,0.09088079676314971,0.009376103779340462,0.008799354545912965,1.1952054794520548,1.0,0.6353547376935988,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001404675.1 Coprococcus eutactus strain=2789STDY5834963, 14207_7#86",6309e330103cdd129eb9c6193ed4268b,0.09181450357920946,292000,8,8245000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9126889150377429,0.9542560614231219,0.9334724882304324,0.9542560614231219,False,349,6647,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A
268000,0.008605465112545355,0.08895811699550017,0.008252255723597599,0.0070596540769502295,1.0894941634241244,1.0,0.2987759349486765,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020709055.1 Ruminococcus callidus strain=MSK.21.81, ASM2070905v1",3d36fa1fd7c6961f5ace5e67bf2b8252,0.0927656628591208,257000,9,7988000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9109727359371166,0.9544489207692075,0.932710828353162,0.9544489207692075,False,280,6927,39662,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175
249000,0.00799537616799923,0.10663811563169165,0.00799537616799923,0.007538702032171852,1.2008032128514057,1.0,0.45680855250782687,/tmp/nxf.XXXXXSxrne/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003447235.1 Prevotella sp., ASM344723v1",1bb968b75cb22f8ce2a80f83dafcfb5e,0.10663811563169165,249000,10,7739000,ERR2726637.fastq.gz,ERR2726637,c7e248e5,31143000,51,DNA,1000,31143,True,0.9096602011114637,0.9570606492700563,0.93336042519076,0.9570606492700563,False,299,7226,39662,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235
