intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
5477000,0.021919134920539634,0.14932657178690223,0.021919134920539634,0.02491727294927877,2.7757896658754793,2.0,3.972671609961528,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.14932657178690223,5477000,0,206137000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.927827254741869,0.9633999283988639,0.9456135915703665,0.9633999283988639,False,15203,15203,610139,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
4263000,0.017060666818743922,0.7792183389703119,0.016596430986941368,0.07118377943386671,10.473113093802748,10.0,9.977304268216141,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015547315.1 Phocaeicola vulgatus strain=BSD2780120874_150323_H11, ASM1554731v1",0ebc928d5824faa0cc85ecef615b0016,0.8010146561443067,4147000,1,201990000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9232796320343588,0.9956589392762798,0.9594692856553193,0.9956589392762798,False,43432,58635,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
3909000,0.01564394712513957,0.7322636767832978,0.015159701128173112,0.015350600436949613,2.472544878563886,2.0,5.781350069309926,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000157035.2 Parabacteroides sp. 2_1_7 strain=2_1_7, Bacteroides_sp_2_1_7_V2",eff01ba4c9c4f5dbbfe7b9d85e7a2ee6,0.7556543591726271,3788000,2,198202000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9217115427406455,0.994521508944813,0.9581165258427292,0.994521508944813,False,9366,68001,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. 2_1_7
3589000,0.014363296554649761,0.780852994555354,0.013774997698831006,0.019039923689519928,3.375072632190587,3.0,3.145548362499879,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003467285.1 Bacteroides eggerthii strain=AM42-16, ASM346728v1",16e2996bb4e6c6955d49970871fda32b,0.8142014519056261,3442000,3,194760000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9201692753539148,0.9959777685826823,0.9580735219682985,0.9959777685826823,False,11617,79618,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii
3209000,0.012842524002193115,0.6760058984621866,0.012842524002193115,0.009973137268720735,1.8962293549392335,2.0,1.4497336851743454,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_002109445.1 Escherichia coli strain=FAM21843, ASM210944v1",1024bb5f6ffcf1a7eece11c31f632ba4,0.6760058984621866,3209000,4,191551000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9181522724637688,0.9923518777049627,0.9552520750843658,0.9923518777049627,False,6085,85703,610139,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
3234000,0.01294257482801263,0.644878706199461,0.011489836837113254,0.015209648948846083,3.2323232323232323,3.0,2.1657252519558865,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015557855.1 Phocaeicola massiliensis strain=1001275B_160808_C5, ASM1555785v1",49948aaa68cedc02ebf469142236a867,0.7264150943396226,2871000,5,188680000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9182919934467804,0.993752271820999,0.9560221326338897,0.993752271820999,False,9280,94983,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis
2728000,0.01091754611342562,0.6605148130160272,0.010885529849163375,0.014575367252380195,3.269485294117647,3.0,3.7071803975236675,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003480345.1 Clostridium sp. AM32-2 strain=AM32-2, ASM348034v1",5294e1ecb86935bc8077bf5111abcea4,0.662457503642545,2720000,6,185960000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9152334059010261,0.9919580234927045,0.9535957146968652,0.9919580234927045,False,8893,103876,610139,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. AM32-2
2544000,0.01018117203539398,0.6504677754677755,0.010017088681049974,0.013488729617349489,3.2880543347982423,3.0,3.882272360799031,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001405535.1 Roseburia inulinivorans strain=2789STDY5608887, 13414_6#71",a17f2fc12e0f75a63eed97ef564bbbfc,0.6611226611226612,2503000,7,183457000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9139810918764727,0.9919187929374192,0.952949942406946,0.9919187929374192,False,8230,112106,610139,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
2529000,0.01012114153990227,0.5545066307035289,0.00987301549186987,0.010320599076603857,2.5524929063640047,2.0,2.370432665343307,/tmp/nxf.XXXXgYAKPa/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.5684423465947404,2467000,8,180990000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9138751178307998,0.9889855128306456,0.9514303153307226,0.9889855128306456,False,6297,118403,610139,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
2676000,0.010709440395721026,0.32662096543844615,0.009152649545969352,0.005418437438026417,1.4455618714473109,1.0,1.2966224417490986,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_009093695.1 Bacteroides xylanisolvens strain=BIOML-A74, ASM909369v1",4aa19d472fb6f990ef311a62e42e0473,0.38217652099400173,2287000,9,178703000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.914888094315289,0.9813164929821502,0.9481022936487196,0.9813164929821502,False,3306,121709,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens
2287000,0.009152649545969352,0.5371317263209155,0.00882848487031412,0.04863809722046943,13.452402538531278,14.0,8.296207783325439,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900625065.1 Prevotella marseillensis strain=Marseille-P8229, PRJEB29221",e3cd8f9b425433d404b3efe35b728bfd,0.5568541514487461,2206000,10,176497000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9120745341989327,0.988586188068131,0.9503303611335319,0.988586188068131,False,29676,151385,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis
2356000,0.009428789825231217,0.5282384042297524,0.008796468606051874,0.01017309170533272,2.8239308462238397,2.0,2.6435890173014807,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900066565.1 uncultured Clostridium sp., 13470_2#92",a2604abb126820bcd34cbc7f002638b1,0.5662100456621004,2198000,11,174299000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9126062739127503,0.9889092130193257,0.9507577434660379,0.9889092130193257,False,6207,157592,610139,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;uncultured Clostridium sp.
2445000,0.009784970765148695,0.5182998819362455,0.008784462506953533,0.006655860385912062,1.850113895216401,1.0,1.5681463995864198,/tmp/nxf.XXXXgYAKPa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003468355.1 Bacteroides stercoris strain=AM36-9BH, ASM346835v1",8a9ebd621960b453cb0b24eeebb59a2e,0.577331759149941,2195000,12,172104000,ERR479514_2.fastq.gz,ERR479514,dc803eb0,249873000,51,DNA,1000,249873,True,0.9132700310652693,0.9892864657726509,0.9512782484189601,0.9892864657726509,False,4061,161653,610139,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
