intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
6186000,0.042521308770965084,0.7820480404551201,0.042521308770965084,0.055177967516851,5.715486582605884,5.0,7.961486428237328,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000273195.1 Bacteroides ovatus CL02T12C04 strain=CL02T12C04, Bact_ovat_CL02T12C04_V1",cef55b5278841eb619d378ef0a457143,0.7820480404551201,6186000,0,121152000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9399612146264698,0.9951912247034889,0.9675762196649793,0.9951912247034889,False,35356,35356,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus;Bacteroides ovatus CL02T12C04
5070000,0.03485015122353588,0.7431094868280798,0.033544129777288975,0.030743036036724968,4.036680327868853,2.0,10.382603220556714,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001816245.2 Bacteroides thetaiotaomicron strain=14-106904-2, ASM181624v2",b3d4e845456dccba259248fd8785886c,0.7720420283234354,4880000,1,116272000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9363016264166807,0.9949399768434174,0.965620801630049,0.9949399768434174,False,19699,55055,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
4387000,0.030155347814132528,0.7590466249130132,0.029990376684080285,0.18586435234244175,27.296584918633968,26.0,16.943341826568833,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_008572125.1 Bacteroides dorei strain=BIOML-A5, ASM857212v1",41975d84a9903c4065f73319f4028b32,0.7632219902574808,4363000,2,111909000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9336489530537109,0.9947158468670648,0.9641823999603878,0.9947158468670648,False,119095,174150,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei
3428000,0.023563376409128402,0.6601332810662486,0.0231509485839978,0.016485034248232187,3.1362826603325415,3.0,2.179071138579807,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021405585.1 Bacteroides fragilis strain=BJH_220, ASM2140558v1",502b9f71f4eb848c9401f2eb0edf8201,0.6718933751470012,3368000,3,108541000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9291441323998961,0.9922331500703704,0.9606886412351332,0.9922331500703704,False,10563,184713,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
3274000,0.022504811657959856,0.08670047439882218,0.021858674731921914,0.04102764984869601,8.266981132075472,7.0,7.849214458529987,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.08926331861061126,3180000,4,105361000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.928307104438484,0.9537289405765865,0.9410180225075353,0.9537289405765865,False,26289,211002,640763,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
3196000,0.021968655485290076,0.9473053892215569,0.02174869397855375,0.02853941316836334,5.779709228824273,5.0,3.4460560892590504,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_905204645.1 Rikenellaceae bacterium, ERR748229-mag-bin.2",62678efe653f837fa0195e1073c6c078,0.9568862275449102,3164000,5,102197000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9278683109286792,0.9991362403321056,0.9635022756303924,0.9991362403321056,False,18287,229289,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;;Rikenellaceae bacterium
3150000,0.021652460819356612,0.5860679332181923,0.02099257629914765,0.015985629632172895,3.35396201702685,3.0,4.569780834580029,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003635485.1 Parabacteroides sp. AF19-14 strain=AF19-14, ASM363548v1",c7b09f5b7d3e70328305c0b98bf61d2a,0.6044905008635578,3054000,6,99143000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9276045868361494,0.9901785617362356,0.9588915742861925,0.9901785617362356,False,10243,239532,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. AF19-14
2655000,0.018249931262029145,0.555222602739726,0.017830629639813033,0.020302358282235398,5.015034695451041,4.0,6.868138298555088,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900066525.1 uncultured Clostridium sp., 13470_2#88",872fb45ab98182b80ac9fe0de5009ac8,0.568279109589041,2594000,7,96549000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9245003565756935,0.9889799433706125,0.9567401499731529,0.9889799433706125,False,13009,252541,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;uncultured Clostridium sp.
3421000,0.023515259829529834,0.45931248786172074,0.016256530107231236,0.01979202919019981,5.3623678646934465,2.0,12.061969145982303,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021891395.1 Phocaeicola vulgatus strain=Bv92, ASM2189139v1",3c2e54a61557f9aa107e0b762f062cfa,0.6644008545348611,2365000,8,94184000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9291068927808198,0.9920149995714389,0.9605609461761293,0.9920149995714389,False,12682,265223,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
3471000,0.023858949683805333,0.35514612452350697,0.01536981028320044,0.011366136933624444,3.257155635062612,2.0,3.748770550388871,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000163675.1 Bacteroides sp. D22 strain=D22, ASM16367v1",814fe5c4d89d9f4cdc6c06b4ed249846,0.5513024142312579,2236000,9,91948000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9293712673261453,0.9883919818607138,0.9588816245934295,0.9883919818607138,False,7283,272506,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. D22
2159000,0.014840527907616167,0.5539083557951483,0.014125653010723124,0.015773382670347696,4.918248175182482,4.0,5.443282683408891,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_009718405.1 Roseburia faecis strain=BIOML-A2, ASM971840v1",9dda603fb2a6622fd997594c08cc55b3,0.5819407008086254,2055000,10,89893000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9207591973981692,0.9894407188097184,0.9550999581039439,0.9894407188097184,False,10107,282613,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis
1939000,0.01332829254880396,0.5299241359932565,0.012963981303271928,0.02237488743888146,7.601802757158007,7.0,7.782091695098111,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021730695.1 Oscillospiraceae bacterium SCCA1, ASM2173069v1",9d4b30c2bd096013dca607233e6287d5,0.5448159595391964,1886000,11,88007000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9188209159574373,0.9881626345552958,0.9534917752563665,0.9881626345552958,False,14337,296950,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;Oscillospiraceae bacterium SCCA1
1870000,0.012854000549903767,0.5637101811367895,0.012407203739345615,0.011901436256462998,4.224930747922437,3.0,4.375750231921043,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001405395.1 Lachnospira eligens strain=2789STDY5834878, 14207_7#1",9daafde367af3044a41356b825ad6756,0.5840099937539038,1805000,12,86202000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9181683535448812,0.9895095851429274,0.9538389693439043,0.9895095851429274,False,7626,304576,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospira;Lachnospira eligens
1742000,0.011974154522958483,0.6292013010480665,0.011967280725872971,0.007881229097185699,2.900631820792648,2.0,2.1569397377218893,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015549395.1 Ruminococcus bicirculans strain=1001217B_150727_F5, ASM1554939v1",a860cbb7da734f4ed0460bbeedcd1a76,0.6295627032887604,1741000,13,84461000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.916892724491223,0.9909679029019808,0.953930313696602,0.9909679029019808,False,5050,309626,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus bicirculans
1793000,0.012324718174319495,0.4213210296260321,0.011926037943359911,0.005254672944598861,1.9406340057636888,1.0,1.654072835983912,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003480345.1 Clostridium sp. AM32-2 strain=AM32-2, ASM348034v1",5294e1ecb86935bc8077bf5111abcea4,0.4354055366682856,1735000,14,82726000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9174116584702058,0.9838287036842537,0.9506201810772297,0.9838287036842537,False,3367,312993,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. AM32-2
1894000,0.013018971679956007,0.34776304888152443,0.01154110530657135,0.00911257360365689,3.4776652769505656,2.0,3.685920643126279,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_014864805.1 Roseburia inulinivorans, ASM1486480v1",3a67d0da671afd421487a1ebcdf67f48,0.39229494614747307,1679000,15,81047000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9183979704985786,0.9818194286049834,0.950108699551781,0.9818194286049834,False,5839,318832,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
1744000,0.011987902117129502,0.42954964445614957,0.011211163046466868,0.006487578090495238,2.548743102391171,2.0,2.7864825374567013,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_018785365.1 Clostridium sp. MCC344 strain=MCC344, ASM1878536v1",2c08ac1bc2a87cb3727a54f5e57389da,0.45930998156439296,1631000,16,79416000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9169133538577589,0.984860286163688,0.9508868200107234,0.984860286163688,False,4157,322989,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. MCC344
1765000,0.012132251855925213,0.2848346235045742,0.011128677481440748,0.02357657979627413,9.331068560840025,6.0,9.0825106406549,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001406495.1 [Ruminococcus] torques strain=2789STDY5834965, 14207_7#88",02feeea61bc4b5c6ae5aad1ca5afb9ea,0.3105207600281492,1619000,17,77797000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9171285726514523,0.9773294664925086,0.9472290195719805,0.9773294664925086,False,15107,338096,640763,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] torques
1637000,0.011252405828979928,0.35551119982257706,0.011018696728072588,0.0043011222558106505,1.719276356830942,1.0,1.5391895284857149,/tmp/nxf.XXXXrDfTfa/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_002161635.1 Odoribacter splanchnicus strain=An45, ASM216163v1",2f8bb7862871c3725392993ff5c3499f,0.36305167442891995,1603000,18,76194000,ERR479584_2.fastq.gz,ERR479584,e883206d,145480000,51,DNA,1000,145480,True,0.9157757207577001,0.9803291810126369,0.9480524508851684,0.9803291810126369,False,2756,340852,640763,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus
