intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
3796000,0.02442649850390914,0.1034952832760783,0.02442649850390914,0.06207608000793895,7.085879873551106,4.0,11.92198917596421,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.1034952832760783,3796000,0,128470000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9297997725510364,0.9564994327706555,0.9431496026608459,0.9564994327706555,False,26898,26898,433307,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
3532000,0.022727711463595122,0.7593235039028621,0.022534667481741256,0.10125384542599127,12.528269560251285,7.0,15.959818023764125,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015557525.1 Phocaeicola vulgatus strain=1001275B_160808_F10, ASM1555752v1",c7926f55465f50b23df9a68a8ea1d294,0.7658282740676496,3502000,1,124968000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9284865182405888,0.9947823395315081,0.9616344288860484,0.9947823395315081,False,43874,70772,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
3007000,0.01934944178115247,0.6657047724750278,0.01929796338599144,0.033673584779382745,4.865288429476492,4.0,4.434683113061623,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_008418475.1 Alistipes onderdonkii strain=BIOML-A136, ASM841847v1",79cdae2a402bde64c806f6354a3b98c7,0.667480577136515,2999000,2,121969000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9255614622628728,0.9921049585590513,0.958833210410962,0.9921049585590513,False,14591,85363,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
2695000,0.01734178436987227,0.3761389521640091,0.01700074000193044,0.014234711186295167,2.334595003785011,2.0,2.9353504676870634,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003459105.1 Bacteroides ovatus strain=AF24-28LB, ASM345910v1",55295fde0c370a9985c372aa4f956092,0.3836845102505695,2642000,3,119327000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9235755497069875,0.98139226947859,0.9524839095927888,0.98139226947859,False,6168,91531,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
2674000,0.017206653582574564,0.38838531264403137,0.01626717287088575,0.019535802560309436,3.3484968354430378,2.0,3.945433502836721,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015546775.1 Bacteroides thetaiotaomicron strain=1001136B_160425_C5, ASM1554677v1",aced2eb5f86e33c27a80c8939255b9d9,0.41081579351666925,2528000,4,116799000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9234338962932784,0.9827079140115313,0.9530709051524049,0.9827079140115313,False,8465,99996,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
2446000,0.015739519320485184,0.6454439252336449,0.014220906663234773,0.01689794995234326,3.3131221719457016,3.0,2.2388304413811713,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000183485.2 Alistipes sp. HGB5 strain=HGB5, ASM18348v1",3d8e3bce7bef8a297a21a0f2c0aa8cf1,0.7143691588785047,2210000,5,114589000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9218216238434304,0.9934264962935849,0.9576240600685076,0.9934264962935849,False,7322,107318,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. HGB5
2459000,0.015823171712621858,0.39546191247974066,0.01413081947170297,0.01267000071542809,2.5,2.0,2.5179682155313694,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020554905.1 Bacteroides caccae strain=DFI.3.37, ASM2055490v1",5995b249d24e992e8f8498b2fa52461f,0.4428236989014947,2196000,6,112393000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9219174390936491,0.9841546529497549,0.953036046021702,0.9841546529497549,False,5490,112808,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
2215000,0.014253080660210417,0.40033815517565285,0.013712557511019593,0.012284592679093575,2.4978883153449085,2.0,2.5474143364789104,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_016888665.1 Parabacteroides distasonis strain=FDAARGOS_1233, ASM1688866v1",9ccc4087ef54345940a4f4f8537414a6,0.41611873003945143,2131000,7,110262000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9200303036203514,0.982955080815401,0.9514926922178761,0.982955080815401,False,5323,118131,433307,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
1994000,0.01283098999388694,0.5383569096844396,0.012734468002960008,0.02689086490640585,5.887822132390096,4.0,6.4079400797277914,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015554585.1 [Eubacterium] rectale strain=D41t1_190614_G3, ASM1555458v1",7060948b348bbacf1291a93403e4745d,0.5424374319912949,1979000,8,108283000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9181360966670423,0.9880778634733899,0.9531069800702161,0.9880778634733899,False,11652,129783,433307,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;[Eubacterium] rectale
1774000,0.011415334126958592,0.7955875731652409,0.01137029053119269,0.0176872286854355,4.337294850028297,4.0,2.6307325923563973,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003525445.1 Oscillibacter sp., ASM352544v1",e6cbc6466febf6c96580d272760ff841,0.7987393066186402,1767000,9,106516000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.9160338908514777,0.995603405970972,0.9558186484112248,0.995603405970972,False,7664,137447,433307,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;Oscillibacter sp.
1667000,0.010726810591679804,0.5039585870889159,0.010649592998938258,0.0160786693960633,4.209667673716012,3.0,8.353816549755031,/tmp/nxf.XXXX2tHKrT/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001405115.1 Coprococcus eutactus strain=2789STDY5608888, 13414_6#72",6f6faed862d43a6ba99834dc5e5d13df,0.5076126674786845,1655000,10,104861000,ERR479600_2.fastq.gz,ERR479600,13703fa7,155405000,51,DNA,1000,155405,True,0.914917167370668,0.986793150912995,0.9508551591418315,0.986793150912995,False,6967,144414,433307,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus
