intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1770000,0.04989991824307181,0.5553812362723565,0.04989991824307181,0.07433180782814035,2.0096045197740113,2.0,1.4326374719660473,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.5553812362723565,1770000,0,12726000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9429150025345903,0.9885348494277263,0.9657249259811582,0.9885348494277263,False,3557,3557,47853,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1216000,0.03428152575343238,0.34506242905788875,0.03428152575343238,0.04607861576076735,1.8133223684210527,1.0,1.6460239618306614,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003628435.1 Lysinibacillus endophyticus strain=DSM 100506, ASM362843v1",a16f7955b92eea2b3a498105e044a078,0.34506242905788875,1216000,1,11510000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9359996558833087,0.9793528017557688,0.9576762288195387,0.9793528017557688,False,2205,5762,47853,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus endophyticus
1164000,0.03281553945476587,0.5459662288930581,0.03281553945476587,0.07385116920569243,3.036082474226804,2.0,2.3313352765941153,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_018711305.1 Candidatus Coprenecus stercorigallinarum, ASM1871130v1",cc902d4e8b29fe08eb4eae47fab8f87d,0.5459662288930581,1164000,2,10346000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9351978948510382,0.9882035002512994,0.9617006975511688,0.9882035002512994,False,3534,9296,47853,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum
813000,0.02292013193876688,0.1650091333468642,0.02292013193876688,0.022192965958247133,1.3062730627306274,1.0,0.7125116320494346,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.1650091333468642,813000,3,9533000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9286400170138382,0.9652882489353793,0.9469641329746088,0.9652882489353793,False,1062,10358,47853,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
606000,0.01708437878830594,0.25292153589315525,0.01708437878830594,0.019497210206256662,1.5396039603960396,1.0,0.9669023596959702,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_002320595.1 Catabacter sp. UBA1685, ASM232059v1",572e5179ff10a5c045e3e16b45e039e1,0.25292153589315525,606000,4,8927000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.923304776301935,0.9734055977828981,0.9483551870424165,0.9734055977828981,False,933,11291,47853,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp002320595
563000,0.01587212088748555,0.1026248632883704,0.01587212088748555,0.013813136062524815,1.1740674955595027,1.0,0.44789102295773425,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.1026248632883704,563000,5,8364000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9219732753067685,0.9563410457568857,0.9391571605318272,0.9563410457568857,False,661,11952,47853,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
555000,0.01564658453384455,0.3098827470686767,0.01564658453384455,0.019246442229327317,1.6594594594594594,1.0,1.1629705966690753,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000016525.1 Methanobrevibacter smithii ATCC 35061 strain=ATCC 35061; PS; DSMZ 861, ASM1652v1",84d0a8ee2bacb5298bd9d78cb01c1a0c,0.3098827470686767,555000,6,7809000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.921714589373054,0.9772900527691054,0.9495023210710797,0.9772900527691054,False,921,12873,47853,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii
511000,0.014406134588819034,0.1845431563741423,0.014406134588819034,0.0148162079702422,1.3874755381604698,1.0,0.7804858783788345,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004553625.1 Clostridiales bacterium, ASM455362v1",dfb4685da091b4f40a60b6d4543993ad,0.1845431563741423,511000,7,7298000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9202230080715758,0.9674081985655307,0.9438156033185532,0.9674081985655307,False,709,13582,47853,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha merdavium
359000,0.010120943869639987,0.2538896746817539,0.010120943869639987,0.009696361774601384,1.2924791086350975,1.0,0.5883968436895539,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900554815.1 uncultured Clostridium sp., UMGS1754",0a733d0527206b5dda622cc939640f97,0.2538896746817539,359000,8,6939000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9138747678593031,0.9734785203354287,0.9436766440973658,0.9734785203354287,False,464,14046,47853,d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1754;s__UMGS1754 sp900554815
356000,0.010036367737024612,0.10232825524576028,0.010036367737024612,0.009132133826510354,1.2275280898876404,1.0,0.5315078844508614,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001701045.1 Cloacibacillus porcorum strain=CL-84 (T), ASM170104v1",b9143d93be6dbc285050abdb88750b70,0.10232825524576028,356000,9,6583000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9137244091675845,0.9562867721122157,0.9350055906399001,0.9562867721122157,False,437,14483,47853,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus porcorum
306000,0.008626765526768346,0.1303236797274276,0.008626765526768346,0.009382901803439701,1.4673202614379084,1.0,1.5148213322614787,/tmp/nxf.XXXXtDAgjK/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.1303236797274276,306000,10,6277000,ERR480480.fastq.gz,ERR480480,b6ef6f8c,35471000,51,DNA,1000,35471,True,0.9110168952692571,0.9608321278059541,0.9359245115376056,0.9608321278059541,False,449,14932,47853,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
