intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1851000,0.055682570242464355,0.4108768035516093,0.055682570242464355,0.08012326656394453,1.7136682874122096,1.0,1.0227673480609232,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_008420675.1 Alistipes onderdonkii strain=BIOML-A28, ASM842067v1",3a39d5c16706768961965804a20ebc98,0.4108768035516093,1851000,0,24470000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.94494441011734,0.982710775399888,0.963827592758614,0.982710775399888,False,3172,3172,39589,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
1346000,0.040490945189820104,0.5113981762917933,0.040490945189820104,0.0526661446361363,1.549034175334324,1.0,0.8344654865022273,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021770645.1 Akkermansia muciniphila, ASM2177064v1",ed5b1905e8a598bd4a3b259100b2d146,0.5113981762917933,1346000,1,23124000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9390598932272055,0.9869369198411236,0.9629984065341646,0.9869369198411236,False,2085,5257,39589,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
1264000,0.038024186270380844,0.23388753969736598,0.037663197160219,0.04081941953572962,1.29073482428115,1.0,0.6009660247540415,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_018291785.1 Bacteroides uniformis strain=CL06T03C05, ASM1829178v1",48e8bf93a92490fb7c74e0ca82c345eb,0.23612927330468897,1252000,2,21872000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9379032436298694,0.9720952481814192,0.9549992459056443,0.9720952481814192,False,1616,6873,39589,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
1121000,0.03372239937428554,0.17889208876842283,0.03176704169424222,0.035388618050468564,1.3267045454545454,1.0,1.5282339442847703,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000273055.1 Bacteroides dorei CL02T12C06 strain=CL02T12C06, Bact_dore_CL02T12C06_V1",2063497bd1cb4e6cb7cc4e901abd5173,0.18990343892935796,1056000,3,20816000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9356979031014908,0.9679514726207504,0.9518246878611206,0.9679514726207504,False,1401,8274,39589,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei;Phocaeicola dorei CL02T12C06
612000,0.018410444618254015,0.18176418176418177,0.018410444618254015,0.02147061052312511,1.3888888888888888,1.0,0.7790605667977865,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020687045.1 Oscillospiraceae bacterium CLA-AA-H272 strain=CLA-AA-H272, ASM2068704v1",10ee066a84e6189712e5217f4c56da2d,0.18176418176418177,612000,4,20204000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9246591093140304,0.9671204240890336,0.945889766701532,0.9671204240890336,False,850,9124,39589,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;Oscillospiraceae bacterium CLA-AA-H272
682000,0.020516214427531435,0.09579100145137881,0.01786896095301125,0.016570259415494202,1.1043771043771045,1.0,0.3565845735992923,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003475245.1 Bacteroides intestinalis strain=AF36-16BH, ASM347524v1",6376829712a3908debf7f25f408fc376,0.10998226092565715,594000,5,19610000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9266246887354558,0.9576402795901344,0.9421324841627952,0.9576402795901344,False,656,9780,39589,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinalis
599000,0.01801937308224535,0.10502709773874042,0.016906323325913002,0.01573669453636111,1.1085409252669038,1.0,0.3781840001967796,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021721775.1 Escherichia coli strain=Escherichia coli 18406, PDT001232302.1",05066c1967d44db83e20c578f68780bd,0.11194169314146889,562000,6,19048000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9242699154809197,0.9579719255898288,0.9411209205353743,0.9579719255898288,False,623,10403,39589,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
518000,0.01558269658865291,0.15518853225303833,0.014981048071716503,0.01586299224532067,1.2610441767068272,1.0,0.6432601718207247,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_017377535.1 Faecalibacterium sp. Marseille-Q4137 strain=Marseille-Q4137, ASM1737753v1",8be25787ab7747368ce5ac01bbb2cedb,0.16142100342785914,498000,7,18550000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9216406464866527,0.9648722246917958,0.9432564355892242,0.9648722246917958,False,628,11031,39589,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium sp. Marseille-Q4137
471000,0.014168822573852356,0.1618000687049124,0.014168822573852356,0.014322160196014044,1.2038216560509554,1.0,0.6425022755899266,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900066115.1 uncultured Coprococcus sp., 13414_6#3",1d09c41330cdbb45f601959bec52f828,0.1618000687049124,471000,8,18079000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9199233497723659,0.9649166013043845,0.9424199755383752,0.9649166013043845,False,567,11598,39589,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;uncultured Coprococcus sp.
770000,0.02316346790205162,0.09092690574172056,0.013958245592924613,0.014271641112430221,1.2176724137931034,1.0,0.5354161413437356,/tmp/nxf.XXXXQkyBx4/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_009107795.1 Bacteroides vulgatus strain=BIOML-A110, ASM910779v1",1ee20b144d99329ce81d6b8e23f47c8f,0.15089163237311384,464000,9,17615000,ERR481016.fastq.gz,ERR481016,b9cce7ea,33242000,51,DNA,1000,33242,True,0.9288323333244063,0.963596902391785,0.9462146178580957,0.963596902391785,False,565,12163,39589,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
