intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
649000,0.04628441021252318,0.14729913753971857,0.04628441021252318,0.05054985114527007,1.2819722650231125,1.0,0.7482893439171677,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.14729913753971857,649000,0,7447000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9415254280074241,0.9631417303373336,0.9523335791723788,0.9631417303373336,False,832,832,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
614000,0.043788332620168305,0.1482741857073408,0.043503066609613464,0.04897016829698037,1.321311475409836,1.0,0.7985878425867322,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025146565.1 Bacteroides eggerthii strain=DSM 20697, ASM2514656v1",45ad3ec1bc53e1675a4c17a92223f768,0.149246475449684,610000,1,6837000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9405025313623632,0.9633897933415009,0.9519461623519321,0.9633897933415009,False,806,1638,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii
518000,0.03694194836685209,0.09507874015748032,0.03444587077449722,0.034631508597120116,1.1801242236024845,1.0,0.5707305125029062,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.10196850393700788,483000,2,6354000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9373723803140714,0.956220737090218,0.9467965587021447,0.956220737090218,False,570,2208,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
479000,0.03416060476394238,0.15264499681325686,0.03416060476394238,0.03773011726107297,1.2964509394572026,1.0,0.6682541467037822,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900199635.1 Anaerotruncus massiliensis strain=AT3, PRJEB19460",f859cef73919b3b280a34b2d2c2886fe,0.15264499681325686,479000,3,5875000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9359348075098046,0.9638152107301589,0.9498750091199817,0.9638152107301589,False,621,2829,16459,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis
475000,0.03387533875338753,0.12719891745602166,0.03351875624019398,0.03584664924965065,1.2553191489361701,1.0,0.5786295293074056,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.12855209742895804,470000,4,5405000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9357809269081125,0.9605743023720509,0.9481776146400818,0.9605743023720509,False,590,3419,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
426000,0.030380830124090714,0.0869746150645027,0.02981029810298103,0.029831703019624522,1.174641148325359,1.0,0.4994044208171326,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.08863920099875156,418000,5,4987000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9337853405758619,0.9535977384037225,0.9436915394897922,0.9535977384037225,False,491,3910,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
390000,0.02781343602909713,0.14820717131474104,0.026529738981600343,0.02952791785649189,1.3064516129032258,1.0,0.7778252632383491,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.1553784860557769,372000,6,4615000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9321701441698069,0.9641506965067589,0.948160420338283,0.9641506965067589,False,486,4396,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
328000,0.023391812865497075,0.06743780008729812,0.022036799315361573,0.021872531745549546,1.1650485436893203,1.0,0.5414308152853857,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.07158446093408992,309000,7,4306000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9290110087735257,0.9496104077734193,0.9393107082734725,0.9496104077734193,False,360,4756,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
300000,0.02139495079161318,0.09392611145898559,0.02139495079161318,0.021751017680296494,1.1933333333333334,1.0,0.4718285941125466,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000154345.1 [Clostridium] leptum DSM 753 strain=DSM 753, ASM15434v1",4168e6f0bd13abfda2f7edf9bd1ed5a9,0.09392611145898559,300000,8,4006000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9273870042921614,0.9546816075777906,0.941034305934976,0.9546816075777906,False,358,5114,16459,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum
317000,0.02260733133647126,0.04735099337748344,0.02039651975467123,0.024059784920104504,1.3846153846153846,1.0,1.8789339222651866,/tmp/nxf.XXXXZqBYsk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.05248344370860927,286000,9,3720000,ERR480857.fastq.gz,ERR480857,05bc333e,14022000,51,DNA,1000,14022,True,0.9283898386954897,0.9438487358911696,0.9361192872933297,0.9438487358911696,False,396,5510,16459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
