intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1446000,0.05958709358387934,0.2934848792368581,0.05958709358387934,0.07358162199791159,1.4619640387275241,1.0,0.9038904778459252,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.2934848792368581,1446000,0,11385000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9462009429735977,0.9762487808255935,0.9612248618995956,0.9762487808255935,False,2114,2114,28730,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
1075000,0.04429884204887295,0.3198452841416245,0.04429884204887295,0.0571179951270449,1.5265116279069768,1.0,1.1280748856078706,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009494135.1 Prevotella copri strain=iAK278, ASM949413v1",29c5ed357ad46138fbfbe389c1783ea0,0.3198452841416245,1075000,1,10310000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9407163103870324,0.977896609179735,0.9593064597833837,0.977896609179735,False,1641,3755,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
636000,0.02620843120286809,0.25991009399264403,0.02620843120286809,0.03143056038983641,1.419811320754717,1.0,0.8623049203854153,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148445.1 Butyrivibrio crossotus strain=DSM 2876, ASM2514844v1",07840e8519e9862dc1ebd1e67b67e5b7,0.25991009399264403,636000,2,9674000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9310843774072604,0.9739259643417741,0.9525051708745172,0.9739259643417741,False,903,4658,28730,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus
567000,0.023365063666707875,0.12352684417285029,0.023323855441546134,0.02325095718760877,1.1802120141342756,1.0,0.4748411945029657,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.12374508948057616,566000,3,9108000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9289901666895041,0.9598567666627899,0.944423466676147,0.9598567666627899,False,668,5326,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
425000,0.017513495693740472,0.16892430278884463,0.017472287468578727,0.01837800208840933,1.2452830188679245,1.0,0.5241582786071359,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.1693227091633466,424000,4,8684000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9237539962225871,0.9657768006164822,0.9447653984195347,0.9657768006164822,False,528,5854,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
363000,0.014958585733712448,0.08216068996822515,0.014917377508550708,0.014549251653324052,1.1546961325966851,1.0,0.4622100900381876,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.08238765320018157,362000,5,8322000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9209022623755408,0.9522311729282978,0.9365667176519193,0.9522311729282978,False,418,6272,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
334000,0.013763547204021924,0.06220472440944882,0.013021799151110562,0.012286808214410024,1.1170886075949367,1.0,0.4234716432714512,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.065748031496063,316000,6,8006000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9194000376305221,0.9480281442232885,0.9337140909269053,0.9480281442232885,False,353,6625,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
302000,0.01244488399884617,0.07317664162830143,0.01244488399884617,0.01145144448311869,1.0894039735099337,1.0,0.30766204859090374,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_016899955.1 Marseilla massiliensis strain=An819, ASM1689995v1",2696032c16ac08da7d4cbfc0f86bad0a,0.07317664162830143,302000,7,7704000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9175862128434008,0.9500200992580691,0.9338031560507349,0.9500200992580691,False,329,6954,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella massiliensis
306000,0.01260971689949314,0.0626300457761132,0.012403675773684427,0.011312217194570135,1.079734219269103,1.0,0.28288017219146844,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.06367041198501873,301000,8,7403000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.917822982150147,0.9474314504639204,0.9326272163070337,0.9474314504639204,False,325,7279,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
302000,0.01244488399884617,0.09927200529450694,0.012362467548522686,0.01242603550295858,1.19,1.0,0.7442445834535849,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010509575.1 Faecalibacterium prausnitzii A2-165 strain=JCM 31915, ASM1050957v1",5136f6c0a3924e615495681fbaf7095d,0.099933818663137,300000,9,7103000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9175862128434008,0.9558429015638564,0.9367145572036286,0.9558429015638564,False,357,7636,28730,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
278000,0.011455886594964354,0.07940161104718067,0.01137347014464087,0.010720501218238775,1.1159420289855073,1.0,0.3820703283033063,/tmp/nxf.XXXXVZRMpI/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000296465.1 Barnesiella intestinihominis YIT 11860 strain=YIT 11860, Barn_inte_YIT_11860_V1",d196529161357ff3df29b07d59ecfd62,0.07997698504027619,276000,10,6827000,ERR480761.fastq.gz,ERR480761,aff3b76a,24267000,51,DNA,1000,24267,True,0.9160975872475117,0.9516768616999706,0.9338872244737411,0.9516768616999706,False,308,7944,28730,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
