intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1017000,0.04309869898715939,0.3298734998378203,0.04309869898715939,0.051441877126992656,1.4119960668633236,1.0,0.7772411993650555,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_004167605.1 Akkermansia sp. aa_0143 strain=aa_0143, ASM416760v1",0caee0c37905fb699696787c2a36e4f3,0.3298734998378203,1017000,0,11559000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9402098299669474,0.9784887390188207,0.959349284492884,0.9784887390188207,False,1436,1436,27915,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp004167605
645000,0.027333983133449168,0.14076822348319512,0.027333983133449168,0.02862260433458714,1.2387596899224806,1.0,0.638834947023007,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.14076822348319512,645000,1,10914000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9318523743337115,0.962285656391249,0.9470690153624802,0.962285656391249,False,799,2235,27915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
539000,0.022841886680510234,0.17960679773408864,0.022841886680510234,0.030986924592512986,1.6048237476808906,1.0,1.2739923503788406,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.17960679773408864,539000,2,10375000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9285777517357764,0.966894028019233,0.9477358898775047,0.966894028019233,False,865,3100,27915,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
493000,0.02089248633300843,0.19205298013245034,0.02089248633300843,0.024252194160845425,1.3732251521298176,1.0,0.6908949600758734,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.19205298013245034,493000,3,9882000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.926954954238077,0.9681651201502127,0.9475600371941448,0.9681651201502127,False,677,3777,27915,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
458000,0.019409246938170106,0.08720596672403902,0.0193244904013222,0.01830557048181981,1.1206140350877194,1.0,0.3814970168141607,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",5ed7bd7e8a301425ed2ad891c3e399f5,0.08758844903423217,456000,4,9426000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9256174700129677,0.9533747893847273,0.9394961296988475,0.9533747893847273,False,511,4288,27915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
455000,0.01928211213289825,0.22933467741935484,0.01928211213289825,0.024252194160845425,1.487912087912088,1.0,0.8538001882772305,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435055.1 Clostridium sp. CAG:138, MGS138",d260972647a9dc349a6b0e9de9b99b64,0.22933467741935484,455000,5,8971000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9254982043513493,0.9715388921998807,0.948518548275615,0.9715388921998807,False,677,4965,27915,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055
394000,0.016697037759037164,0.05768098881695115,0.01661228122218926,0.016836826079168907,1.1989795918367347,1.0,1.2417889414444434,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.057975279576221304,392000,6,8579000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9228896866184485,0.9456923150041555,0.934291000811302,0.9456923150041555,False,470,5435,27915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
348000,0.014747637411535364,0.11361410381978453,0.014747637411535364,0.014436682787032062,1.1580459770114941,1.0,0.44948077089387906,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.11361410381978453,348000,7,8231000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9206458441880482,0.9582505201558429,0.9394481821719456,0.9582505201558429,False,403,5838,27915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
341000,0.0144509895325677,0.1984551396316102,0.014154341653600034,0.014293390650188071,1.1946107784431137,1.0,0.4904791113658362,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545885.1 uncultured Clostridiales bacterium, UMGS814",bf891389a21b095e7a9140f8b8cfae03,0.20261437908496732,334000,8,7897000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9202791030212041,0.9691819098630848,0.9447305064421445,0.9691819098630848,False,399,6237,27915,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__Limadaptatus;s__Limadaptatus sp900545885
324000,0.013730558969360512,0.08552097428958051,0.013391532821968895,0.012753000179115171,1.1265822784810127,1.0,0.49342739857108797,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.08768606224627876,316000,9,7581000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9193567788972757,0.9533956111769973,0.9363761950371365,0.9533956111769973,False,356,6593,27915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
314000,0.01330677628512099,0.10006373486297004,0.01330677628512099,0.012358946802794197,1.0987261146496816,1.0,0.32876670937100144,/tmp/nxf.XXXXGm71Yw/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900199635.1 Anaerotruncus massiliensis strain=AT3, PRJEB19460",f859cef73919b3b280a34b2d2c2886fe,0.10006373486297004,314000,10,7267000,ERR1293312.fastq.gz,ERR1293312,2ee67951,23597000,51,DNA,1000,23597,True,0.9187918089911844,0.9558672510924084,0.9373295300417964,0.9558672510924084,False,345,6938,27915,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis
