intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1794000,0.11029818628957885,0.5857002938295789,0.11029818628957885,0.21559650528404106,3.149944258639911,3.0,2.170115383400602,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.5857002938295789,1794000,0,6398000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9576941416899141,0.9895656612600665,0.9736299014749903,0.9895656612600665,False,5651,5651,26211,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
1159000,0.07125730095296649,0.21134208606856308,0.07125730095296649,0.06523978482316585,1.4754098360655739,1.0,1.3165991370191392,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020297485.1 Enterocloster clostridioformis strain=FDAARGOS_1529, ASM2029748v1",dd34132a65d34f2b7d61732ca67b1c02,0.21134208606856308,1159000,1,5239000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9495251190690122,0.9699836886243297,0.959754403846671,0.9699836886243297,False,1710,7361,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
960000,0.0590224408238549,0.278085789320105,0.0585920688595143,0.06367555606424784,1.751311647429171,1.0,1.2487394947510113,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001517625.2 Clostridium sp. AT4 strain=AT5, Clostridium bouchedurhonense",cc83538e580742ca11ee9ed5266d8f53,0.28012839217974905,953000,2,4286000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9460243116219946,0.9753575840965051,0.9606909478592498,0.9753575840965051,False,1669,9030,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625
839000,0.05158315401168152,0.2796666666666667,0.05158315401168152,0.04486665903628248,1.401668653158522,1.0,0.7238798126602851,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847375.1 Akkermansia muciniphila strain=Akk1573, ASM1884737v1",a0187232545fc87ef446a1156ce94909,0.2796666666666667,839000,3,3447000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9435285735052427,0.9753260361154464,0.9594273048103446,0.9753260361154464,False,1176,10206,26211,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B
542000,0.03332308638180141,0.16334541062801933,0.0332616046726099,0.025103963984586624,1.2162661737523106,1.0,0.5567546204029862,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.1636473429951691,541000,4,2906000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9354793817925359,0.9651314106454457,0.9503053962189908,0.9651314106454457,False,658,10864,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
587000,0.03608976329541961,0.07103658536585365,0.028650476483246236,0.023272671779024073,1.3090128755364807,1.0,1.0249067223575965,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.08948170731707317,466000,5,2440000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9369435210848772,0.9537746379893071,0.9453590795370921,0.9537746379893071,False,610,11474,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
397000,0.024408238549031663,0.08201407211961302,0.02293267752843529,0.019190416237457555,1.3485254691689008,1.0,1.091880451145,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.08729111697449428,373000,6,2067000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9297861387504449,0.9533112252563878,0.9415486820034163,0.9533112252563878,False,503,11977,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
232000,0.014263756532431601,0.06233207952713595,0.014263756532431601,0.009805043683949487,1.1077586206896552,1.0,0.48381580672759844,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000239295.1 Flavonifractor plautii ATCC 29863 strain=ATCC 29863, ASM23929v1",1ed22d796c79d0337723a67a4b313636,0.06233207952713595,232000,7,1835000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9200438108775941,0.9470368856267553,0.9335403482521747,0.9470368856267553,False,257,12234,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
227000,0.013956347986474023,0.046695851573900354,0.013771902858899477,0.00900385334401587,1.0535714285714286,1.0,0.24419275591388112,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000466485.1 [Clostridium] symbiosum ATCC 14940 strain=ATCC 14940, ASM46648v1",b4c4f74940c0804547cf8948c2c84da3,0.04732124244319366,224000,8,1611000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9196508493232384,0.9419345100161164,0.9307926796696774,0.9419345100161164,False,236,12470,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum
170000,0.01045189056255764,0.04753820033955857,0.010328927144174608,0.006905497691808782,1.0773809523809523,1.0,0.2886137600571585,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_005121165.3 Dysosmobacter welbionis strain=J115, ASM512116v3",09a34dca3e142e3d9e58ce200e89b31c,0.04810413129598189,168000,9,1443000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9144515142596642,0.9422376173043808,0.9283445657820225,0.9422376173043808,False,181,12651,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis
174000,0.010697817399323701,0.04459148446490219,0.009529664924684907,0.006714738087062684,1.135483870967742,1.0,0.4961453917349775,/tmp/nxf.XXXX5CrJYq/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",c0af2b4fd1a1fb3c5fc7e5a29e4fe5d1,0.05005753739930955,155000,10,1288000,ERR1293252.fastq.gz,ERR1293252,a69b94e0,16265000,51,DNA,1000,16265,True,0.9148686147043346,0.9429733121206942,0.9289209634125144,0.9429733121206942,False,176,12827,26211,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
