intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
5442000,0.021756947470684893,0.14837232128251268,0.021756947470684893,0.02492159525867391,2.7816979051819186,2.0,4.043648680930128,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.14837232128251268,5442000,0,206094000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9276921499077666,0.9632788335138298,0.9454854917107982,0.9632788335138298,False,15138,15138,607425,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
4278000,0.017103311517748982,0.7820368282600526,0.016639547110068084,0.07060789397868049,10.30490148966843,10.0,9.470458887764456,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015547315.1 Phocaeicola vulgatus strain=BSD2780120874_150323_H11, ASM1554731v1",0ebc928d5824faa0cc85ecef615b0016,0.8038331454340474,4162000,1,201932000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9233248280910961,0.9957275146773058,0.9595261713842009,0.9957275146773058,False,42889,58027,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
3917000,0.015660044697293776,0.7351633481538759,0.01520427622767634,0.015366506153023008,2.454378122534841,2.0,5.477581652853382,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000157035.2 Parabacteroides sp. 2_1_7 strain=2_1_7, Bacteroides_sp_2_1_7_V2",eff01ba4c9c4f5dbbfe7b9d85e7a2ee6,0.7572008505702688,3803000,2,198129000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9217301301953019,0.9945613777296928,0.9581457539624973,0.9945613777296928,False,9334,67361,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. 2_1_7
3527000,0.014100836774918342,0.7686025408348457,0.01354511907950761,0.018608058608058607,3.3361865407319953,3.0,3.1655466844953772,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003467285.1 Bacteroides eggerthii strain=AM42-16, ASM346728v1",16e2996bb4e6c6955d49970871fda32b,0.8001361161524501,3388000,3,194741000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9198365957838794,0.9956375155458742,0.9577370556648768,0.9956375155458742,False,11303,78664,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii
3195000,0.012773511056383358,0.6730566673688645,0.012773511056383358,0.010065440177799728,1.9136150234741784,2.0,1.569082918110369,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_002109445.1 Escherichia coli strain=FAM21843, ASM210944v1",1024bb5f6ffcf1a7eece11c31f632ba4,0.6730566673688645,3195000,4,191546000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9180552725610989,0.9922668061632183,0.9551610393621586,0.9922668061632183,False,6114,84778,607425,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
3280000,0.013113338424080566,0.653863432165319,0.011638087851371503,0.015129439848540972,3.1569907248368256,3.0,2.20343375566706,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015557855.1 Phocaeicola massiliensis strain=1001275B_160808_C5, ASM1555785v1",49948aaa68cedc02ebf469142236a867,0.7367475292003594,2911000,5,188635000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9185280367254408,0.9940275142537547,0.9562777754895977,0.9940275142537547,False,9190,93968,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis
2749000,0.010990416868230938,0.6656143759106362,0.010958433115977084,0.014757377454006668,3.2703392922291137,3.0,3.8919499227024836,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003480345.1 Clostridium sp. AM32-2 strain=AM32-2, ASM348034v1",5294e1ecb86935bc8077bf5111abcea4,0.667557066537154,2741000,6,185894000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9153527972555423,0.9921071876391501,0.9537299924473461,0.9921071876391501,False,8964,102932,607425,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. AM32-2
2525000,0.010094871805122998,0.6457900207900208,0.009934953043853723,0.013295468576367453,3.2498993963782694,3.0,3.7490609139300184,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001405535.1 Roseburia inulinivorans strain=2789STDY5608887, 13414_6#71",a17f2fc12e0f75a63eed97ef564bbbfc,0.6561850311850311,2485000,7,183409000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.913828548926049,0.9917729997055725,0.9528007743158108,0.9917729997055725,False,8076,111008,607425,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
2512000,0.010042898207710482,0.5504607777028546,0.009791026158711375,0.010228423262131128,2.536953858717844,2.0,2.4382036305385637,/tmp/nxf.XXXXnaGSkB/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.5646212632052147,2449000,8,180960000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9137360631533599,0.9888547287443827,0.9512953959488712,0.9888547287443827,False,6213,117221,607425,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
2697000,0.01078252247858088,0.3287632105112825,0.009203324711046788,0.00551508416676956,1.4552562988705473,1.0,1.196376552085669,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_009093695.1 Bacteroides xylanisolvens strain=BIOML-A74, ASM909369v1",4aa19d472fb6f990ef311a62e42e0473,0.3851756640959726,2302000,9,178658000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9150101037068381,0.9814669134261927,0.9482385085665155,0.9814669134261927,False,3350,120571,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens
2337000,0.009343253627157403,0.5476016557097638,0.008991432352364999,0.048165617154381196,13.008892841262783,14.0,8.280429072317888,/tmp/nxf.XXXXnaGSkB/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900625065.1 Prevotella marseillensis strain=Marseille-P8229, PRJEB29221",e3cd8f9b425433d404b3efe35b728bfd,0.5690284879474069,2249000,10,176409000,ERR479515_2.fastq.gz,ERR479515,7f40b615,250127000,51,DNA,1000,250127,True,0.9124432145030629,0.9890054983881847,0.9507243564456238,0.9890054983881847,False,29257,149828,607425,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis
