intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
759000,0.03896103896103896,0.3866530820173204,0.03896103896103896,0.06417777777777778,1.9025032938076416,2.0,1.1097752527648244,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435975.1 Oscillibacter sp. CAG:241, MGS241",69562c3cd3eb99b63b3b579067a35f6c,0.3866530820173204,759000,0,7276000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.938350964004286,0.9815405909001003,0.9599457774521931,0.9815405909001003,False,1444,1444,22500,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975
584000,0.029977927211128793,0.12151477320016646,0.029977927211128793,0.028888888888888888,1.1130136986301369,1.0,0.34754790714022865,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.12151477320016646,584000,1,6692000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9335409319119827,0.9595145187894631,0.9465277253507229,0.9595145187894631,False,650,2094,22500,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
374000,0.019198193111236588,0.18093855829704886,0.019198193111236588,0.02008888888888889,1.2085561497326203,1.0,0.4731638316197571,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000010425.1 Bifidobacterium adolescentis ATCC 15703 strain=ATCC 15703, ASM1042v1",b0e4a396e8e45e93a40b880914038134,0.18093855829704886,374000,2,6318000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9254190564467979,0.9670340958398994,0.9462265761433486,0.9670340958398994,False,452,2546,22500,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis
365000,0.018736204506955494,0.14119922630560927,0.018736204506955494,0.019777777777777776,1.2191780821917808,1.0,0.5744938294425406,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.14119922630560927,365000,3,5953000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9249771665290768,0.9623433407839124,0.9436602536564946,0.9623433407839124,False,445,2991,22500,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
342000,0.01755556696268159,0.15370786516853932,0.01755556696268159,0.019155555555555554,1.260233918128655,1.0,0.5819888799568427,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003538135.1 Ruminococcaceae bacterium, ASM353813v1",2280f0ab44db868acb748a0bf4e814d5,0.15370786516853932,342000,4,5611000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9237974560530006,0.9639463529159077,0.9438719044844541,0.9639463529159077,False,431,3422,22500,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135
338000,0.017350238694112213,0.05596026490066225,0.017350238694112213,0.017333333333333333,1.1538461538461537,1.0,0.5102499677469846,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.05596026490066225,338000,5,5273000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9235843761069615,0.9450365875962407,0.934310481851601,0.9450365875962407,False,390,3812,22500,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
309000,0.01586160874698424,0.06062992125984252,0.015810276679841896,0.014844444444444445,1.0844155844155845,1.0,0.3004606571755656,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.060826771653543305,308000,6,4965000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9219612983802036,0.9465830443804576,0.9342721713803306,0.9465830443804576,False,334,4146,22500,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
299000,0.015348288075560802,0.16694584031267448,0.015348288075560802,0.016266666666666665,1.2240802675585285,1.0,0.5041188944860675,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000016525.1 Methanobrevibacter smithii ATCC 35061 strain=ATCC 35061; PS; DSMZ 861, ASM1652v1",84d0a8ee2bacb5298bd9d78cb01c1a0c,0.16694584031267448,299000,7,4666000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.921366776239396,0.9655091288290335,0.9434379525342147,0.9655091288290335,False,366,4512,22500,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii
268000,0.013756993994148144,0.11124948111249482,0.013756993994148144,0.014133333333333333,1.1865671641791045,1.0,0.5278499115004781,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900291955.1 Pseudoruminoccoccus massiliensis strain=Marseille-P3876, PRJEB24956",3a0dad474a3dde7c83bdcb418ce96116,0.11124948111249482,268000,8,4398000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9193914522524662,0.9578554192098134,0.9386234357311398,0.9578554192098134,False,318,4830,22500,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis
256000,0.01314100918844002,0.08852005532503458,0.01314100918844002,0.012222222222222223,1.07421875,1.0,0.29040545302806814,/tmp/nxf.XXXXMYMex9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025144995.1 Alistipes indistinctus YIT 12060 strain=YIT 12060, ASM2514499v1",040ef9348f9c00963288441e25c354ad,0.08852005532503458,256000,9,4142000,ERR480630.fastq.gz,ERR480630,057a559f,19481000,51,DNA,1000,19481,True,0.9185660015412632,0.9535725886463721,0.9360692950938176,0.9535725886463721,False,275,5105,22500,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus
