intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
823000,0.03355759429153925,0.2743333333333333,0.03355759429153925,0.04072398190045249,1.4763061968408262,1.0,0.9989593435951284,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847375.1 Akkermansia muciniphila strain=Akk1573, ASM1884737v1",a0187232545fc87ef446a1156ce94909,0.2743333333333333,823000,0,10563000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9356080237055401,0.9749578816787646,0.9552829526921524,0.9749578816787646,False,1215,1215,29835,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B
700000,0.02854230377166157,0.2113526570048309,0.02854230377166157,0.029160382101558573,1.2428571428571429,1.0,0.5888418241578557,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.2113526570048309,700000,1,9863000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9326430775257878,0.9699846399102559,0.9513138587180219,0.9699846399102559,False,870,2085,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
672000,0.027400611620795108,0.2095208268086439,0.0272782874617737,0.03914865091335679,1.7458893871449925,1.0,1.4654981735177732,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900167555.1 Gemmiger formicilis strain=ATCC 27749, IMG-taxon 2590828806 annotated assembly",316f66857e7940a11e48de3faf3d397d,0.21046038208581272,669000,2,9194000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9318968595353005,0.969904178804572,0.9509005191699362,0.969904178804572,False,1168,3253,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
562000,0.02291539245667686,0.1448827017272493,0.02291539245667686,0.027484498072733368,1.4590747330960854,1.0,0.9743678659455095,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.1448827017272493,562000,3,8632000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9286362514066266,0.9628294018914006,0.9457328266490137,0.9628294018914006,False,820,4073,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
555000,0.022629969418960245,0.11939313984168866,0.02214067278287462,0.024266800737388974,1.3333333333333333,1.0,0.9978491294808287,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.12203166226912929,543000,4,8089000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9284080582372768,0.9595943817978289,0.9440012200175528,0.9595943817978289,False,724,4797,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
466000,0.019001019367991846,0.06856974690994702,0.019001019367991846,0.017362158538629126,1.111587982832618,1.0,0.39902624203156944,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.06856974690994702,466000,5,7623000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9252317499539536,0.9488095985373589,0.9370206742456563,0.9488095985373589,False,518,5315,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
470000,0.019164118246687054,0.1596292481977343,0.018960244648318043,0.022222222222222223,1.4258064516129032,1.0,0.9500314907974177,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009695995.1 Lachnospiraceae bacterium WCA3-601-WT-6H strain=WCA3-601-WT-6H, ASM969599v1",5d6c5014a4cd18c2fe5be407fbfab795,0.16134569172674218,465000,6,7158000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9253868220030234,0.9648633958977235,0.9451251089503734,0.9648633958977235,False,663,5978,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis
450000,0.01834862385321101,0.09282984940436054,0.016839959225280327,0.01582034523210994,1.1428571428571428,1.0,0.47343837491913776,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.10114632501685772,413000,7,6745000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9245981279073383,0.956068958475008,0.9403335431911731,0.956068958475008,False,472,6450,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
422000,0.017206931702344545,0.13399339933993398,0.01655453618756371,0.019339701692642867,1.4211822660098523,1.0,1.6866454833436502,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_023347255.1 Faecalibacterium sp. I4384 strain=I4384, ASM2334725v1",1ea2dc0eabe05329a021ee2c38093f28,0.13927392739273928,406000,8,6339000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9234341889561578,0.9620843137456313,0.9427592513508946,0.9620843137456313,False,577,7027,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D
369000,0.015045871559633028,0.14985471149854712,0.01471967380224261,0.015451650745768392,1.2770083102493075,1.0,0.9623078920778508,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900291955.1 Pseudoruminoccoccus massiliensis strain=Marseille-P3876, PRJEB24956",3a0dad474a3dde7c83bdcb418ce96116,0.15317559153175592,361000,9,5978000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9210073271922826,0.9638807897632502,0.9424440584777665,0.9638807897632502,False,461,7488,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis
341000,0.013904179408766565,0.07311217808817111,0.01365953109072375,0.012602647896765544,1.1223880597014926,1.0,0.3939167635095607,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.07442164993452641,335000,10,5643000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9195833208359125,0.9503344146620929,0.9349588677490027,0.9503344146620929,False,376,7864,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
