intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1772000,0.049891601205056736,0.5560087856918733,0.049891601205056736,0.07643259012294228,2.069977426636569,2.0,1.5609011547309233,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.5560087856918733,1772000,0,13011000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9429119207185743,0.9885567390414209,0.9657343298799976,0.9885567390414209,False,3668,3668,47990,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1194000,0.03361770419798969,0.3388195232690125,0.03361770419798969,0.04380079183163159,1.7604690117252932,1.0,1.569040435180267,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003628435.1 Lysinibacillus endophyticus strain=DSM 100506, ASM362843v1",a16f7955b92eea2b3a498105e044a078,0.3388195232690125,1194000,1,11817000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9356408557509871,0.9790022606466281,0.9573215581988076,0.9790022606466281,False,2102,5770,47990,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus endophyticus
1151000,0.0324070163583636,0.5398686679174484,0.0324070163583636,0.07459887476557617,3.110338835794961,2.0,2.469094278809344,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_018711305.1 Candidatus Coprenecus stercorigallinarum, ASM1871130v1",cc902d4e8b29fe08eb4eae47fab8f87d,0.5398686679174484,1151000,2,10666000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9349682088722956,0.9879859020454326,0.9614770554588641,0.9879859020454326,False,3580,9350,47990,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum
880000,0.024776867415603795,0.17860767201136593,0.024776867415603795,0.024046676390914772,1.3113636363636363,1.0,0.6542573545252763,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.17860767201136593,880000,3,9786000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.930059458222397,0.9667882749239468,0.9484238665731719,0.9667882749239468,False,1154,10504,47990,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
628000,0.0176816735647718,0.2621035058430718,0.0176816735647718,0.020045842883934153,1.5318471337579618,1.0,0.9120242912565998,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_002320595.1 Catabacter sp. UBA1685, ASM232059v1",572e5179ff10a5c045e3e16b45e039e1,0.2621035058430718,628000,4,9158000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.92392711570288,0.9740864596972675,0.9490067877000737,0.9740864596972675,False,962,11466,47990,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp002320595
560000,0.015767097446293326,0.1020780167699599,0.015767097446293326,0.013481975411544072,1.1553571428571427,1.0,0.43810453859175424,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.1020780167699599,560000,5,8598000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9218532668144743,0.9562408631338252,0.9390470649741498,0.9562408631338252,False,647,12113,47990,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
531000,0.014950587042824563,0.2964824120603015,0.014950587042824563,0.01829547822463013,1.6534839924670433,1.0,1.125162515663958,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000016525.1 Methanobrevibacter smithii ATCC 35061 strain=ATCC 35061; PS; DSMZ 861, ASM1652v1",84d0a8ee2bacb5298bd9d78cb01c1a0c,0.2964824120603015,531000,6,8067000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9208926044110438,0.9764433183306296,0.9486679613708366,0.9764433183306296,False,878,12991,47990,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii
478000,0.013458343891657516,0.17262549656915854,0.013458343891657516,0.013898728901854554,1.395397489539749,1.0,0.6600841116635706,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004553625.1 Clostridiales bacterium, ASM455362v1",dfb4685da091b4f40a60b6d4543993ad,0.17262549656915854,478000,7,7589000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9189958732732938,0.9661426923853652,0.9425692828293295,0.9661426923853652,False,667,13658,47990,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha merdavium
353000,0.009938902497395614,0.24964639321074963,0.009938902497395614,0.009814544696811835,1.3342776203966005,1.0,0.6950966280743587,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900554815.1 uncultured Clostridium sp., UMGS1754",0a733d0527206b5dda622cc939640f97,0.24964639321074963,353000,8,7236000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.913549587992646,0.9731568611409439,0.9433532245667949,0.9731568611409439,False,471,14129,47990,d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1754;s__UMGS1754 sp900554815
335000,0.0094321029366219,0.09629203794193734,0.0094321029366219,0.009106063763284017,1.3044776119402985,1.0,0.620407385615001,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001701045.1 Cloacibacillus porcorum strain=CL-84 (T), ASM170104v1",b9143d93be6dbc285050abdb88750b70,0.09629203794193734,335000,9,6901000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9126125605523205,0.9551474038322146,0.9338799821922676,0.9551474038322146,False,437,14566,47990,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus porcorum
305000,0.008587437001999043,0.15968586387434555,0.008587437001999043,0.008085017712023338,1.2721311475409836,1.0,0.653899061629792,/tmp/nxf.XXXXtrUo0r/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900544965.1 uncultured Clostridiales bacterium, UMGS726",042d1dbac018e6cb5849431e41f77c76,0.15968586387434555,305000,10,6596000,ERR480481.fastq.gz,ERR480481,c6861e9c,35517000,51,DNA,1000,35517,True,0.9109352768274531,0.964667781499787,0.9378015291636201,0.964667781499787,False,388,14954,47990,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UMGS946;s__UMGS946 sp900544965
