intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1479000,0.06007311129163282,0.30018266693728435,0.06007311129163282,0.07471343263092868,1.4719405003380663,1.0,0.8290636517892175,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.30018266693728435,1479000,0,11316000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9463516670123948,0.9766808197753875,0.9615162433938911,0.9766808197753875,False,2177,2177,29138,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
1130000,0.045897644191714056,0.33620946146980063,0.045897644191714056,0.05926968220193562,1.5283185840707965,1.0,1.0405894369924653,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009494135.1 Prevotella copri strain=iAK278, ASM949413v1",29c5ed357ad46138fbfbe389c1783ea0,0.33620946146980063,1130000,1,10186000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9413705247242175,0.9788538240043784,0.960112174364298,0.9788538240043784,False,1727,3904,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
667000,0.027091795288383427,0.27257866775643647,0.027091795288383427,0.032775070354863066,1.431784107946027,1.0,0.9465839924380438,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148445.1 Butyrivibrio crossotus strain=DSM 2876, ASM2514844v1",07840e8519e9862dc1ebd1e67b67e5b7,0.27257866775643647,667000,2,9519000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.931689774684981,0.9748352234337514,0.9532624990593662,0.9748352234337514,False,955,4859,29138,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus
570000,0.0231519090170593,0.12418158009602794,0.023111291632818845,0.02254787562632988,1.1546572934973638,1.0,0.4200388260826943,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.12439982540375381,569000,3,8950000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9288232428663277,0.9599560898202169,0.9443896663432723,0.9599560898202169,False,657,5516,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
407000,0.01653127538586515,0.16135458167330677,0.01645004061738424,0.01664493101791475,1.1975308641975309,1.0,0.46666013451565236,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.16215139442231075,405000,4,8545000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9227091570284852,0.9649576395701313,0.9438333982993082,0.9649576395701313,False,485,6001,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
382000,0.015515840779853778,0.08647299137539718,0.015475223395613323,0.014688722630242295,1.1233595800524934,1.0,0.3806407766988619,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.08669995460735361,381000,5,8164000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9215629497129921,0.9531842125759293,0.9373735811444608,0.9531842125759293,False,428,6429,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
349000,0.014175467099918765,0.0641732283464567,0.013241267262388301,0.011908847553023544,1.0644171779141105,1.0,0.25768696984683886,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.0687007874015748,326000,6,7838000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9199318066860485,0.9488451187322342,0.9343884627091413,0.9488451187322342,False,347,6776,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
315000,0.012794476035743298,0.07632662951296341,0.012794476035743298,0.011497014208250394,1.0634920634920635,1.0,0.25653465207411963,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_016899955.1 Marseilla massiliensis strain=An819, ASM1689995v1",2696032c16ac08da7d4cbfc0f86bad0a,0.07632662951296341,315000,7,7523000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9180847937354296,0.9508055058447111,0.9344451497900703,0.9508055058447111,False,335,7111,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella massiliensis
302000,0.012266450040617384,0.0986101919258769,0.012103980503655564,0.012560917015581027,1.2281879194630871,1.0,0.6816955309381457,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010509575.1 Faecalibacterium prausnitzii A2-165 strain=JCM 31915, ASM1050957v1",5136f6c0a3924e615495681fbaf7095d,0.099933818663137,298000,8,7225000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.917326415876169,0.9558429015638564,0.9365846587200127,0.9558429015638564,False,366,7477,29138,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
259000,0.010519902518277823,0.07451093210586882,0.010519902518277823,0.010536069737113048,1.1853281853281854,1.0,0.46125666480519156,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000296465.1 Barnesiella intestinihominis YIT 11860 strain=YIT 11860, Barn_inte_YIT_11860_V1",d196529161357ff3df29b07d59ecfd62,0.07451093210586882,259000,9,6966000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9145678195156225,0.9503567563745535,0.932462287945088,0.9503567563745535,False,307,7784,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
264000,0.010722989439480097,0.05347482313774449,0.010438667749796912,0.009266250257395841,1.0505836575875487,1.0,0.21914595860433814,/tmp/nxf.XXXX8mldDO/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.05493133583021224,257000,10,6709000,ERR480760.fastq.gz,ERR480760,54e002a4,24620000,51,DNA,1000,24620,True,0.9149107757473505,0.9446927695422589,0.9298017726448047,0.9446927695422589,False,270,8054,29138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
