intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
3700000,0.013291757673295782,0.7509640755023341,0.013291757673295782,0.005348148070858234,2.2164864864864864,2.0,1.5351374904816342,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.7509640755023341,3700000,0,118394000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9187714646202919,0.9944001016658189,0.9565857831430554,0.9944001016658189,False,8201,8201,1533428,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
3105000,0.01115429934475227,0.6827176781002638,0.01115429934475227,0.11568198832941619,57.130434782608695,58.0,48.31490961176737,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.6827176781002638,3105000,1,115289000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9156184912161472,0.9925441327263815,0.9540813119712643,0.9925441327263815,False,177390,185591,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
2935000,0.01054359696516841,0.5342815463165572,0.010525635130474767,0.00513424823336994,2.6870307167235494,2.0,5.49452122921603,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020297485.1 Enterocloster clostridioformis strain=FDAARGOS_1529, ASM2029748v1",dd34132a65d34f2b7d61732ca67b1c02,0.5351932895696572,2930000,2,112359000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9146081656143432,0.9878174177062687,0.9512127916603059,0.9878174177062687,False,7873,193464,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
2657000,0.009544918956201862,0.5230314960629922,0.009544918956201862,0.004276040348813247,2.4678208505833648,2.0,2.156774055262069,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.5230314960629922,2657000,3,109702000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.912825347368931,0.9873722973562514,0.9500988223625912,0.9873722973562514,False,6557,200021,1533428,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
2681000,0.009631135762731348,0.7609321058688148,0.009501810552937119,0.010858677420785326,6.295274102079395,4.0,11.89240342947568,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",c0af2b4fd1a1fb3c5fc7e5a29e4fe5d1,0.7712888377445339,2645000,4,107057000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9129863086414163,0.994920935463575,0.9539536220524956,0.994920935463575,False,16651,216672,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
2644000,0.009498218185998391,0.5819285232636547,0.009300638004368318,0.008264489757588879,4.8949401313248355,2.0,11.314415578817897,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.5942908518768263,2589000,5,104468000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9127375638378776,0.9898482251982115,0.9512928945180446,0.9898482251982115,False,12673,229345,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
2409000,0.008654011955397172,0.7225554889022195,0.008654011955397172,0.003496740636012907,2.2258198422581983,2.0,2.994886607043059,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_014131695.1 Erysipelatoclostridium ramosum DSM 1402 strain=DSM 1402, ASM1413169v1",7067e76f1f8fb6fb2a7b6a18482cbfb2,0.7225554889022195,2409000,6,102059000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9110732261243347,0.9936484712746285,0.9523608486994817,0.9936484712746285,False,5362,234707,1533428,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa
2195000,0.007885245430509254,0.6578867696033909,0.007806213357857225,0.010508481650263331,7.41555453290382,6.0,11.329921497918907,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000173975.1 Anaerobutyricum hallii DSM 3353 strain=DSM 3353, ASM17397v1",8fce16b2b7ed2405807ddf248dc6febb,0.6645473811686345,2173000,7,99886000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9094128419662025,0.9920192888821465,0.9507160654241745,0.9920192888821465,False,16114,250821,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii
2129000,0.007648149212553167,0.7111780455153949,0.007633779744798253,0.00534488740260384,3.8569411764705883,3.0,5.0106010027046155,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148965.1 Intestinibacter bartlettii strain=DSM 16795, ASM2514896v1",7dae968335e10707e04076acaf75f7a9,0.7125167336010709,2125000,8,97761000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9088686114366077,0.9933759212574198,0.9511222663470138,0.9933759212574198,False,8196,259017,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii
2055000,0.007382314059087252,0.5920630288882405,0.007288912518680308,0.005110771421938298,3.8624938393297192,3.0,4.2561315049547295,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001517625.2 Clostridium sp. AT4 strain=AT5, Clostridium bouchedurhonense",cc83538e580742ca11ee9ed5266d8f53,0.5996498395097754,2029000,9,95732000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9082383864158715,0.9900224739070158,0.9491304301614436,0.9900224739070158,False,7837,266854,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625
2082000,0.007479307966432923,0.5981280193236715,0.007116478905621336,0.04745054870525385,36.72993437657749,35.0,21.261579852757144,/tmp/nxf.XXXX48E7xE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.6286231884057971,1981000,10,93751000,ERR710430_2.fastq.gz,ERR710430,96e0937c,278368000,51,DNA,1000,278368,True,0.9084708739445861,0.9909388846008782,0.9497048792727322,0.9909388846008782,False,72762,339616,1533428,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
