intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
943000,0.04117544319273426,0.3058709049626987,0.04117544319273426,0.04825538233110616,1.378579003181336,1.0,0.6767203800793212,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_004167605.1 Akkermansia sp. aa_0143 strain=aa_0143, ASM416760v1",0caee0c37905fb699696787c2a36e4f3,0.3058709049626987,943000,0,11010000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9393686123247645,0.977040380218673,0.9582044962717188,0.977040380218673,False,1300,1300,26940,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp004167605
593000,0.02589293511483713,0.12941946748144914,0.02589293511483713,0.026688938381588714,1.21247892074199,1.0,0.5181815004714811,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.12941946748144914,593000,1,10417000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9308632984188675,0.9607009664999672,0.9457821324594173,0.9607009664999672,False,719,2019,26940,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
531000,0.023185747969609642,0.1769410196601133,0.023185747969609642,0.03184855233853007,1.615819209039548,1.0,1.1009558581476286,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.1769410196601133,531000,2,9886000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9288498428904919,0.9666105696189865,0.9477302062547392,0.9666105696189865,False,858,2877,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
517000,0.022574447646493755,0.09848919487473705,0.022487119028905773,0.021083890126206383,1.1029126213592233,1.0,0.31636783024741716,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",5ed7bd7e8a301425ed2ad891c3e399f5,0.0988716771849302,515000,3,9371000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9283633414154737,0.95564265781888,0.9420029996171768,0.95564265781888,False,568,3445,26940,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
491000,0.02143917561784997,0.19127386053759252,0.02143917561784997,0.02505567928730512,1.374745417515275,1.0,0.7347178174215175,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.19127386053759252,491000,4,8880000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.927424553950772,0.9680879538924678,0.9477562539216199,0.9680879538924678,False,675,4120,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
433000,0.018906645707798445,0.21824596774193547,0.018906645707798445,0.023496659242761692,1.46189376443418,1.0,0.8150167500130071,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435055.1 Clostridium sp. CAG:138, MGS138",d260972647a9dc349a6b0e9de9b99b64,0.21824596774193547,433000,5,8447000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9251414237396944,0.9705952494521707,0.9478683365959326,0.9705952494521707,False,633,4753,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055
381000,0.01663610165051087,0.05547380812242496,0.016461444415334904,0.017112100965107648,1.2228116710875332,1.0,1.235294206334389,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.05606238964096527,377000,6,8070000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9228235269947657,0.945070373958269,0.9339469504765173,0.945070373958269,False,461,5214,26940,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
351000,0.015326172386691119,0.2043969102792632,0.015020522225133176,0.0151818856718634,1.188953488372093,1.0,0.4722472969372884,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545885.1 uncultured Clostridiales bacterium, UMGS814",bf891389a21b095e7a9140f8b8cfae03,0.20855614973262032,344000,7,7726000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9213407261125668,0.9697313398134596,0.9455360329630131,0.9697313398134596,False,409,5623,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__Limadaptatus;s__Limadaptatus sp900545885
338000,0.014758536372369225,0.11034933072151486,0.014758536372369225,0.014587973273942094,1.1627218934911243,1.0,0.4284632504384669,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.11034933072151486,338000,8,7388000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9206591802553284,0.9577028470741896,0.939181013664759,0.9577028470741896,False,393,6016,26940,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
305000,0.013317614182167497,0.07848443843031123,0.012662649550257619,0.012212323682256868,1.1344827586206896,1.0,0.4224524964675914,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.08254397834912043,290000,9,7098000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9188064761424849,0.9522665673899874,0.9355365217662361,0.9522665673899874,False,329,6345,26940,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
288000,0.012575320932669635,0.09177820267686425,0.012575320932669635,0.011432813659985152,1.0694444444444444,1.0,0.25420840580171006,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900199635.1 Anaerotruncus massiliensis strain=AT3, PRJEB19460",f859cef73919b3b280a34b2d2c2886fe,0.09177820267686425,288000,10,6810000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9177738266293668,0.954248662218023,0.9360112444236949,0.954248662218023,False,308,6653,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis
283000,0.012356999388699677,0.0772614792411328,0.012269670771111693,0.011766889383815888,1.1281138790035588,1.0,0.3929444481663277,/tmp/nxf.XXXXotZr3u/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_015557635.1 Fusicatenibacter saccharivorans strain=D41t1_190614_C8, ASM1555763v1",d2fdc17cdae8aecf1aac02f627d3979a,0.0778113830079736,281000,11,6529000,ERR1293309.fastq.gz,ERR1293309,37af32f9,22902000,51,DNA,1000,22902,True,0.9174587139217552,0.9511647515412105,0.9343117327314828,0.9511647515412105,False,317,6970,26940,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
