intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
494000,0.018793273986152326,0.31167192429022084,0.018793273986152326,0.021739805584024347,1.417004048582996,1.0,1.2884547802043274,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003019695.1 Fusobacterium gonidiaformans ATCC 25563 strain=ATCC 25563, ASM301969v1",eb25fabc2007164c48d9432681601085,0.31167192429022084,494000,0,3212000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9250323279564467,0.9774003800807831,0.9512163540186149,0.9774003800807831,False,700,700,32199,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C gonidiaformans
443000,0.01685307768393822,0.08720472440944882,0.01685307768393822,0.015559489425137426,1.1309255079006773,1.0,0.40982934438176805,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.08720472440944882,443000,1,2769000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9230580292314385,0.9532927163127345,0.9381753727720865,0.9532927163127345,False,501,1201,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
311000,0.01183139313703112,0.0658193372673627,0.0110324887772959,0.009720798782570888,1.0793103448275863,1.0,0.306120677516775,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.07058556513844758,290000,2,2479000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9166771163956602,0.9493487915069847,0.9330129539513224,0.9493487915069847,False,313,1514,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
256000,0.009739024575819828,0.10902896081771721,0.009739024575819828,0.00953445759185068,1.19921875,1.0,0.4456379019433126,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.10902896081771721,256000,3,2223000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9131857518291704,0.9574768272376283,0.9353312895333994,0.9574768272376283,False,307,1821,32199,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
226000,0.008597732633340942,0.036754966887417216,0.008445560374343757,0.007174135842728035,1.0405405405405406,1.0,0.19722323674765435,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000172175.1 Bacteroides intestinalis DSM 17393 strain=DSM 17393, ASM17217v1",88d0574f8547abcdfff80042523ef059,0.03741721854304636,222000,4,2001000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9109566786941129,0.9376073643524584,0.9242820215232856,0.9376073643524584,False,231,2052,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis
184000,0.006999923913870502,0.028044623489308956,0.006885794719622613,0.005962918103046678,1.0607734806629834,1.0,0.23891434597170888,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.02850945150294391,181000,5,1820000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9072916789176904,0.9326220171172771,0.9199568480174838,0.9326220171172771,False,192,2244,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
186000,0.007076010043369094,0.031970935513169846,0.0066955793958761315,0.00565234945184633,1.0340909090909092,1.0,0.18146272071217398,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000613465.1 Bacteroides nordii WAL 11050 = JCM 12987 strain=JCM 12987, ASM61346v1",2622449679f676b2a7b48fe066bdf236,0.033787465940054495,176000,6,1644000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9074840258570905,0.9357332697952024,0.9216086478261465,0.9357332697952024,False,182,2426,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
162000,0.0061629764893859846,0.023114937031723258,0.00551624438864795,0.004658529768005217,1.0344827586206897,1.0,0.18246560765962697,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.02582496413199426,145000,7,1499000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9050291321985391,0.9308153231453475,0.9179222276719433,0.9308153231453475,False,150,2576,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
136000,0.0051738568059042835,0.028153644696639023,0.00490755535265921,0.0042547905214447655,1.062015503875969,1.0,0.2986257408412128,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.02968136185072021,129000,8,1370000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9019299974988254,0.9333589631751661,0.9176444803369957,0.9333589631751661,False,137,2713,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
127000,0.004831469223160618,0.03146679881070367,0.004831469223160618,0.004099506195844592,1.0393700787401574,1.0,0.1944738430744641,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000949455.1 Ruthenibacterium lactatiformans strain=585-1, ASM94945v1",1562c71162861a5c6e3bb1e6d2a266f2,0.03146679881070367,127000,9,1243000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.9007199636050315,0.9344286135488236,0.9175742885769276,0.9344286135488236,False,132,2845,32199,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
114000,0.004336909381419767,0.04084967320261438,0.0038043064749296203,0.003167800242243548,1.02,1.0,0.13999999999999999,/tmp/nxf.XXXXJJTv8k/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000262545.1 Prevotella bivia DSM 20514 strain=DSM 20514, ASM26254v1",49a47293cc042ad7611e58377689d1e4,0.04656862745098039,100000,10,1143000,ERR480524.fastq.gz,ERR480524,085272c9,26286000,51,DNA,1000,26286,True,0.8988147750465022,0.9416384527677496,0.9202266139071259,0.9416384527677496,False,102,2947,32199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia
