intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1395000,0.08437670114316821,0.6929955290611028,0.08437670114316821,0.14297100727308956,2.057347670250896,2.0,1.379161915368466,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900547395.1 uncultured Opitutales bacterium, UMGS982",d6434e3f0d29708bef90aac33a03ad39,0.6929955290611028,1395000,0,6455000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9526766921142998,0.9928349738121355,0.9727558329632177,0.9928349738121355,False,2870,2870,20074,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__UMGS1490;s__UMGS1490 sp900547395
1228000,0.0742756910421581,0.18069452619187756,0.0742756910421581,0.08294311049118262,1.3558631921824105,1.0,0.9708654023561093,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.18069452619187756,1228000,1,5227000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9502978336755581,0.9670085055776418,0.9586531696266,0.9670085055776418,False,1665,4535,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
522000,0.031573217201959713,0.1345707656612529,0.031573217201959713,0.03307761283251968,1.2720306513409962,1.0,0.5696198361022771,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.1345707656612529,522000,2,4705000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9344904751434348,0.9614364927989268,0.9479634839711808,0.9614364927989268,False,664,5199,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
428000,0.02588761870198996,0.09318075665576833,0.024133551079658862,0.022018531433695327,1.1077694235588973,1.0,0.362274611590332,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900091655.1 Culturomica massiliensis strain=Marseille-P2698, PRJEB14541",165ef3086dadc4423cadae6faa681a01,0.09995329285380664,399000,3,4306000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9308595504423431,0.9558465534883994,0.9433530519653712,0.9558465534883994,False,442,5641,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter massiliensis
359000,0.021714147462650456,0.07066929133858267,0.021714147462650456,0.019826641426721133,1.1086350974930361,1.0,0.3833703025166809,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.07066929133858267,359000,4,3947000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9276563321224722,0.9493708587822817,0.9385135954523769,0.9493708587822817,False,398,6039,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
192000,0.011613137361640356,0.0405936272370144,0.011250226819089094,0.009664242303477134,1.043010752688172,1.0,0.25033218767360893,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.041903099083369706,186000,5,3761000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.916342510425486,0.9396913270192371,0.9280169187223615,0.9396913270192371,False,194,6233,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
186000,0.011250226819089094,0.030959752321981424,0.010887316276537834,0.009415163893593703,1.05,1.0,0.21794494717703372,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",6bf3ff1d807c2ab1988e6b3c386a7cec,0.03199174406604747,180000,6,3581000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9157722432028179,0.934731800300781,0.9252520217517994,0.934731800300781,False,189,6422,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens
176000,0.010645375914836993,0.03620474406991261,0.010524405733986572,0.009166085483710272,1.0574712643678161,1.0,0.2777711718067718,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.036620890553474825,174000,7,3407000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9147804663764549,0.9372119589047754,0.9259962126406152,0.9372119589047754,False,184,6606,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
172000,0.010403435553136152,0.10976388002552648,0.010403435553136152,0.010212214805220684,1.191860465116279,1.0,0.46172455200624224,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.10976388002552648,172000,8,3235000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9143681992600601,0.9576029591033806,0.9359855791817203,0.9576029591033806,False,205,6811,20074,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
166000,0.01004052501058489,0.051794071762870514,0.01004052501058489,0.009265716847663644,1.1204819277108433,1.0,0.4362377588007632,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000020605.1 [Eubacterium] rectale ATCC 33656 strain=ATCC 33656, ASM2060v1",bb4d1c2199066ffc1226ec8433ce5698,0.051794071762870514,166000,9,3069000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.913731828911565,0.9436040690132976,0.9286679489624313,0.9436040690132976,False,186,6997,20074,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
151000,0.009133248654206737,0.058823529411764705,0.009133248654206737,0.008219587526153233,1.0927152317880795,1.0,0.2900329594762674,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.058823529411764705,151000,10,2918000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9120365863928274,0.9459616944974788,0.9289991404451531,0.9459616944974788,False,165,7162,20074,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
146000,0.008830823202080687,0.02225609756097561,0.008830823202080687,0.007621799342432998,1.047945205479452,1.0,0.21365032822578384,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.02225609756097561,146000,11,2772000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9114346046729571,0.9281048443705447,0.9197697245217509,0.9281048443705447,False,153,7315,20074,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
323000,0.01953668420734289,0.020133212231304876,0.008044517026552955,0.009016638437780214,1.3609022556390977,1.0,0.6049712087185396,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003464595.1 Bacteroides intestinalis strain=AF14-32, ASM346459v1",5018c46a831958831fc599a735d21972,0.048894943990311836,133000,12,2639000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.925736253246064,0.9425389216170549,0.9341375874315594,0.9425389216170549,False,181,7496,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis_A
151000,0.009133248654206737,0.020245496572612785,0.0076816064840016934,0.006774932748829332,1.0708661417322836,1.0,0.3362859291978365,/tmp/nxf.XXXXrR9bov/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.024071417184760083,127000,13,2512000,ERR1293165.fastq.gz,ERR1293165,9fa5dc28,16533000,51,DNA,1000,16533,True,0.9120365863928274,0.9295328413018311,0.9207847138473293,0.9295328413018311,False,136,7632,20074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
