intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
689000,0.021928009929664875,0.2665377176015474,0.021928009929664875,0.026785464905175544,1.3918722786647315,1.0,0.7525423622025018,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.2665377176015474,689000,0,11641000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9278346194605793,0.9744069348375567,0.951120777149068,0.9744069348375567,False,959,959,35803,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
531000,0.016899525794850576,0.19850467289719625,0.016899525794850576,0.022009328827193253,1.4839924670433144,1.0,0.9767677354329445,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000765235.1 Oscillibacter sp. ER4 strain=ER4, ASM76523v1",b86d494b379656b1b7a7b4d8bf763e29,0.19850467289719625,531000,1,11110000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9231078443989279,0.9687925684932148,0.9459502064460714,0.9687925684932148,False,788,1747,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235
441000,0.0140351993889437,0.20588235294117646,0.0140351993889437,0.015110465603441052,1.2267573696145124,1.0,0.6482564493498644,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000188175.1 Phascolarctobacterium succinatutens YIT 12067 strain=YIT 12067, ASM18817v1",c90964210746f7c7ce1dc8419f0465dc,0.20588235294117646,441000,2,10669000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9197524485606587,0.969486021121896,0.9446192348412774,0.969486021121896,False,541,2288,35803,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
440000,0.01400337353998918,0.08020415603353992,0.01400337353998918,0.01597631483395246,1.3,1.0,0.9419515525082632,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.08020415603353992,440000,3,10229000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9197115087919682,0.9517297918581508,0.9357206503250595,0.9517297918581508,False,572,2860,35803,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
406000,0.01292129467553547,0.25909380982769625,0.01292129467553547,0.017652152054297127,1.5566502463054188,1.0,1.1121773837139322,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.25909380982769625,406000,4,9823000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9182623645866366,0.9738658962997733,0.9460641304432049,0.9738658962997733,False,632,3492,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
367000,0.011680086566309157,0.07760785208856426,0.010820788644537093,0.014551853196659498,1.5323529411764707,1.0,1.4898125796526722,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_019417795.1 Clostridiales bacterium, ASM1941779v1",5a199efdf60fbe8e0dc767e0c79a1bc4,0.08377082857795023,340000,5,9483000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9164458006320868,0.9525420852052063,0.9344939429186465,0.9525420852052063,False,521,4013,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp019417795
298000,0.009484102988447218,0.11541440743609604,0.009484102988447218,0.010250537664441527,1.2315436241610738,1.0,0.7486531305230073,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004000625.1 Candidatus Cibiobacter qucibialis, ASM400062v1",442a7b6ad44794daf4265d6e6158d0b9,0.11541440743609604,298000,6,9185000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9127109481842943,0.9585459612975208,0.9356284547409075,0.9585459612975208,False,367,4380,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
294000,0.009356799592629134,0.07929634641407307,0.009324973743674612,0.009189174091556573,1.1228668941979523,1.0,0.3484573110744087,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.07956698240866035,293000,7,8892000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9124691347438524,0.9515809581553645,0.9320250464496085,0.9515809581553645,False,329,4709,35803,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
297000,0.009452277139492695,0.07501280081925243,0.009324973743674612,0.010306398905119682,1.2593856655290103,1.0,0.656515492487751,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002224675.1 Prevotella copri strain=Indica, ASM222467v1",100ed987d307a1e5f3e9b7b1c90b6227,0.07603686635944701,293000,8,8599000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9126507945029397,0.9507345973824722,0.931692695942706,0.9507345973824722,False,369,5078,35803,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A
279000,0.00887941185831132,0.12736742424242425,0.008561153368766112,0.009663994637320894,1.2862453531598512,1.0,0.8247092713077799,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900548615.1 uncultured Clostridiales bacterium, UMGS1099",3ebf54e6924e9f70834c5cfeab07ee71,0.13210227272727273,269000,9,8330000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9115326710991538,0.9610875399241866,0.9363101055116703,0.9610875399241866,False,346,5424,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900548615
269000,0.008561153368766112,0.05650835532102023,0.008179243181311862,0.008016088037315308,1.1167315175097277,1.0,0.41610597308310815,/tmp/nxf.XXXXtHx0u9/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.05914687774846086,257000,10,8073000,ERR688483.fastq.gz,ERR688483,54a4d44c,31421000,51,DNA,1000,31421,True,0.9108805258848328,0.9460633791365629,0.9284719525106979,0.9460633791365629,False,287,5711,35803,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
