intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
914000,0.04044426744546219,0.2964644826467726,0.04044426744546219,0.04703977101536608,1.3665207877461707,1.0,0.7018384236998116,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_004167605.1 Akkermansia sp. aa_0143 strain=aa_0143, ASM416760v1",0caee0c37905fb699696787c2a36e4f3,0.2964644826467726,914000,0,10952000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.939038654885785,0.9764421604684052,0.957740407677095,0.9764421604684052,False,1249,1249,26552,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp004167605
614000,0.027169343776273287,0.1340026189436927,0.027169343776273287,0.027907502259716783,1.206840390879479,1.0,0.5514731091903827,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.1340026189436927,614000,1,10338000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9317419936238406,0.9613567373093093,0.9465493654665749,0.9613567373093093,False,741,1990,26552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
563000,0.024912606752511172,0.18760413195601466,0.024912606752511172,0.03517625790900874,1.6589698046181172,1.0,1.2434711932025098,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.18760413195601466,563000,2,9775000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9301590987913362,0.9677202990402012,0.9489396989157687,0.9677202990402012,False,934,2924,26552,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
505000,0.02234612150980132,0.09619430101357812,0.022257622018673394,0.02078939439590238,1.0974155069582505,1.0,0.3283389128143099,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",5ed7bd7e8a301425ed2ad891c3e399f5,0.09657678332377127,503000,3,9272000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9281783086509758,0.9552027054415329,0.9416905070462543,0.9552027054415329,False,552,3476,26552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
495000,0.02190362405416169,0.19283209972730814,0.02190362405416169,0.02496987044290449,1.3393939393939394,1.0,0.6889925571453241,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.19283209972730814,495000,4,8777000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9278143763899194,0.9682419801067191,0.9480281782483193,0.9682419801067191,False,663,4139,26552,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
427000,0.018894641355812203,0.21522177419354838,0.018894641355812203,0.023237420909912623,1.4449648711943794,1.0,0.806090217684719,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435055.1 Clostridium sp. CAG:138, MGS138",d260972647a9dc349a6b0e9de9b99b64,0.21522177419354838,427000,5,8350000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9251299025483035,0.9703297287328166,0.94772981564056,0.9703297287328166,False,617,4756,26552,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055
421000,0.018629142882428427,0.061506768687463215,0.018496393645736537,0.019697197951190116,1.2511961722488039,1.0,1.5096376208234357,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.06194820482636845,418000,6,7932000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9248732385635681,0.9469221788582117,0.93589770871089,0.9469221788582117,False,523,5279,26552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
360000,0.01592990840302668,0.21093285799168152,0.015708659675206866,0.015592045796926786,1.1661971830985915,1.0,0.4285394987208251,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545885.1 uncultured Clostridiales bacterium, UMGS814",bf891389a21b095e7a9140f8b8cfae03,0.21390374331550802,355000,7,7577000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9220389765055784,0.9702128607326851,0.9461259186191318,0.9702128607326851,False,414,5693,26552,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__Limadaptatus;s__Limadaptatus sp900545885
319000,0.0141156688349042,0.10414626183480248,0.0141156688349042,0.013972582103043085,1.1630094043887147,1.0,0.4391624651059701,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.10414626183480248,319000,8,7258000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9198555573089344,0.9566170375819577,0.9382362974454461,0.9566170375819577,False,371,6064,26552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
316000,0.01398291959821231,0.10070108349267048,0.01398291959821231,0.012880385658330823,1.0822784810126582,1.0,0.2747885233682584,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900199635.1 Anaerotruncus massiliensis strain=AT3, PRJEB19460",f859cef73919b3b280a34b2d2c2886fe,0.10070108349267048,316000,9,6942000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9196851493063641,0.9559862588689506,0.9378357040876574,0.9559862588689506,False,342,6406,26552,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis
305000,0.013496172397008717,0.07929634641407307,0.012965175450241161,0.01227779451642061,1.1126279863481228,1.0,0.3843494412707793,/tmp/nxf.XXXX9SVOIv/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.08254397834912043,293000,10,6649000,ERR1293310.fastq.gz,ERR1293310,a0edf371,22599000,51,DNA,1000,22599,True,0.9190464526247535,0.9522665673899874,0.9356565100073704,0.9522665673899874,False,326,6732,26552,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
