intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1409000,0.08297508980625405,0.6999503229011426,0.08297508980625405,0.1397589194946023,2.0489709013484743,2.0,1.3682035093560325,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900547395.1 uncultured Opitutales bacterium, UMGS982",d6434e3f0d29708bef90aac33a03ad39,0.6999503229011426,1409000,0,6556000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9523638383161117,0.9930293902762589,0.9726966142961853,0.9930293902762589,False,2887,2887,20657,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__UMGS1490;s__UMGS1490 sp900547395
1283000,0.07555503209469407,0.18878752207180693,0.07555503209469407,0.08462022558938859,1.3624318004676539,1.0,0.9227653434215587,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.18878752207180693,1283000,1,5273000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9506160982413082,0.9678396224973835,0.9592278603693458,0.9678396224973835,False,1748,4635,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
523000,0.030799128437665628,0.1348285640629028,0.030799128437665628,0.033596359587549016,1.3269598470363289,1.0,0.6956431830746953,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.1348285640629028,523000,2,4750000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.93403574892129,0.9614725732877685,0.9477541611045293,0.9614725732877685,False,694,5329,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
450000,0.02650020611271421,0.09621672115833722,0.02426241092986279,0.02217166093818076,1.1116504854368932,1.0,0.3582050643567624,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900091655.1 Culturomica massiliensis strain=Marseille-P2698, PRJEB14541",165ef3086dadc4423cadae6faa681a01,0.10509107893507706,412000,3,4338000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9312865240769134,0.9567864510329056,0.9440364875549094,0.9567864510329056,False,458,5787,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter massiliensis
356000,0.020964607502502796,0.07007874015748032,0.020964607502502796,0.018831388875441737,1.0926966292134832,1.0,0.32645960586005235,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.07007874015748032,356000,4,3982000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9270175907032543,0.9492146599623748,0.9381161253328145,0.9492146599623748,False,389,6176,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
207000,0.012190094811848537,0.03155487804878049,0.012190094811848537,0.010504913588614028,1.0483091787439613,1.0,0.21441875382775025,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.03155487804878049,207000,5,3775000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9172141100658114,0.9344798290853964,0.925846969575604,0.9344798290853964,False,217,6393,20657,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
207000,0.012190094811848537,0.04277608031427324,0.011542311995759967,0.009923996708137678,1.0459183673469388,1.0,0.20930807649761235,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.045176778699257965,196000,6,3579000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9172141100658114,0.9410783653051924,0.929146237685502,0.9410783653051924,False,205,6598,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
196000,0.011542311995759967,0.03953391593841032,0.011188975914257111,0.009391489567701021,1.0210526315789474,1.0,0.1435598073366932,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.04078235538909696,190000,7,3389000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9162326026101146,0.9391919444288133,0.927712273519464,0.9391919444288133,False,194,6792,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
189000,0.011130086567339968,0.1206126356094448,0.011130086567339968,0.010795372028852205,1.17989417989418,1.0,0.42341267775116526,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.1206126356094448,189000,8,3200000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.9155794782265771,0.9593743309065053,0.9374769045665412,0.9593743309065053,False,223,7015,20657,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
195000,0.011483422648842825,0.030959752321981424,0.010600082445085684,0.009197850607542237,1.0555555555555556,1.0,0.22906142364542556,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",6bf3ff1d807c2ab1988e6b3c386a7cec,0.033539731682146544,180000,9,3020000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.916140712669341,0.9355982560308002,0.9258694843500705,0.9355982560308002,False,190,7205,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens
159000,0.009363406159825687,0.023622047244094488,0.00830339791531712,0.0068257733455971345,1.0,1.0,0.0,/tmp/nxf.XXXXU0fume/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900106755.1 Bacteroides faecis MAJ27 strain=MAJ27, IMG-taxon 2693429916 annotated assembly",29f2cc9d2d6e4b636e9cf811c74231fd,0.026637627743340594,141000,10,2879000,ERR1293166.fastq.gz,ERR1293166,ae62b2cd,16981000,51,DNA,1000,16981,True,0.912481763083809,0.9313809774300186,0.9219313702569139,0.9313809774300186,False,141,7346,20657,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis
