intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
251000,0.029891627962367513,0.10689948892674617,0.029891627962367513,0.035517317449812486,1.2828685258964143,1.0,0.7222042803495404,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.10689948892674617,251000,0,1971000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9334881625073743,0.9571065898809714,0.9452973761941729,0.9571065898809714,False,322,322,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
229000,0.027271644634988688,0.09728122344944774,0.027271644634988688,0.029781601588352084,1.1790393013100438,1.0,0.44652656877429575,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000196555.1 Bifidobacterium longum subsp. longum JCM 1217 strain=JCM 1217, ASM19655v1",4e5724ba16e37517faabf3d6eac4a812,0.09728122344944774,229000,1,1742000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9318106570199437,0.9553388337857832,0.9435747454028635,0.9553388337857832,False,270,592,9066,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
230000,0.02739073478623318,0.07554671968190854,0.027152554483744193,0.028237370394881976,1.1228070175438596,1.0,0.3779063022550529,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025146925.1 [Bacteroides] pectinophilus strain=ATCC 43243, ASM2514692v1",e924e34694026ed1a18ee2098b33f809,0.07620941020543406,228000,2,1514000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9318902718636556,0.9507768527369005,0.9413335623002781,0.9507768527369005,False,256,848,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bacteroides_F;s__Bacteroides_F pectinophilus
181000,0.021555317375253066,0.0700193423597679,0.021555317375253066,0.022501654533421574,1.12707182320442,1.0,0.364724584399978,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.0700193423597679,181000,3,1333000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9275228051886134,0.9491988780792106,0.938360841633912,0.9491988780792106,False,204,1052,9066,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
159000,0.01893533404787424,0.05453905700211119,0.018458973442896272,0.018530774321641297,1.0838709677419356,1.0,0.2995661100966167,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003458705.1 Eubacterium sp. AF22-9 strain=AF22-9, ASM345870v1",3c08fda7e2d5d877b90f3728c63b587d,0.055946516537649545,155000,4,1178000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9251689283855286,0.9450320345508078,0.9351004814681682,0.9450320345508078,False,168,1220,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003537285
119000,0.014171727998094557,0.026910900045228402,0.014171727998094557,0.014670196337966027,1.1176470588235294,1.0,0.37070159664055086,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000187895.1 Bacteroides plebeius DSM 17135 strain=DSM 17135, ASM18789v1",445be8a2ad46e0a3565070ebf52be3d7,0.026910900045228402,119000,5,1059000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9199270481700571,0.9315673931323979,0.9257472206512275,0.9315673931323979,False,133,1353,9066,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius
86000,0.01024175300702632,0.024758454106280192,0.00976539240204835,0.009596293845135672,1.0609756097560976,1.0,0.23928557158961683,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.025966183574879228,82000,6,977000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9140874184591832,0.9309148606154677,0.9225011395373255,0.9309148606154677,False,87,1440,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
81000,0.00964630225080386,0.020980926430517712,0.00916994164582589,0.008934480476505625,1.051948051948052,1.0,0.27426898807718025,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147765.1 Blautia obeum ATCC 29174 strain=ATCC 29174, ASM2514776v1",aa800a95b7aa246d998085e9b2fb3124,0.0220708446866485,77000,7,900000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9130144773272534,0.9279527472541325,0.920483612290693,0.9279527472541325,False,81,1521,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum
87000,0.010360843158270811,0.013488880787458987,0.008812671192092414,0.008382969335980588,1.027027027027027,1.0,0.16216216216216214,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.015858549033904483,74000,8,826000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9142946498345003,0.9219578108574119,0.9181262303459561,0.9219578108574119,False,76,1597,9066,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
74000,0.008812671192092414,0.019378816033979295,0.008693581040847921,0.008603573792190603,1.0684931506849316,1.0,0.25259025910391475,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001275135.1 Prevotella rara strain=109, ASM127513v1",4f7e646639da45e47eb5d1883df68753,0.019644279267321475,73000,9,753000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9113978327075073,0.9258359517838013,0.9186168922456543,0.9258359517838013,False,78,1675,9066,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella rara
83000,0.009884482553292842,0.0158311345646438,0.00857449088960343,0.008493271564085594,1.0694444444444444,1.0,0.25420840580171006,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.018249780123131047,72000,10,681000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9134512435249383,0.9245002064504626,0.9189757249877004,0.9245002064504626,False,77,1752,9066,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
72000,0.00857449088960343,0.021773935318603905,0.00809813028462546,0.00827266710787558,1.1029411764705883,1.0,0.3489356034619021,/tmp/nxf.XXXXCDByWV/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_019052365.1 Prevotella stercorea strain=MSK.21.24, ASM1905236v1",af8f6b99c815af8e81a4051dabab00c0,0.023054755043227664,68000,11,613000,ERR480770.fastq.gz,ERR480770,19572191,8397000,51,DNA,1000,8397,True,0.9109083295868929,0.9287466600059646,0.9198274947964288,0.9287466600059646,False,75,1827,9066,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
