intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1568000,0.0600835345058819,0.3182463974020702,0.0600835345058819,0.07395104331280034,1.4623724489795917,1.0,0.8151076578801225,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.3182463974020702,1568000,0,12047000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9463548863533846,0.9778005216676278,0.9620777040105062,0.9778005216676278,False,2293,2293,31007,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
1144000,0.043836456297658734,0.34037488842606367,0.043836456297658734,0.05885767729867449,1.5952797202797202,1.0,1.2066303244732346,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009494135.1 Prevotella copri strain=iAK278, ASM949413v1",29c5ed357ad46138fbfbe389c1783ea0,0.34037488842606367,1144000,1,10903000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9405227874856501,0.9790901835531066,0.9598064855193784,0.9790901835531066,False,1825,4118,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
729000,0.02793424531555351,0.2979158152840212,0.02793424531555351,0.033734318057212886,1.4348422496570645,1.0,0.7096773807280489,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148445.1 Butyrivibrio crossotus strain=DSM 2876, ASM2514844v1",07840e8519e9862dc1ebd1e67b67e5b7,0.2979158152840212,729000,2,10174000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9322493665073959,0.9765356645470492,0.9543925155272226,0.9765356645470492,False,1046,5164,31007,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus
555000,0.02126681227727325,0.12090790048013968,0.02122849369659348,0.02002773567259006,1.1209386281588447,1.0,0.35773331714755896,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.12112614578786556,554000,3,9620000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9272777754225809,0.9594542534660947,0.9433660144443379,0.9594542534660947,False,621,5785,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
431000,0.016515308272981567,0.17051792828685258,0.016400352530942255,0.01667365433611765,1.2079439252336448,1.0,0.4698702113852392,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.17171314741035856,428000,4,9192000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.922691673849803,0.9660423106133698,0.9443669922315864,0.9660423106133698,False,517,6302,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
393000,0.015059202207150247,0.08919655015887426,0.015059202207150247,0.01483535975747412,1.1704834605597965,1.0,0.4827234235775878,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.08919655015887426,393000,5,8799000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9210233204985318,0.9537149475276937,0.9373691340131127,0.9537149475276937,False,460,6762,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
370000,0.0141778748515155,0.06791338582677166,0.013219910334521209,0.011932789370142225,1.0724637681159421,1.0,0.29086779604178786,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.07283464566929133,345000,6,8454000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9199348702263821,0.9499328407051536,0.9349338554657678,0.9499328407051536,False,370,7132,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
319000,0.012223627236847147,0.07705354979403925,0.012185308656167376,0.011352275292675847,1.1069182389937107,1.0,0.3381636492772343,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_016899955.1 Marseilla massiliensis strain=An819, ASM1689995v1",2696032c16ac08da7d4cbfc0f86bad0a,0.07729585655439787,318000,7,8136000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9172635153591417,0.9510407840676797,0.9341521497134107,0.9510407840676797,False,352,7484,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella massiliensis
300000,0.011495574203931486,0.08544303797468354,0.01138061846189217,0.01112651981810559,1.1616161616161615,1.0,0.47226948394185697,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000296465.1 Barnesiella intestinihominis YIT 11860 strain=YIT 11860, Barn_inte_YIT_11860_V1",d196529161357ff3df29b07d59ecfd62,0.08630609896432681,297000,8,7839000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9161597115205238,0.9530991195833888,0.9346294155519563,0.9530991195833888,False,345,7829,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
299000,0.011457255623251715,0.09761747187293184,0.011303981300532628,0.011642532331409036,1.223728813559322,1.0,0.7838062245506571,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010509575.1 Faecalibacterium prausnitzii A2-165 strain=JCM 31915, ASM1050957v1",5136f6c0a3924e615495681fbaf7095d,0.09894109861019193,295000,9,7544000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9160997337423046,0.9556558099927611,0.9358777718675328,0.9556558099927611,False,361,8190,31007,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
294000,0.011265662719852857,0.060549313358302125,0.011150706977813542,0.009933240881091366,1.0584192439862543,1.0,0.2749999865806537,/tmp/nxf.XXXXdqj4NW/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.06117353308364544,291000,10,7253000,ERR480762.fastq.gz,ERR480762,059f2193,26097000,51,DNA,1000,26097,True,0.9157968636575555,0.9466885592785986,0.931242711468077,0.9466885592785986,False,308,8498,31007,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
