intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1431000,0.08510258697591436,0.7108792846497765,0.08510258697591436,0.14183842922731268,2.029350104821803,2.0,1.392494430029869,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900547395.1 uncultured Opitutales bacterium, UMGS982",d6434e3f0d29708bef90aac33a03ad39,0.7108792846497765,1431000,0,6553000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9528367201880392,0.993331108066739,0.973083914127389,0.993331108066739,False,2904,2904,20474,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__UMGS1490;s__UMGS1490 sp900547395
1263000,0.07511150758251561,0.18584461447910536,0.07511150758251561,0.0825437139787047,1.3380839271575613,1.0,0.7668085670792272,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.18584461447910536,1263000,1,5290000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9505063640458299,0.9675415122851926,0.9590239381655112,0.9675415122851926,False,1690,4594,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
490000,0.029140648230746358,0.1263212168084558,0.029140648230746358,0.031991794471036436,1.336734693877551,1.0,0.7077396839409998,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.1263212168084558,490000,2,4800000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9330225523791084,0.9602446324665447,0.9466335924228265,0.9602446324665447,False,655,5249,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
450000,0.026761819803746655,0.09715086408220458,0.024739815640796907,0.02202793787242356,1.0841346153846154,1.0,0.3024550525314053,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900091655.1 Culturomica massiliensis strain=Marseille-P2698, PRJEB14541",165ef3086dadc4423cadae6faa681a01,0.10509107893507706,416000,3,4384000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9314659277148896,0.9567864510329056,0.9441261893738976,0.9567864510329056,False,451,5700,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter massiliensis
345000,0.020517395182872437,0.06791338582677166,0.020517395182872437,0.018413597733711047,1.0927536231884059,1.0,0.3186560730970855,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.06791338582677166,345000,4,4039000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9266257343801266,0.9486306759680944,0.9376282051741105,0.9486306759680944,False,377,6077,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
210000,0.012488849241748439,0.041903099083369706,0.011418376449598573,0.010159226335840578,1.0833333333333333,1.0,0.35843021946010944,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.04583151462243562,192000,5,3847000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9176496646998118,0.9413439111849055,0.9294967879423586,0.9413439111849055,False,208,6285,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
189000,0.011239964317573596,0.1206126356094448,0.011239964317573596,0.010403438507375207,1.126984126984127,1.0,0.34848410158889126,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.1206126356094448,189000,6,3658000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9157558560490878,0.9593743309065053,0.9375650934777966,0.9593743309065053,False,213,6498,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
180000,0.010704727921498661,0.03641281731169372,0.010407374368123699,0.008987007912474358,1.0514285714285714,1.0,0.22087026388671643,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.03745318352059925,175000,7,3483000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.914880198923161,0.937625026950339,0.92625261293675,0.937625026950339,False,184,6682,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
184000,0.010942610764198632,0.029239766081871343,0.010110020814748736,0.008547426003712026,1.0294117647058822,1.0,0.16895772489817729,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",6bf3ff1d807c2ab1988e6b3c386a7cec,0.03164774681802546,170000,8,3313000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9152745597084386,0.9345336780244378,0.9249041188664382,0.9345336780244378,False,175,6857,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens
162000,0.009634255129348795,0.024695121951219513,0.009634255129348795,0.008547426003712026,1.0802469135802468,1.0,0.2935183562461417,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.024695121951219513,162000,9,3151000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.912992105785064,0.929999193779171,0.9214956497821174,0.929999193779171,False,175,7032,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
159000,0.009455842997323818,0.04960998439937597,0.009455842997323818,0.0084985835694051,1.0943396226415094,1.0,0.2923006299024465,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000020605.1 [Eubacterium] rectale ATCC 33656 strain=ATCC 33656, ASM2060v1",bb4d1c2199066ffc1226ec8433ce5698,0.04960998439937597,159000,10,2992000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9126575441604722,0.9428072713599828,0.9277324077602275,0.9428072713599828,False,174,7206,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
159000,0.009455842997323818,0.02395711174401072,0.008504311626523937,0.007033310540197324,1.006993006993007,1.0,0.08333129571897191,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900106755.1 Bacteroides faecis MAJ27 strain=MAJ27, IMG-taxon 2693429916 annotated assembly",29f2cc9d2d6e4b636e9cf811c74231fd,0.026637627743340594,143000,11,2849000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9126575441604722,0.9313809774300186,0.9220192607952453,0.9313809774300186,False,144,7350,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis
130000,0.007731192387749034,0.050642773665757694,0.007731192387749034,0.00659372863143499,1.0384615384615385,1.0,0.1923076923076923,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.050642773665757694,130000,12,2719000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9090610877672385,0.9431882505252219,0.9261246691462302,0.9431882505252219,False,135,7485,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
319000,0.01897115670532263,0.018770814411141385,0.007374368123699078,0.008303213832177395,1.3709677419354838,1.0,0.7124213814631539,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003464595.1 Bacteroides intestinalis strain=AF14-32, ASM346459v1",5018c46a831958831fc599a735d21972,0.048289433848016955,124000,13,2595000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9252032156829182,0.9423086519995092,0.9337559338412137,0.9423086519995092,False,170,7655,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis_A
115000,0.006839131727624145,0.04448742746615087,0.006839131727624145,0.006105304288365732,1.0869565217391304,1.0,0.28177133471338517,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.04448742746615087,115000,14,2480000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9068783594751696,0.9407946713081597,0.9238365153916647,0.9407946713081597,False,125,7780,20474,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
123000,0.007314897413024085,0.042629482071713146,0.006363366042224205,0.0057145648139103255,1.0934579439252337,1.0,0.37523102616606985,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.04900398406374502,107000,15,2373000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9080750226043389,0.9425800912481858,0.9253275569262623,0.9425800912481858,False,117,7897,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
98000,0.005828129646149272,0.03165611462845718,0.005649717514124294,0.005030770733613363,1.0842105263157895,1.0,0.27770328333206146,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.03265578140619793,95000,16,2278000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9040383357762796,0.9351084088568593,0.9195733723165694,0.9351084088568593,False,103,8000,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
153000,0.009099018733273862,0.01498485573091025,0.005590246803449301,0.005030770733613363,1.0957446808510638,1.0,0.48529764799817215,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.024390243902439025,94000,17,2184000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9119694401344275,0.9297726932561785,0.920871066695303,0.9297726932561785,False,103,8103,20474,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
99000,0.005887600356824264,0.012348957641747444,0.0055307760927743085,0.004640031259157957,1.021505376344086,1.0,0.1450616942283015,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001881565.1 Eisenbergiella tayi strain=DSM 26961, ASM188156v1",9baf6a48dca37589fb064628236b2af5,0.013145664586376312,93000,18,2091000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9042183170819803,0.9185723811328045,0.9113953491073924,0.9185723811328045,False,95,8198,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi
92000,0.005471305382099316,0.04686704024452369,0.005471305382099316,0.004981928299306437,1.108695652173913,1.0,0.40261432994461155,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435975.1 Oscillibacter sp. CAG:241, MGS241",69562c3cd3eb99b63b3b579067a35f6c,0.04686704024452369,92000,19,1999000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9029191046805416,0.9417563971943438,0.9223377509374426,0.9417563971943438,False,102,8300,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975
92000,0.005471305382099316,0.04003481288076589,0.005471305382099316,0.004640031259157957,1.0326086956521738,1.0,0.17761015911269776,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900547155.1 uncultured bacterium, UMGS951",9e140e39c86d586fed55d4cc129258c8,0.04003481288076589,92000,20,1907000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9029191046805416,0.9388513166505972,0.9208852106655694,0.9388513166505972,False,95,8395,20474,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Spyradomonas;s__Spyradomonas excrementavium
87000,0.0051739518287243534,0.043348281016442454,0.0051739518287243534,0.004591188824851031,1.0804597701149425,1.0,0.31140729158951874,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003522105.1 Oscillibacter sp., ASM352210v1",3a0c55ad38bb72b6562163e2580de420,0.043348281016442454,87000,21,1820000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9019303222960099,0.9403162868839924,0.9211233045900011,0.9403162868839924,False,94,8489,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp003522105
87000,0.0051739518287243534,0.03219767877199551,0.005114481118049361,0.004786558562078734,1.1395348837209303,1.0,0.3785772231651095,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025150425.1 [Eubacterium] siraeum strain=DSM 15702, ASM2515042v1",7c24794bacadf19541e3a6bc077d6d28,0.03257207038562336,86000,22,1734000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9019303222960099,0.9350613479108747,0.9184958351034422,0.9350613479108747,False,98,8587,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum
84000,0.0049955396966993755,0.03453947368421053,0.0049955396966993755,0.004200449350395623,1.0238095238095237,1.0,0.1524553389864964,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900544375.1 uncultured Ruminococcaceae bacterium, UMGS668",10109c779a5baf5bc4fa694e8a809e35,0.03453947368421053,84000,23,1650000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9013099489768012,0.9361372438755415,0.9187235964261713,0.9361372438755415,False,86,8673,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__Fimivicinus sp900544375
98000,0.005828129646149272,0.020949015648662292,0.004936068986024383,0.004737716127771808,1.1686746987951808,1.0,0.5105932554317371,/tmp/nxf.XXXXdY9ufH/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003584705.1 Lachnospiraceae bacterium GAM79 strain=GAM79, ASM358470v1",70a12b75803f82aa8bff2c80aad9821b,0.024734982332155476,83000,24,1567000,ERR1293164.fastq.gz,ERR1293164,58457a74,16815000,51,DNA,1000,16815,True,0.9040383357762796,0.9300286040667319,0.9170334699215057,0.9300286040667319,False,97,8770,20474,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565
