intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
3598000,0.0061722676822259966,0.8424256614376024,0.0061722676822259966,0.022317938101876197,20.063646470261258,20.0,5.719796448911839,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000426485.1 Dysgonomonas capnocytophagoides DSM 22835 strain=DSM 22835, ASM42648v1",6bceacfaadf7ac4a75a3d4e51fe26883,0.8424256614376024,3598000,0,89496000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9050558655001543,0.9966434916651856,0.9508496785826699,0.9966434916651856,False,72189,72189,3234573,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas capnocytophagoides
3327000,0.005707374813442437,0.6362593230063109,0.005707374813442437,0.2733149012249839,265.721971746318,264.0,87.28698460110209,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",5ed7bd7e8a301425ed2ad891c3e399f5,0.6362593230063109,3327000,1,86169000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9036672781876032,0.9911735163422005,0.9474203972649018,0.9911735163422005,False,884057,956246,3234573,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
3138000,0.0053831506355823166,0.5156943303204602,0.0053831506355823166,0.002867148152167226,2.9553855959209687,2.0,16.544335186503012,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003434055.1 Enterocloster aldensis strain=AF19-9LB, ASM343405v1",eecb9a883e1e8956a099f9d7e63aac1a,0.5156943303204602,3138000,2,83031000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9026315723468107,0.9870988238680387,0.9448651981074248,0.9870988238680387,False,9274,965520,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis
3058000,0.005245912888339938,0.9172165566886623,0.005245912888339938,0.00444571818289462,4.702419882275997,4.0,2.482061350115952,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_014131695.1 Erysipelatoclostridium ramosum DSM 1402 strain=DSM 1402, ASM1413169v1",7067e76f1f8fb6fb2a7b6a18482cbfb2,0.9172165566886623,3058000,3,79973000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9021746282173726,0.9983070879905122,0.9502408581039423,0.9983070879905122,False,14380,979900,3234573,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa
2946000,0.0050537800422006075,0.5331516802906449,0.00503490985195478,0.027014384897171898,29.771720613287904,29.0,15.27667664576689,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000613465.1 Bacteroides nordii WAL 11050 = JCM 12987 strain=JCM 12987, ASM61346v1",2622449679f676b2a7b48fe066bdf236,0.535149863760218,2935000,4,77038000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9015148176139107,0.9878158460374363,0.9446653318256735,0.9878158460374363,False,87380,1067280,3234573,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
2882000,0.0049439898444067045,0.4371951219512195,0.004919973238639287,0.006455566159737313,7.28068340306834,7.0,5.716667069031441,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.43932926829268293,2868000,5,74170000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9011266519964016,0.9840017822580194,0.9425642171272105,0.9840017822580194,False,20881,1088161,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
2851000,0.0048908102173502825,0.4477329974811083,0.004878801914466574,0.001942141976699861,2.2088607594936707,2.0,2.186772720881644,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025149125.1 [Clostridium] asparagiforme DSM 15981 strain=DSM 15981, ASM2514912v1",e521dfe7385306788110be8c24c20c64,0.44883501259445846,2844000,6,71326000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.9009355859164988,0.9844148832698674,0.942675234593183,0.9844148832698674,False,6282,1094443,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis
2595000,0.00445164942617467,0.7436708860759493,0.004434494707769372,0.013838302613668018,17.315667311411993,16.0,12.597202960460544,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",c0af2b4fd1a1fb3c5fc7e5a29e4fe5d1,0.746547756041427,2585000,7,68741000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8992750986436835,0.9942851044451049,0.9467801015443942,0.9942851044451049,False,44761,1139204,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
2560000,0.0043916079117561286,0.47024246877296105,0.0043916079117561286,0.002684125539908977,3.39140625,1.0,13.312115765251628,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000742135.1 Klebsiella pneumoniae strain=ATCC 13883, ASM74213v1",8ff128bf2d890d4208a034d2790eae21,0.47024246877296105,2560000,8,66181000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8990356895628967,0.9853146457634043,0.9421751676631505,0.9853146457634043,False,8682,1147886,3234573,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
2388000,0.004096546755185014,0.6413218699623858,0.004094831283344484,0.00917555423853473,12.433598659405112,13.0,6.836906223907255,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000239295.1 Flavonifractor plautii ATCC 29863 strain=ATCC 29863, ASM23929v1",1ed22d796c79d0337723a67a4b313636,0.6415905427189683,2387000,9,63794000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8978104685736096,0.991335695225674,0.9445730818996418,0.991335695225674,False,29679,1177565,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
2164000,0.0037122810629063524,0.625252817104883,0.0037122810629063524,0.00789099519472895,11.794824399260628,11.0,5.0121341686752645,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003019675.1 Fusobacterium ulcerans strain=ATCC 49185, ASM301967v1",5a5a15e83d287c74e3caf328966957f8,0.625252817104883,2164000,10,61630000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8960781735565139,0.9908344347070124,0.9434563041317632,0.9908344347070124,False,25524,1203089,3234573,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans
1989000,0.0034120734908136482,0.3953724375887964,0.003341739145351929,0.024845010454239244,41.2541067761807,43.0,20.88276675156091,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.40369393139841686,1948000,11,59682000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8945977701069207,0.98237100069972,0.9384843854033204,0.98237100069972,False,80363,1283452,3234573,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
1969000,0.0033777640540030534,0.4182058047493404,0.003262827440687561,0.006293566415103323,10.702944269190326,7.0,17.633957232935646,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.43293755496921726,1902000,12,57780000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8944205134706197,0.9837190541334158,0.9390697838020177,0.9837190541334158,False,20357,1303809,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
1913000,0.003281697630933388,0.5130602144624691,0.0032010704544284904,0.003579761532665981,6.205251875669882,5.0,7.960997790192129,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_015557635.1 Fusicatenibacter saccharivorans strain=D41t1_190614_C8, ASM1555763v1",d2fdc17cdae8aecf1aac02f627d3979a,0.525982952983228,1866000,13,55914000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8939146406460154,0.9874812457524146,0.9406979431992151,0.9874812457524146,False,11579,1315388,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
1807000,0.003099857615837236,0.30491803278688523,0.0030312387422160463,0.0007150866590427856,1.3089983022071308,1.0,0.5774908780249126,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001598695.1 Klebsiella oxytoca NBRC 105695 strain=NBRC 105695, ASM159869v1",45761d177c62c8a8bffb732e9fd3fd1f,0.31182053494391715,1767000,14,54147000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8929160357611153,0.9774095160178714,0.9351627758894934,0.9774095160178714,False,2313,1317701,3234573,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca
1704000,0.002923164016262673,0.5921006641034603,0.0029060092978573757,0.00854888728744103,16.32349468713105,15.0,10.11535371123208,/tmp/nxf.XXXXwY8jdk/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020564355.1 Lachnospira pectinoschiza strain=SL.1.13, ASM2056435v1",3bf2c0fcdedffa7ce0c88a9624ebba72,0.5955959454736106,1694000,15,52453000,ERR1018237_2.fastq.gz,ERR1018237,b99bd66e,582930000,51,DNA,1000,582930,True,0.8918890803022875,0.9898908020901901,0.9408899411962388,0.9898908020901901,False,27652,1345353,3234573,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735
