intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4569000,0.01849191155936717,0.3651986252098154,0.01849191155936717,0.013324558902653123,1.360472751149048,1.0,0.9848159300263171,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_000743755.1 Blastocystis sp. subtype 4 strain=WR1, ASM74375v1",5b7c7851b09ae300a83cf29f75385977,0.3651986252098154,4569000,0,190245000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9247391642824714,0.9804425252721113,0.9525908447772913,0.9804425252721113,False,6216,6216,466507,Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4
4085000,0.016533039772382335,0.7417831850372254,0.016533039772382335,0.03602303931130722,4.113831089351285,4.0,3.0453957680330963,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021153065.1 Bacteroides uniformis, ASM2115306v1",36e7587620d4e56ab3ccc724fb62957d,0.7417831850372254,4085000,1,186160000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9227110879263556,0.9941602887301474,0.9584356883282514,0.9941602887301474,False,16805,23021,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
3869000,0.01565883252860398,0.5692375755788232,0.015622407226779883,0.02886559044130099,3.48860103626943,2.0,4.3130870388340785,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020553045.1 bacterium MSK18_59 strain=MSK.18.59, NA",3f6b04c4ee4d8531caaca89c1978a1a6,0.5705648134493437,3860000,2,182300000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9217287311874494,0.9890577865796494,0.9553932588835494,0.9890577865796494,False,13466,36487,466507,Bacteria;;;;;;bacterium MSK18_59
2577000,0.010429778088966776,0.4591467823571945,0.01028002962591215,0.008928054670133568,1.639763779527559,1.0,1.238392382175934,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_013368705.1 Bacteroides vulgatus strain=B33, ASM1336870v1",a611c8c1b2d96dd838a234030913d1c9,0.4658351409978308,2540000,3,179760000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9144135404844784,0.9851327337559506,0.9497731371202145,0.9851327337559506,False,4165,40652,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
2533000,0.010251698835604518,0.45582776540460285,0.009940060142220567,0.008012741502271135,1.521986970684039,1.0,0.9048396621294209,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_009677035.1 Parabacteroides distasonis strain=BIOML-A9, ASM967703v1",ced6b72a93bbedcc1e9cfdde94321c61,0.4701187824795843,2456000,4,177304000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9141048155877062,0.9853095634611495,0.9497071895244278,0.9853095634611495,False,3738,44390,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
2460000,0.0099562491652535,0.5784461152882205,0.009341066290002064,0.00939535741157153,1.899046793760832,2.0,1.1354302551726683,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_018785995.1 Phocaeicola massiliensis strain=MCC136, ASM1878599v1",c4b7692e46778555e9d316673d3ebe11,0.6165413533834586,2308000,5,174996000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9135808249186872,0.9905618824312172,0.9520713536749522,0.9905618824312172,False,4383,48773,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis
2304000,0.009324877266969131,0.4437337597441535,0.008984907783277549,0.006722299986924097,1.4126126126126126,1.0,0.8436425865821237,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020091545.1 Bacteroides caccae strain=BFG-100, ASM2009154v1",fcca568887076492707037ecbc92f91a,0.46052368578852687,2220000,6,172776000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9124079923353553,0.9849112485194215,0.9486596204273884,0.9849112485194215,False,3136,51909,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
2204000,0.008920151691145819,0.46091703056768557,0.008543756905630138,0.007541151579719061,1.6665087636191378,1.0,0.9838155427055935,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015547975.1 Parabacteroides merdae strain=D54t1_190329_G1, ASM1554797v1",ea422400436095a174e236db6fa9cac2,0.4812227074235808,2111000,7,170665000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9116144916119683,0.9857606830869636,0.948687587349466,0.9857606830869636,False,3518,55427,466507,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae
1805000,0.007305296643610799,0.861656294877932,0.007285060364819634,0.013223810146471542,3.4272222222222224,3.0,2.7512084325812487,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_928721725.1 uncultured Clostridia bacterium, min17_bin51",49e595eccb3de7a67cfd465301acd380,0.8640497845859263,1800000,8,168865000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9080516380594428,0.9971389068136808,0.9525952724365618,0.9971389068136808,False,6169,61596,466507,Bacteria;Firmicutes;Clostridia;;;;uncultured Clostridia bacterium
1760000,0.0071231701344903085,0.5346811819595645,0.006957232648402751,0.009238875300906524,2.5072716695753345,2.0,2.3301722671776557,/tmp/nxf.XXXXHmgDBE/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003478335.1 Clostridium sp. AM49-4BH strain=AM49-4BH, ASM347833v1",ff16223bcd34764bb61b5921e04eda49,0.5474339035769828,1719000,9,167146000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9076022320021594,0.9882555200395114,0.9479288760208354,0.9882555200395114,False,4310,65906,466507,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475
1649000,0.006673924745326431,0.6433866562621927,0.006673924745326431,0.007530433626933787,2.1303820497271073,2.0,1.1879136276364888,/tmp/nxf.XXXXHmgDBE/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000434415.1 Eubacterium eligens CAG:72, MGS72",265e0fcfd524b9058e010400ac224ebc,0.6433866562621927,1649000,10,165497000,ERR479480_2.fastq.gz,ERR479480,2662ef58,247081000,51,DNA,1000,247081,True,0.9064436479106366,0.9913900366622953,0.948916842286466,0.9913900366622953,False,3513,69419,466507,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium eligens CAG:72
