intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1859000,0.04452801264700951,0.5833071854408535,0.04452801264700951,0.05684438784290779,1.7767616998386229,1.0,1.1550939885314946,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.5833071854408535,1859000,0,18462000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9408114926533594,0.9894862224573919,0.9651488575553757,0.9894862224573919,False,3303,3303,58106,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1658000,0.03971352607248078,0.3618507202095155,0.03971352607248078,0.0498743675351943,1.7478890229191797,1.0,1.2067906004878994,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.3618507202095155,1658000,1,16804000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.938702997943818,0.9802654919352991,0.9594842449395585,0.9802654919352991,False,2898,6201,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
1157000,0.027713238640446478,0.22716535433070867,0.027641380631871423,0.02715726431005404,1.367417677642981,1.0,0.792192679523061,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.22775590551181102,1154000,2,15650000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9321041820124407,0.9714073062738429,0.9517557441431418,0.9714073062738429,False,1578,7779,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
992000,0.023761048168818414,0.15308335915711188,0.02366523749071834,0.022458954324854577,1.3208502024291497,1.0,0.6452022294071393,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",c28ea957513bf36bf9dc694cd077b880,0.15370312984195847,988000,3,14662000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9292963413849815,0.9639457706208652,0.9466210560029233,0.9639457706208652,False,1305,9084,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
897000,0.021485544563941653,0.38663793103448274,0.021485544563941653,0.035228719925653115,2.282051282051282,2.0,1.7121902190793712,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900544265.1 uncultured Alistipes sp., UMGS657",e77421704892ae9949c055a5c40edcb7,0.38663793103448274,897000,4,13765000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9274638426390623,0.9815398367361649,0.9545018396876136,0.9815398367361649,False,2047,11131,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdavium
874000,0.020934633164866226,0.12801648028251914,0.02083882248676615,0.02054865246274051,1.3724137931034484,1.0,2.000384425995107,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.12860506180105943,870000,5,12895000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9269915840049553,0.9605820608718307,0.943786822438393,0.9605820608718307,False,1194,12325,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
870000,0.02083882248676615,0.2214488270172725,0.020575343121990945,0.022699893298454548,1.5355064027939465,1.0,1.2300406756265858,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.2242846094354215,859000,6,12036000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9269082100598375,0.9711148111527211,0.9490115106062793,0.9711148111527211,False,1319,13644,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
701000,0.016790821337038013,0.1600836431226766,0.01650338930273779,0.014008880322169827,1.181422351233672,1.0,0.441534147742095,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",903d4323f292a4facda7c7138f35e12d,0.1628717472118959,689000,7,11347000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9229910483474869,0.9650415118814488,0.9440162801144678,0.9650415118814488,False,814,14458,58106,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus
607000,0.014539270401686268,0.21921271217045865,0.014539270401686268,0.01485216672976973,1.4217462932454694,1.0,0.7283763045771438,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004553625.1 Clostridiales bacterium, ASM455362v1",dfb4685da091b4f40a60b6d4543993ad,0.21921271217045865,607000,8,10740000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9203890089561745,0.9706793680735667,0.9455341885148706,0.9706793680735667,False,863,15321,58106,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha merdavium
550000,0.013173968238760209,0.2342419080068143,0.013173968238760209,0.01559219357725536,1.6472727272727272,1.0,1.2559465167325248,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",c788aae2c6f3cc3e1e9802e6b555f644,0.2342419080068143,550000,9,10190000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9186111198453559,0.9719422972725205,0.9452767085589382,0.9719422972725205,False,906,16227,58106,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
521000,0.01247934082253467,0.2029606544604597,0.01247934082253467,0.012408357140398582,1.383877159309021,1.0,0.7161752862060745,/tmp/nxf.XXXX8qMFOX/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.2029606544604597,521000,10,9669000,ERR480669.fastq.gz,ERR480669,346c80ed,41749000,51,DNA,1000,41749,True,0.9176359604657606,0.969214360475028,0.9434251604703943,0.969214360475028,False,721,16948,58106,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
