"","taxon","lfc_(Intercept)","lfc_associated.phenotypeD015179","se_(Intercept)","se_associated.phenotypeD015179","W_(Intercept)","W_associated.phenotypeD015179","p_(Intercept)","p_associated.phenotypeD015179","q_(Intercept)","q_associated.phenotypeD015179","diff_(Intercept)","diff_associated.phenotypeD015179","passed_ss_(Intercept)","passed_ss_associated.phenotypeD015179","Species","Genus"
"1","GCA_000020605.1",0.961110860521264,-0.527097626424475,NA,0.0888410967969402,NA,-5.93303826076389,1,5.24780150913381e-09,1,8.99749751988313e-09,FALSE,TRUE,FALSE,TRUE,"s__Agathobacter rectalis","g__Agathobacter"
"2","GCA_000154345.1",0.300891290634934,-0.492020906664238,NA,0.0491543019389461,NA,-10.0097221861755,1,4.75535860839838e-19,1,1.91535277282712e-18,FALSE,TRUE,FALSE,FALSE,"s__Clostridium_A leptum","g__Clostridium_A"
"3","GCA_000285855.2",0.105408919749307,-0.071233549853772,NA,0.0307483511348328,NA,-2.31666242984574,1,0.0217150716450972,1,0.0254512675747963,FALSE,TRUE,FALSE,FALSE,"s__Blautia_A sp000285855","g__Blautia_A"
"4","GCA_000431015.1",-0.0809388455686032,1.1019182124645,NA,0.0347680473520591,NA,31.6934166968465,1,5.13984526817693e-37,1,1.27242510907307e-35,FALSE,TRUE,FALSE,FALSE,"s__Cryptobacteroides sp000431015","g__Cryptobacteroides"
"5","GCA_000431135.1",0.892177271449776,0.249946193795458,NA,0.0265322914815791,NA,9.42045258205427,1,6.79968366741752e-07,1,1.03784645450057e-06,FALSE,TRUE,FALSE,TRUE,"s__CAG-590 sp000431135","g__CAG-590"
"6","GCA_000431155.1",1.31671686118961,-1.31585104301712,NA,0.033025513852596,NA,-39.8434691702363,1,7.09722470546984e-27,1,5.67219139846605e-26,FALSE,TRUE,FALSE,TRUE,"s__Paramuribaculum sp000431155","g__Paramuribaculum"
"7","GCA_000431275.1",0.510978603763546,0.21419563242779,NA,0.0229527411560251,NA,9.33202840444021,1,9.98622811567807e-09,1,1.67261081475466e-08,FALSE,TRUE,FALSE,FALSE,"s__Alloprevotella sp000431275","g__Alloprevotella"
"8","GCA_000431315.1",0.0772555564079149,0.190019869597611,NA,0.0242242210024967,NA,7.84420970969622,1,1.1271225193076e-07,1,1.78475718735915e-07,FALSE,TRUE,FALSE,FALSE,"s__Scatousia sp000431315","g__Scatousia"
"9","GCA_000431335.1",0.45628464341638,0.383507320482266,NA,0.0312676812314311,NA,12.2652945590591,1,2.64874930466974e-15,1,7.8153504193017e-15,FALSE,TRUE,FALSE,TRUE,"s__CAG-269 sp000431335","g__CAG-269"
"10","GCA_000431775.1",0.819166540995062,-0.219957070402436,NA,0.0229767977294952,NA,-9.57300808371908,1,2.92381987003787e-08,1,4.75589289757763e-08,FALSE,TRUE,FALSE,TRUE,"s__CAG-177 sp000431775","g__CAG-177"
"11","GCA_000431795.1",0.720283932803974,-0.530372277147173,NA,0.0322077419434894,NA,-16.4672294654418,1,1.27614388802864e-26,1,9.96373881806977e-26,FALSE,TRUE,FALSE,TRUE,"s__CAG-302 sp000431795","g__CAG-302"
"12","GCA_000431815.1",0.701245422319313,-0.199771816510977,NA,0.0325145020015141,NA,-6.1440835385292,1,1.13935974889379e-07,1,1.80132421359376e-07,FALSE,TRUE,FALSE,FALSE,"s__Butyrivibrio_A sp000431815","g__Butyrivibrio_A"
"13","GCA_000431835.1",0.726144415562126,0.0694207606180944,NA,0.0294983150081424,NA,2.35338054390334,1,0.0295248032904967,1,0.0341317486786493,FALSE,TRUE,FALSE,TRUE,"s__Succinivibrio sp000431835","g__Succinivibrio"
"14","GCA_000432135.1",-0.0174290848270825,0.740878035151767,NA,0.0560717613255669,NA,13.2130330426048,1,1.55795914680451e-30,1,1.86038651059597e-29,FALSE,TRUE,TRUE,TRUE,"s__CAG-170 sp000432135","g__CAG-170"
"15","GCA_000432155.1",0.159859123660431,-0.192748868412286,NA,0.0407151065750092,NA,-4.73408728667297,1,1.35179248177142e-05,1,1.91897813845873e-05,FALSE,TRUE,FALSE,TRUE,"s__CAG-274 sp000432155","g__CAG-274"
"16","GCA_000432275.1",0.663400791296315,-0.242512607316377,NA,0.0285065553158619,NA,-8.50725752828633,1,7.62936820113292e-11,1,1.49783534316246e-10,FALSE,TRUE,FALSE,FALSE,"s__CAZU01 sp000432275","g__CAZU01"
"17","GCA_000432375.1",0.335096312411167,0.328779942917374,NA,0.0415738083948993,NA,7.90834315188001,1,1.89577686791366e-13,1,4.75114449612929e-13,FALSE,TRUE,FALSE,FALSE,"s__CAG-103 sp000432375","g__CAG-103"
