intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
3068000,0.02868978931520428,0.5592417061611374,0.02868978931520428,0.04775581889309468,2.455019556714472,2.0,2.298374850908568,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",92c62d3d608447418f79f40c554d2f69,0.5592417061611374,3068000,0,51262000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9327373333120403,0.9886691244477624,0.9607032288799013,0.9886691244477624,False,7532,7532,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
2891000,0.027034609162404032,0.42539729252501474,0.027034609162404032,0.03877782638743588,2.1155309581459703,2.0,2.9780363214806247,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.42539729252501474,2891000,1,48371000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9316511732178197,0.9833802123292512,0.9575156927735354,0.9833802123292512,False,6116,13648,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
2314000,0.021638908890281194,0.5045831514622435,0.02162020628968458,0.03809940463736138,2.5990484429065743,2.0,2.1383099253273907,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.5050196420776953,2312000,2,46059000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9275931995601029,0.9866940631370201,0.9571436313485615,0.9866940631370201,False,6009,19657,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
1494000,0.013970842645669881,0.20988207195103747,0.01314792821941891,0.010918151903068114,1.22475106685633,1.0,0.5393338331233202,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_014334015.1 Bacteroides sp. M10 strain=M10, ASM1433401v1",e43d5d90afd8ffb683d480ea8b36d926,0.22301836094939542,1406000,3,44653000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9196695676926322,0.9710070097012595,0.9453382886969459,0.9710070097012595,False,1722,21379,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinigallinarum
1395000,0.013045063916137538,0.3721244925575101,0.01285803791017141,0.016155314198035748,1.8530909090909091,1.0,1.6293499794003437,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.37753721244925575,1375000,4,43278000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9184340257929539,0.9810815158524053,0.9497577708226796,0.9810815158524053,False,2548,23927,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
1373000,0.012839335309574797,0.5250996015936255,0.01232501379316794,0.018780235735707175,2.2473444613050075,2.0,1.4948991941325116,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.5470119521912351,1318000,5,41960000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9181478019269934,0.9882405785483156,0.9531941902376545,0.9882405785483156,False,2962,26889,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
1266000,0.011838746177656003,0.6821120689655172,0.011838746177656003,0.0196805711423481,2.4518167456556084,2.0,1.5762757368700864,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432435.1 Eubacterium sp. CAG:180, MGS180",6aaa52329b08c80e1697031516b7eac0,0.6821120689655172,1266000,6,40694000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9166882836143255,0.9925268616329485,0.9546075726236369,0.9925268616329485,False,3104,29993,157719,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435
1291000,0.012072528685113664,0.28594695207073056,0.011492748066618663,0.011431723508264699,1.467046379170057,1.0,0.9180919907412836,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184, ASM2515121v1",04366d02afc93cbeed4bfc2d3a9aa9a9,0.30037226617031176,1229000,7,39465000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9170398342458592,0.9766929117999013,0.9468663730228802,0.9766929117999013,False,1803,31796,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
998000,0.009332597697709867,0.15080503746213933,0.00884633008219793,0.007488000811569944,1.248414376321353,1.0,0.673119195960798,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",36e5cf9f0e4c0a0411f3300c5364f87f,0.1590945321217918,946000,8,38519000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.912422798450167,0.9645976098173165,0.9385102041337418,0.9645976098173165,False,1181,32977,157719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
919000,0.008593844974143654,0.2319535588086825,0.008593844974143654,0.011279554143762006,1.9357997823721436,1.0,2.7656395103399465,/tmp/nxf.XXXX2MiNrn/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003584705.1 Lachnospiraceae bacterium GAM79 strain=GAM79, ASM358470v1",70a12b75803f82aa8bff2c80aad9821b,0.2319535588086825,919000,9,37600000,DRR162778.fastq.gz,DRR162778,fdb50e8a,106937000,51,DNA,1000,106937,True,0.9109486002433959,0.9717552220620522,0.941351911152724,0.9717552220620522,False,1779,34756,157719,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565
