intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1760000,0.11285668483488298,0.5746000652954619,0.11285668483488298,0.21201685438781298,2.9732954545454544,2.0,2.072787002603296,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.5746000652954619,1760000,0,5915000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.958124848882081,0.9891944700243257,0.9736596594532034,0.9891944700243257,False,5233,5233,24682,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
1109000,0.07111253606925297,0.20222465353756383,0.07111253606925297,0.06417632282635119,1.4283137962128043,1.0,1.1888992669297715,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020297485.1 Enterocloster clostridioformis strain=FDAARGOS_1529, ASM2029748v1",dd34132a65d34f2b7d61732ca67b1c02,0.20222465353756383,1109000,1,4806000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9494872571164883,0.9691453222942386,0.9593162897053634,0.9691453222942386,False,1584,6817,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
916000,0.05873677460724591,0.26553837175372047,0.05835203590894517,0.06563487561785916,1.7802197802197801,1.0,1.208051721858657,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001517625.2 Clostridium sp. AT4 strain=AT5, Clostridium bouchedurhonense",cc83538e580742ca11ee9ed5266d8f53,0.2672891742048439,910000,2,3896000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9459343191273448,0.9744607266177505,0.9601975228725477,0.9744607266177505,False,1620,8437,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625
777000,0.049823661429945494,0.259,0.049823661429945494,0.04246009237501013,1.3487773487773487,1.0,0.6754390711555124,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847375.1 Akkermansia muciniphila strain=Akk1573, ASM1884737v1",a0187232545fc87ef446a1156ce94909,0.259,777000,3,3119000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9428867272665663,0.9738589812171282,0.9583728542418473,0.9738589812171282,False,1048,9485,24682,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B
512000,0.032831035588329595,0.15458937198067632,0.032831035588329595,0.025038489587553683,1.20703125,1.0,0.5449603761040224,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.15458937198067632,512000,4,2607000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9352065520348083,0.9640544450910734,0.9496304985629409,0.9640544450910734,False,618,10103,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
597000,0.038281500480923374,0.07210365853658536,0.0303302340493748,0.025119520298193015,1.3107822410147991,1.0,1.0913023530310608,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.09100609756097561,473000,5,2134000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9380272817243573,0.9540906009246267,0.946058941324492,0.9540906009246267,False,620,10723,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
382000,0.024495030458480282,0.07871591908531222,0.022956075665277333,0.019852524106636415,1.3687150837988826,1.0,1.1810061151249063,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",7f2073ec6218c72ec98b02ac15cb9880,0.0839929639401935,358000,6,1776000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9298508529834425,0.952591547582591,0.9412212002830167,0.952591547582591,False,490,11213,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
209000,0.013401731324142354,0.05615260612573885,0.013401731324142354,0.009683169921400211,1.1435406698564594,1.0,0.6328101671718829,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000239295.1 Flavonifractor plautii ATCC 29863 strain=ATCC 29863, ASM23929v1",1ed22d796c79d0337723a67a4b313636,0.05615260612573885,209000,7,1567000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9189199173402564,0.9451001705034693,0.9320100439218628,0.9451001705034693,False,239,11452,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
194000,0.012439884578390509,0.03960808838857619,0.012183392112856685,0.008022040353293899,1.0421052631578946,1.0,0.22551879248030055,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000466485.1 [Clostridium] symbiosum ATCC 14940 strain=ATCC 14940, ASM46648v1",b4c4f74940c0804547cf8948c2c84da3,0.04044194288096727,190000,8,1377000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9175789836299055,0.9390375965824691,0.9283082901061873,0.9390375965824691,False,198,11650,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum
166000,0.010644437319653735,0.04612337294850028,0.010452067970503366,0.006928125759662912,1.049079754601227,1.0,0.21603456271974245,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_005121165.3 Dysosmobacter welbionis strain=J115, ASM512116v3",09a34dca3e142e3d9e58ce200e89b31c,0.04697226938313526,163000,9,1214000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9147788848269288,0.9417978123541136,0.9282883485905212,0.9417978123541136,False,171,11821,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis
161000,0.010323821737736454,0.040851553509781355,0.009105482526450786,0.006279880074548254,1.091549295774648,1.0,0.42633270049761435,/tmp/nxf.XXXXnunlUA/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",c0af2b4fd1a1fb3c5fc7e5a29e4fe5d1,0.046317606444188725,142000,10,1072000,ERR1293250.fastq.gz,ERR1293250,07f582d9,15595000,51,DNA,1000,15595,True,0.9142304792773446,0.9415386642063794,0.927884571741862,0.9415386642063794,False,155,11976,24682,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
