intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
969000,0.04045253402354513,0.3143042491080117,0.04045253402354513,0.0478893224547712,1.3931888544891642,1.0,0.7163108146023147,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_004167605.1 Akkermansia sp. aa_0143 strain=aa_0143, ASM416760v1",0caee0c37905fb699696787c2a36e4f3,0.3143042491080117,969000,0,11608000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9390424179236032,0.9775615753784311,0.9583019966510171,0.9775615753784311,False,1350,1350,28190,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp004167605
649000,0.027093596059113302,0.14164120471409863,0.027093596059113302,0.02859169918410784,1.2419106317411401,1.0,0.5966264053107981,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.14164120471409863,649000,1,10959000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9316909889336621,0.9624023151238378,0.9470466520287499,0.9624023151238378,False,806,2156,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
595000,0.024839275277615428,0.19826724425191602,0.024839275277615428,0.03472862717275629,1.6453781512605041,1.0,1.4332045482657705,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.19826724425191602,595000,2,10364000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9301053355149445,0.9687698343933716,0.9494375849541581,0.9687698343933716,False,979,3135,28190,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
540000,0.02254320781497871,0.10288774144195831,0.02245971445270101,0.0215679318907414,1.1301115241635689,1.0,0.37310162191568613,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",5ed7bd7e8a301425ed2ad891c3e399f5,0.10327022375215146,538000,3,9826000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9283381336624452,0.9564586050867201,0.9423983693745827,0.9564586050867201,False,608,3743,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
498000,0.020789847207147032,0.19400077911959485,0.020789847207147032,0.023483504788932245,1.3293172690763053,1.0,0.6209074326359624,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.19400077911959485,498000,4,9328000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9268654467686747,0.9683567010693954,0.9476110739190351,0.9683567010693954,False,662,4405,28190,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
451000,0.018827753193621108,0.22731854838709678,0.018827753193621108,0.02259666548421426,1.4124168514412416,1.0,0.851879968268342,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435055.1 Clostridium sp. CAG:138, MGS138",d260972647a9dc349a6b0e9de9b99b64,0.22731854838709678,451000,5,8877000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9250655748659984,0.9713706956706762,0.9482181352683373,0.9713706956706762,False,637,5042,28190,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055
400000,0.016698672455539784,0.05841671571512654,0.016573432412123237,0.017382050372472507,1.234256926952141,1.0,1.5315441457928891,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.05885815185403178,397000,6,8480000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9228914581809501,0.9459726085169284,0.9344320333489393,0.9459726085169284,False,490,5532,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
385000,0.016072472238457043,0.22459893048128343,0.015780245470485097,0.01596310748492373,1.1904761904761905,1.0,0.5047020030344331,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545885.1 uncultured Clostridiales bacterium, UMGS814",bf891389a21b095e7a9140f8b8cfae03,0.22875816993464052,378000,7,8102000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.922200069625496,0.9714909452525238,0.9468455074390099,0.9714909452525238,False,450,5982,28190,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__Limadaptatus;s__Limadaptatus sp900545885
331000,0.013818151456959171,0.10806398955272609,0.013818151456959171,0.013267115998581058,1.1299093655589123,1.0,0.4236722543388655,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_006542685.1 Alistipes dispar strain=5CPEGH6, Adis_1.0",e5d6acf97598006b3a0050a856d0ec6e,0.10806398955272609,331000,8,7771000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9194714193858182,0.9573099405246476,0.9383906799552328,0.9573099405246476,False,374,6356,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar
304000,0.012690991066210236,0.11752988047808766,0.012315270935960592,0.011990067399787158,1.1457627118644067,1.0,0.48269091556142546,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.12111553784860558,295000,9,7476000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9179386113308583,0.9594526058126619,0.9386956085717602,0.9594526058126619,False,338,6694,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
300000,0.012524004341654838,0.07767253044654938,0.011981297486849795,0.011599858105711245,1.1393728222996515,1.0,0.4021938405716537,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301, ASM2514584v1",ce3fdcea4344bf5e1303cba1f2181070,0.08119079837618404,287000,10,7189000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9177002441471789,0.9519579840339298,0.9348291140905544,0.9519579840339298,False,327,7021,28190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
278000,0.011605577356600151,0.08859145952836202,0.011605577356600151,0.010535650940049664,1.0683453237410072,1.0,0.2793970824335451,/tmp/nxf.XXXXalc7Vo/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900199635.1 Anaerotruncus massiliensis strain=AT3, PRJEB19460",f859cef73919b3b280a34b2d2c2886fe,0.08859145952836202,278000,11,6911000,ERR1293311.fastq.gz,ERR1293311,d531bb8a,23954000,51,DNA,1000,23954,True,0.9163308100767501,0.9535876649201338,0.9349592374984419,0.9535876649201338,False,297,7318,28190,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis
