intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1665000,0.056379520520113774,0.5224348917477252,0.056379520520113774,0.07750777381089485,1.6168168168168169,1.0,1.1999822644157663,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847895.1 Akkermansia muciniphila strain=Akk0196, ASM1884789v1",442a6fcabd8680d9ec163fa382ba4ec9,0.5224348917477252,1665000,0,9552000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.945174908412117,0.9873502014274926,0.9662625549198048,0.9873502014274926,False,2692,2692,34732,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195
1377000,0.04662738724095896,0.5683037556747833,0.04662738724095896,0.06599101692963262,1.6644880174291938,1.0,1.259673812850043,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_001701165.1 Bacteroidales bacterium H4, ASM170116v1",d8c3e93e0e258f1bca27ad8d96c7588a,0.5683037556747833,1377000,1,8175000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9416617354132087,0.9889807843674041,0.9653212598903065,0.9889807843674041,False,2292,4984,34732,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001701165
581000,0.019673574427739402,0.3568796068796069,0.019673574427739402,0.022515259702867673,1.3459552495697074,1.0,0.8250207266331769,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545805.1 uncultured Clostridiales bacterium, UMGS815",ba7cc0cfaae7effaa4a4528da3396cb4,0.3568796068796069,581000,2,7594000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9258630042189228,0.9799996403493456,0.9529313222841342,0.9799996403493456,False,782,5766,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900545805
578000,0.01957198970608154,0.2013937282229965,0.01957198970608154,0.02162271104456985,1.2993079584775087,1.0,0.707375532454934,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000433355.1 Alistipes sp. CAG:435, MGS435",c5602f286afdfb9c0d45a72ae91e685d,0.2013937282229965,578000,3,7016000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9257690268467047,0.9690670833719603,0.9474180551093325,0.9690670833719603,False,751,6517,34732,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000433355
506000,0.017133956386292833,0.23328722913785155,0.017133956386292833,0.022313716457445582,1.5316205533596838,1.0,0.9451290469077673,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900545265.1 uncultured Clostridiales bacterium, UMGS765",a3f61af07b20a43d9f2af4e5469c8ab7,0.23328722913785155,506000,4,6510000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9233572382181106,0.9718644699400993,0.947610854079105,0.9718644699400993,False,775,7292,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp900545265
406000,0.013747798997697413,0.18329571106094808,0.013747798997697413,0.01410802717954624,1.206896551724138,1.0,0.5495647396727319,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900549865.1 uncultured Clostridiales bacterium, UMGS1230",79e7193729b19f14cd389a69ed25534c,0.18329571106094808,406000,5,6104000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9193793991003965,0.9672795496088552,0.9433294743546259,0.9672795496088552,False,490,7782,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900549865
320000,0.01083570364350535,0.1786711334450028,0.01083570364350535,0.010940919037199124,1.1875,1.0,0.41363480269435743,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000016525.1 Methanobrevibacter smithii ATCC 35061 strain=ATCC 35061; PS; DSMZ 861, ASM1652v1",84d0a8ee2bacb5298bd9d78cb01c1a0c,0.1786711334450028,320000,6,5784000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.91509838025139,0.9667950092685609,0.9409466947599754,0.9667950092685609,False,380,8162,34732,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii
299000,0.010124610591900311,0.1468565815324165,0.010124610591900311,0.00999078659449499,1.160535117056856,1.0,0.4415475763094151,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435615.1 Firmicutes bacterium CAG:238, MGS238",c7294edc4e9ea8c564cec32d5bd81d93,0.1468565815324165,299000,7,5485000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.913881258631887,0.9630849067720102,0.9384830827019486,0.9630849067720102,False,347,8509,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp000435615
266000,0.009007178653663822,0.13407258064516128,0.009007178653663822,0.008867902798571923,1.1578947368421053,1.0,0.4219914345985648,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435055.1 Clostridium sp. CAG:138, MGS138",d260972647a9dc349a6b0e9de9b99b64,0.13407258064516128,266000,8,5219000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.911788053351874,0.9613665762954998,0.9365773148236869,0.9613665762954998,False,308,8817,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055
240000,0.008126777732629013,0.10902427851580394,0.008059054584857105,0.009069446043994012,1.3235294117647058,1.0,0.7780827419604093,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_004557245.1 Clostridiales bacterium, ASM455724v1",c14e8f5126ad7f69729020601ba87661,0.10994044892349977,238000,9,4981000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9099510018552288,0.9576331397005352,0.933792070777882,0.9576331397005352,False,315,9132,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245
203000,0.006873899498848706,0.0710267229254571,0.006840037924962752,0.00705401358977312,1.2128712871287128,1.0,0.604629559503235,/tmp/nxf.XXXXMyvNpl/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_001940855.1 Christensenellaceae bacterium Phil1, ASM194085v1",c9ae0bb78c12a5339c335934f594c37c,0.07137834036568214,202000,10,4779000,ERR688370.fastq.gz,ERR688370,7346cd5d,29532000,51,DNA,1000,29532,True,0.9069685321111747,0.9495567179975672,0.928262625054371,0.9495567179975672,False,245,9377,34732,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855
