intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2360000,0.03984803714647531,0.7682291666666666,0.03984803714647531,0.22035509207313048,14.146610169491526,13.0,7.33372962441106,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCA_019409185.1 Prevotella sp., ASM1940918v1",0b20ba7778810b9ddc3e98949ca9ed8a,0.7682291666666666,2360000,0,50234000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.9012636110380069,0.991530675099882,0.9463971430689444,0.991530675099882,False,33386,33386,151510,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436035
2140000,0.036133389615871675,0.6350275566442131,0.035018995356690584,0.1023430796647086,7.476374156219865,7.0,6.113099200797586,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCA_019409265.1 Prevotella sp., ASM1940926v1",1c5db842bd2519ec5336e83051d962ca,0.6552357624004899,2074000,1,48160000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8984231332656184,0.9864551437061488,0.9424391384858837,0.9864551437061488,False,15506,48892,151510,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A
1545000,0.02608695652173913,0.6140699523052464,0.02608695652173913,0.0253976635205597,2.4906148867313918,2.0,1.693718437694457,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCA_014868645.1 Faecalibacterium prausnitzii, ASM1486864v1",c734a4ebe5e6d3fe10d693402e472aac,0.6140699523052464,1545000,2,46615000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.889030958037473,0.9843925486261781,0.9367117533318255,0.9843925486261781,False,3848,52740,151510,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
1533000,0.025884339383706205,0.39561290322580644,0.025884339383706205,0.016672166853673023,1.6477495107632094,1.0,2.1048486775823063,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCF_003473545.1 Clostridium sp. AM22-11AC strain=AM22-11AC, ASM347354v1",873a8b7cc5e0a6e07152a8bfd5c774b1,0.39561290322580644,1533000,3,45082000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8888073716289074,0.9705294630943967,0.9296684173616521,0.9705294630943967,False,2526,55266,151510,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375
1449000,0.02446601941747573,0.4110182606004333,0.02242296327564373,0.019827074120520097,2.2620481927710845,2.0,1.919856457382834,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCF_018784565.1 Faecalibacterium prausnitzii strain=MCC589, ASM1878456v1",7d0c5b68785e860cfbf8fdc19f2cec7f,0.44846796657381616,1328000,4,43754000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8871931326583861,0.9744633952474507,0.9308282639529184,0.9744633952474507,False,3004,58270,151510,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
1208000,0.02039679189531448,0.4444444444444444,0.02039679189531448,0.020394693419576265,2.55794701986755,2.0,1.6321337830995433,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCA_900541545.1 uncultured Alistipes sp., UMGS372",31d29365ac52ef3919f0ab513c21f7fc,0.4444444444444444,1208000,5,42546000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8820023404812499,0.9741801444251308,0.9280912424531904,0.9741801444251308,False,3090,61360,151510,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris
1205000,0.020346137610806246,0.3009781790820166,0.020261713803292527,0.01683057223945614,2.125,1.0,7.122806679954188,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCF_900625065.1 Prevotella marseillensis strain=Marseille-P8229, PRJEB29221",ef98a1f9f50edd8b01f3987b4229915e,0.3022322548281916,1200000,6,41346000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8819315972685854,0.9621367433194128,0.9220341702939991,0.9621367433194128,False,2550,63910,151510,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella rara
993000,0.016766568172224567,0.5474090407938258,0.016766568172224567,0.014315886740149166,2.1842900302114803,2.0,1.3565235038831471,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCA_927353735.1 uncultured Veillonellaceae bacterium, SRR789046_bin.2_metaWRAP_v1.1_MAG",b1c87f19ece73ce1e62dad9e9c05a23d,0.5474090407938258,993000,7,40353000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8764436640171158,0.9807503019456629,0.9285969829813894,0.9807503019456629,False,2169,66079,151510,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__UBA1822 sp002314995
969000,0.016361333896158715,0.23955147808358818,0.015871675812579148,0.008276681407167844,1.3340425531914895,1.0,0.7956735660565462,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCF_015558055.1 Roseburia faecis strain=1001271B_151109_E4, ASM1555805v1",9bfd896652719af4955e7626331253db,0.24694189602446484,940000,8,39413000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8757522234728761,0.9558864011084318,0.9158193122906539,0.9558864011084318,False,1254,67333,151510,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
928000,0.01566905867454622,0.22549019607843138,0.015145631067961166,0.008989505643191868,1.5183946488294315,1.0,2.2665092299645035,/tmp/nxf.XXXXlJ1ce1/sourmash_database/gtdb-rs214-k31.zip,"GCF_902373755.1 Bacteroides coprocola, MGYG-HGUT-01306",21dcfee3f1e24fb9aebbbe6b8ae42cad,0.23328305681246858,897000,9,38516000,ERR2726631.fastq.gz,ERR2726631,96397748,59225000,31,DNA,1000,59225,True,0.8745317427817898,0.954133480305022,0.9143326115434058,0.954133480305022,False,1362,68695,151510,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola
