intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4334000,0.018867267424143484,0.11816347674355199,0.018867267424143484,0.02691502074072046,3.1753576372865715,3.0,3.1139980561626146,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.11816347674355199,4334000,0,185680000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.925103603521279,0.9589884956769724,0.9420460495991256,0.9589884956769724,False,13762,13762,511313,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
3695000,0.016085499107570414,0.5770017303759635,0.015967959601236342,0.016758815050663685,2.336150490730643,2.0,1.9996269039218246,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_008571735.1 Bacteroides dorei strain=BIOML-A25, ASM857173v1",5b6a1aa5850acda232335c312d3c4ea6,0.5812490168318389,3668000,1,182012000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9222147197005386,0.9894176459329364,0.9558161828167375,0.9894176459329364,False,8569,22331,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei
3597000,0.015658874232728222,0.5102450207766156,0.015502154890949457,0.013496625354724014,1.9379387812412243,1.0,4.308755102548964,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_003604005.1 Bacteroides sp. OF03-11BH strain=OF03-11BH, ASM360400v1",c734b2d733d638bc126234c6e627c12e,0.5154033529158906,3561000,2,178451000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9217287793214555,0.9870878999730361,0.9544083396472458,0.9870878999730361,False,6901,29232,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. OF03-11BH
3571000,0.015545688041443559,0.4730990941531705,0.015005876975316704,0.010607983759458492,1.5735422106179286,1.0,1.1713021238743737,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_022138125.1 Bacteroides cellulosilyticus strain=DFI.1.153, NA",28fb122cda219ad2a4c63df690341444,0.49011803458687897,3447000,3,175004000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9215976773158641,0.9861147715379416,0.9538562244269029,0.9861147715379416,False,5424,34656,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus
2703000,0.01176701057855557,0.5707423580786026,0.011379565539158068,0.009837418567491927,1.9242540168324407,2.0,1.2871863194638342,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015547975.1 Parabacteroides merdae strain=D54t1_190329_G1, ASM1554797v1",ea422400436095a174e236db6fa9cac2,0.590174672489083,2614000,4,172390000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9165790456090372,0.9897133374660355,0.9531461915375363,0.9897133374660355,False,5030,39686,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae
2670000,0.011623351181925036,0.6626659856996936,0.011296852553219277,0.012299706833192193,2.4235067437379576,2.0,2.232840030237029,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015560925.1 Phocaeicola massiliensis strain=D31t1_170403_E10, ASM1556092v1",0cefed88cc9e7dda30890d563ef35682,0.6818181818181818,2595000,5,169795000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9163583061349999,0.9925184749796016,0.9544383905573007,0.9925184749796016,False,6289,45975,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis
2536000,0.01104000696530408,0.4070464767616192,0.009455400287318793,0.008427323381177479,1.9838858195211786,2.0,1.190128984545021,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015669075.1 Bacteroides finegoldii strain=1001713B170221_170320_G10, ASM1566907v1",8b7823f0bb2a44372c4e12d2b8f9654e,0.4752623688155922,2172000,6,167623000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9154336026474083,0.9855198164751492,0.9504767095612787,0.9855198164751492,False,4309,50284,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii
2247000,0.009781898916024552,0.5704769517719158,0.00932044752078708,0.014263279048254201,3.4063521718822978,3.0,2.913550747646879,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020537425.1 Roseburia faecis strain=MSK.6.3, ASM2053742v1",1a194f1ffeeae3eff6d4241d13234509,0.5987210231814548,2141000,7,165482000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9132644084777859,0.9899923828834817,0.9516283956806337,0.9899923828834817,False,7293,57577,511313,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis
3329000,0.014492185799486308,0.41585365853658535,0.008906882591093117,0.0076137317064107505,1.9027370478983383,2.0,1.2356002796579468,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_021890935.1 Phocaeicola vulgatus strain=Bv425, ASM2189093v1",a0fdd5721b034783c1c503afbb73ad33,0.6766260162601626,2046000,8,163436000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9203304723015975,0.9923697189030769,0.9563500956023372,0.9923697189030769,False,3893,61470,511313,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
1967000,0.008562970702189717,0.847465034965035,0.008441077880806233,0.024259113302419456,6.397111913357401,6.0,3.250280570799918,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_008671395.1 Faecalibacterium prausnitzii, ASM867139v1",2a968130669b67efeec5f59c2af7046a,0.8597027972027972,1939000,9,161497000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9108843168377476,0.9970402996702734,0.9539623082540105,0.9970402996702734,False,12404,73874,511313,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii
4023000,0.017513386443776938,0.2796423860471933,0.00830612511427452,0.010471081314185244,2.8060796645702304,2.0,2.9496339427409084,/tmp/nxf.XXXX0WOATp/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001405495.1 Catenibacterium mitsuokai strain=2789STDY5608825, 13414_6#9",e9ce7e36fc8063a7bcb3eaa1a1379454,0.5896233328447896,1908000,10,159589000,ERR479488_2.fastq.gz,ERR479488,b208f8f4,229710000,51,DNA,1000,229710,True,0.9237538832336448,0.9896951999897027,0.9567245416116738,0.9896951999897027,False,5354,79228,511313,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium mitsuokai
