intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1448000,0.08898721730580138,0.719324391455539,0.08898721730580138,0.1472186944373889,2.001381215469613,2.0,1.3197389133560269,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900547395.1 uncultured Opitutales bacterium, UMGS982",d6434e3f0d29708bef90aac33a03ad39,0.719324391455539,1448000,0,6346000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9536710097729948,0.9935611549981955,0.9736160823855952,0.9935611549981955,False,2898,2898,19685,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__UMGS1490;s__UMGS1490 sp900547395
1234000,0.07583579154375615,0.18157739846968804,0.07583579154375615,0.08610617221234443,1.3735818476499189,1.0,0.8933296702242163,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",a202750eddf2c7f9735c9117362a41a6,0.18157739846968804,1234000,1,5112000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9506852361286119,0.9671009274852547,0.9588930818069332,0.9671009274852547,False,1695,4593,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
501000,0.030789085545722714,0.12915699922660479,0.030789085545722714,0.03307086614173228,1.2994011976047903,1.0,0.6110914621954936,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025145285.1 Alistipes onderdonkii strain=DSM 19147, ASM2514528v1",2de6e539bf1bbcefae850f4a041e233c,0.12915699922660479,501000,2,4611000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9340297760505905,0.9606627256673617,0.9473462508589761,0.9606627256673617,False,651,5244,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
395000,0.024274827925270404,0.08524054180289584,0.022431170108161258,0.020116840233680468,1.084931506849315,1.0,0.30684931506849317,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900091655.1 Culturomica massiliensis strain=Marseille-P2698, PRJEB14541",165ef3086dadc4423cadae6faa681a01,0.09224661373190098,365000,3,4246000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9296862231903997,0.954343918743418,0.9420150709669088,0.954343918743418,False,396,5640,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter massiliensis
342000,0.02101769911504425,0.0673228346456693,0.02101769911504425,0.01874523749047498,1.0789473684210527,1.0,0.319303065319321,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.0673228346456693,342000,4,3904000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9270635653515322,0.9484682381764795,0.9377659017640059,0.9484682381764795,False,369,6009,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
207000,0.012721238938053098,0.03457172342621259,0.012352507374631269,0.010718821437642875,1.0497512437810945,1.0,0.23922020458052357,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",6bf3ff1d807c2ab1988e6b3c386a7cec,0.03560371517027864,201000,5,3703000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9179814598528012,0.9366944508819596,0.9273379553673804,0.9366944508819596,False,211,6220,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens
200000,0.012291052114060964,0.041903099083369706,0.011799410029498525,0.010109220218440436,1.0364583333333333,1.0,0.18742764807756856,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.04364906154517678,192000,6,3511000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9173624554723095,0.9404437864427792,0.9289031209575443,0.9404437864427792,False,199,6419,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
187000,0.011492133726647001,0.02850609756097561,0.011492133726647001,0.010210820421640843,1.0748663101604279,1.0,0.30108424086116037,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",b5edd45c572fe04753d4848d8e14e842,0.02850609756097561,187000,7,3324000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9161543343629653,0.9326198656872977,0.9243871000251316,0.9326198656872977,False,201,6620,19685,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
166000,0.010201573254670599,0.051794071762870514,0.010201573254670599,0.008788417576835154,1.0421686746987953,1.0,0.20097382310376236,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000020605.1 [Eubacterium] rectale ATCC 33656 strain=ATCC 33656, ASM2060v1",bb4d1c2199066ffc1226ec8433ce5698,0.051794071762870514,166000,8,3158000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9140169674741944,0.9436040690132976,0.928810518243746,0.9436040690132976,False,173,6793,19685,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
162000,0.00995575221238938,0.10338225909380983,0.00995575221238938,0.009499618999238,1.154320987654321,1.0,0.4384454532612287,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435555.1 Firmicutes bacterium CAG:176, MGS176",f75e49f303593e98e86fc7d7e28e127f,0.10338225909380983,162000,9,2996000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9135799307759217,0.9564789401286837,0.9350294354523028,0.9564789401286837,False,187,6980,19685,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
162000,0.00995575221238938,0.033291718684977115,0.00983284169124877,0.008585217170434341,1.05625,1.0,0.25609751560684846,/tmp/nxf.XXXXsHTKWy/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.033707865168539325,160000,10,2836000,ERR1293167.fastq.gz,ERR1293167,b82f1c48,16272000,51,DNA,1000,16272,True,0.9135799307759217,0.9356899939464804,0.9246349623612011,0.9356899939464804,False,169,7149,19685,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
